season,round,session_name,event_name,status,n_laps_rows,n_unique_drivers_in_laps,error_type,error_message,updated_at
2018,1,Q,Australian Grand Prix,ok,287,20,,,2026-03-30T23:49:23
2018,1,R,Australian Grand Prix,ok,940,20,,,2026-03-30T23:49:26
2018,2,Q,Bahrain Grand Prix,ok,244,20,,,2026-03-30T23:49:29
2018,2,R,Bahrain Grand Prix,ok,998,20,,,2026-03-30T23:49:33
2018,3,Q,Chinese Grand Prix,ok,256,20,,,2026-03-30T23:49:36
2018,3,R,Chinese Grand Prix,ok,1115,20,,,2026-03-30T23:49:39
2018,4,Q,Azerbaijan Grand Prix,ok,313,20,,,2026-03-30T23:49:42
2018,4,R,Azerbaijan Grand Prix,ok,848,20,,,2026-03-30T23:49:45
2018,5,Q,Spanish Grand Prix,ok,307,19,,,2026-03-30T23:49:48
2018,5,R,Spanish Grand Prix,ok,1021,20,,,2026-03-30T23:49:52
2018,6,Q,Monaco Grand Prix,ok,386,19,,,2026-03-30T23:49:54
2018,6,R,Monaco Grand Prix,ok,1516,20,,,2026-03-30T23:49:58
2018,7,Q,Canadian Grand Prix,ok,291,19,,,2026-03-30T23:50:01
2018,7,R,Canadian Grand Prix,ok,1219,20,,,2026-03-30T23:50:05
2018,8,Q,French Grand Prix,ok,332,20,,,2026-03-30T23:50:07
2018,8,R,French Grand Prix,ok,920,20,,,2026-03-30T23:50:11
2018,9,Q,Austrian Grand Prix,ok,331,20,,,2026-03-30T23:50:13
2018,9,R,Austrian Grand Prix,ok,1244,20,,,2026-03-30T23:50:17
2018,10,Q,British Grand Prix,ok,264,19,,,2026-03-30T23:50:20
2018,10,R,British Grand Prix,ok,902,20,,,2026-03-30T23:50:23
2018,11,Q,German Grand Prix,ok,286,20,,,2026-03-30T23:50:26
2018,11,R,German Grand Prix,ok,1252,20,,,2026-03-30T23:50:30
2018,12,Q,Hungarian Grand Prix,ok,402,20,,,2026-03-30T23:50:32
2018,12,R,Hungarian Grand Prix,ok,1233,20,,,2026-03-30T23:50:36
2018,13,Q,Belgian Grand Prix,ok,237,20,,,2026-03-30T23:50:38
2018,13,R,Belgian Grand Prix,ok,693,20,,,2026-03-30T23:50:42
2018,14,Q,Italian Grand Prix,ok,284,20,,,2026-03-30T23:50:44
2018,14,R,Italian Grand Prix,ok,927,20,,,2026-03-30T23:50:48
2018,15,Q,Singapore Grand Prix,ok,269,20,,,2026-03-30T23:50:50
2018,15,R,Singapore Grand Prix,ok,1146,20,,,2026-03-30T23:50:54
2018,16,Q,Russian Grand Prix,ok,232,20,,,2026-03-30T23:50:57
2018,16,R,Russian Grand Prix,ok,948,20,,,2026-03-30T23:51:00
2018,17,Q,Japanese Grand Prix,ok,221,20,,,2026-03-30T23:51:03
2018,17,R,Japanese Grand Prix,ok,977,20,,,2026-03-30T23:51:07
2018,18,Q,United States Grand Prix,ok,256,20,,,2026-03-30T23:51:09
2018,18,R,United States Grand Prix,ok,932,20,,,2026-03-30T23:51:13
2018,19,Q,Mexican Grand Prix,ok,286,20,,,2026-03-30T23:51:15
2018,19,R,Mexican Grand Prix,ok,1245,20,,,2026-03-30T23:51:19
2018,20,Q,Brazilian Grand Prix,ok,300,20,,,2026-03-30T23:51:22
2018,20,R,Brazilian Grand Prix,ok,1318,20,,,2026-03-30T23:51:26
