n_samples,speed_mean,speed_std,speed_min,speed_max,speed_q10,speed_q50,speed_q90,speed_range,throttle_mean,throttle_std,throttle_min,throttle_max,throttle_zero_frac,throttle_full_frac,throttle_mid_frac,brake_mean,brake_std,brake_min,brake_max,brake_active_frac,brake_on_count,first_brake_frac_pos,last_brake_frac_pos,rpm_mean,rpm_std,rpm_min,rpm_max,gear_mean,gear_std,gear_min,gear_max,gear_change_count,speed_diff_mean,speed_diff_std,speed_diff_abs_mean,throttle_diff_mean,throttle_diff_std,throttle_diff_abs_mean,rpm_diff_mean,rpm_diff_std,rpm_diff_abs_mean,drs_active_frac,lap_key,Driver,season,round,LapNumber,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,Compound,TyreLife,Team,session_key,event_name
273,240.83882783882783,57.19178611147747,99.0,320.0,158.2,257.0,306.0,221.0,79.3040293040293,37.78800023348942,0.0,100.0,0.16483516483516483,0.7106227106227107,0.12454212454212454,0.12454212454212454,0.3308054328940721,0.0,1.0,0.12454212454212454,6,0.04779411764705882,0.9375,10782.802197802197,878.5994480661883,7539.0,12696.0,6.256410256410256,1.569529812100073,3,8,29,-0.24632352941176472,10.175307700639403,6.327205882352941,0.0,17.850754787808413,5.147058823529412,5.915441176470588,456.6401243381096,312.62867647058823,1.0,2018_r01_Q_HAM_lap19,HAM,2018,1,19.0,81.164,26.698,22.066,32.4,ULTRASOFT,2.0,Mercedes,2018_1_Q,Australian Grand Prix
282,232.84397163120568,57.4571210925259,95.0,309.0,147.1,251.0,295.0,214.0,79.92553191489361,37.762859805328745,0.0,100.0,0.14893617021276595,0.7269503546099291,0.12411347517730496,0.1595744680851064,0.36686198853800284,0.0,1.0,0.1595744680851064,7,0.046263345195729534,1.0,10393.13475177305,1106.7148187145565,6755.0,11911.0,5.98936170212766,1.5383219645349795,3,8,31,-0.2206405693950178,10.041044390169194,6.192170818505338,0.0,17.877160209128775,5.209964412811388,-0.046263345195729534,458.0602673953993,300.5373665480427,1.0,2018_r01_Q_SAI_lap16,SAI,2018,1,16.0,83.577,27.641,22.695,33.241,ULTRASOFT,2.0,Renault,2018_1_Q,Australian Grand Prix
275,239.12363636363636,56.00670568440096,103.0,313.0,156.8,258.0,301.0,210.0,81.42545454545454,36.67768578267891,0.0,100.0,0.10909090909090909,0.7490909090909091,0.14181818181818182,0.12,0.3255539916202134,0.0,1.0,0.12,5,0.051094890510948905,0.9416058394160584,10626.690909090908,696.0362456144253,7791.0,11801.0,6.036363636363636,1.5421526849771874,3,8,29,-0.2737226277372263,9.810376282007622,5.916058394160584,0.0,17.93026785897259,5.145985401459854,4.5,411.4184633857017,269.5,1.0,2018_r01_Q_VER_lap17,VER,2018,1,17.0,81.879,26.971,22.241,32.667,ULTRASOFT,2.0,Red Bull Racing,2018_1_Q,Australian Grand Prix
297,215.11784511784512,70.82531984026568,76.0,326.0,105.2,224.0,306.80000000000007,250.0,69.84848484848484,41.97095930594659,0.0,100.0,0.21548821548821548,0.5892255892255892,0.19528619528619529,0.18855218855218855,0.39181265104275725,0.0,1.0,0.18855218855218855,7,0.10135135135135136,0.9662162162162162,10406.760942760942,1462.714638935382,5888.0,12288.0,5.525252525252525,1.8454295314669036,2,8,39,-0.38175675675675674,10.74636106900275,7.077702702702703,0.0,16.19457954933258,4.797297297297297,4.114864864864865,507.6328985031344,371.47297297297297,1.0,2018_r02_Q_HAM_lap12,HAM,2018,2,12.0,88.22,28.081,37.99,22.149,SUPERSOFT,2.0,Mercedes,2018_2_Q,Bahrain Grand Prix
307,205.73615635179152,73.8451309271551,65.0,330.0,96.80000000000001,214.0,303.80000000000007,265.0,67.0586319218241,41.445410376294994,0.0,100.0,0.18566775244299674,0.5276872964169381,0.28664495114006516,0.1986970684039088,0.39967093828917094,0.0,1.0,0.1986970684039088,8,0.0915032679738562,0.9673202614379085,10181.899022801303,1409.345710926719,5721.0,12080.0,5.351791530944626,1.9553901660529718,2,8,42,-0.43790849673202614,10.466702905386802,7.137254901960785,0.0,15.809107149123223,4.823529411764706,0.9215686274509803,492.9885980048396,350.1372549019608,1.0,2018_r02_Q_LEC_lap5,LEC,2018,2,5.0,91.42,29.404,39.273,22.743,SUPERSOFT,2.0,Sauber,2018_2_Q,Bahrain Grand Prix
302,210.00993377483445,71.90578392213935,67.0,323.0,98.1,222.5,305.0,256.0,68.23509933774834,41.65776990963294,0.0,100.0,0.1986754966887417,0.5529801324503312,0.24834437086092714,0.2119205298013245,0.409347126624172,0.0,1.0,0.2119205298013245,8,0.09966777408637874,0.9767441860465116,10203.01655629139,1550.3753193837335,5511.0,12075.0,5.47682119205298,1.7889822904924422,2,8,32,-0.4318936877076412,10.428143622044786,7.136212624584718,-0.06312292358803986,16.157537009545717,4.714285714285714,0.45182724252491696,484.36123761608275,354.99003322259136,1.0,2018_r02_Q_OCO_lap15,OCO,2018,2,15.0,89.874,28.534,38.691,22.649,SUPERSOFT,2.0,Force India,2018_2_Q,Bahrain Grand Prix
302,210.17218543046357,70.51620407915433,73.0,318.0,100.1,221.0,301.0,245.0,69.70860927152317,41.91307083750305,0.0,100.0,0.22185430463576158,0.5794701986754967,0.1986754966887417,0.2119205298013245,0.409347126624172,0.0,1.0,0.2119205298013245,8,0.09966777408637874,0.9700996677740864,10094.5,1315.6057603291708,6020.0,11715.0,5.3344370860927155,1.93861087909538,2,8,38,-0.38870431893687707,10.63822065239051,7.086378737541528,-0.05647840531561462,15.608335365770605,4.674418604651163,-1.0099667774086378,493.515643014821,356.312292358804,1.0,2018_r02_Q_SAI_lap11,SAI,2018,2,11.0,89.802,28.661,38.688,22.453,SUPERSOFT,2.0,Renault,2018_2_Q,Bahrain Grand Prix
310,203.84516129032258,74.57249394739169,61.0,322.0,91.80000000000001,214.0,303.1,261.0,67.26451612903226,42.341511441953266,0.0,100.0,0.1967741935483871,0.532258064516129,0.2709677419354839,0.22580645161290322,0.4187883137555025,0.0,1.0,0.22580645161290322,7,0.09061488673139159,0.9676375404530745,10245.551612903226,1635.7001555742454,5308.0,12165.0,5.077419354838709,1.9592465491614057,2,8,42,-0.43042071197411,10.716802265435932,7.388349514563107,-0.042071197411003236,15.371002074917634,4.553398058252427,-0.24271844660194175,496.09282095226723,363.36893203883494,1.0,2018_r02_Q_STR_lap4,STR,2018,2,4.0,92.16,29.376,39.794,22.99,SUPERSOFT,4.0,Williams,2018_2_Q,Bahrain Grand Prix
437,138.03432494279176,54.35831859750061,55.0,295.0,81.0,130.0,205.40000000000003,240.0,26.91075514874142,31.976608403314152,0.0,100.0,0.41647597254004576,0.06864988558352403,0.5148741418764302,0.2700228832951945,0.44448016171034327,0.0,1.0,0.2700228832951945,10,0.06880733944954129,1.0,9143.274599542334,1071.6995944537907,5989.0,11518.0,3.4096109839816933,1.7594304449228102,1,8,41,-0.31880733944954126,4.6827356627226475,3.938073394495413,-0.22935779816513763,12.792154943260178,4.174311926605505,-5.511467889908257,460.4745202247689,343.48853211009174,1.0,2018_r02_Q_VER_lap3,VER,2018,2,3.0,129.86,41.559,61.666,26.635,SUPERSOFT,3.0,Red Bull Racing,2018_2_Q,Bahrain Grand Prix
309,214.83171521035598,73.82871650306579,81.0,326.0,106.8,228.0,306.0,245.0,69.00647249190939,41.47977081111057,0.0,100.0,0.1650485436893204,0.5792880258899676,0.255663430420712,0.1423948220064725,0.35002146423847613,0.0,1.0,0.1423948220064725,8,0.08766233766233766,0.7694805194805194,10345.880258899677,1338.0860975463,6002.0,12275.0,5.511326860841424,1.9045488575007261,3,8,31,0.1525974025974026,8.309922627704166,5.613636363636363,0.0,12.573950633261102,4.097402597402597,1.0649350649350648,446.3857707813073,313.24675324675326,1.0,2018_r03_Q_HAM_lap14,HAM,2018,3,14.0,91.675,24.341,27.289,40.045,ULTRASOFT,2.0,Mercedes,2018_3_Q,Chinese Grand Prix
