Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,season,round,event_name,session_name,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,session_max_rainfall,session_is_dry_by_weather,source_label,session_key,compound_upper,is_wet_compound,is_slick_compound,session_is_dry_final,dry_flag_source,lap_key
0 days 01:09:37.661000,HAM,44,0 days 00:01:25.892000,14.0,5.0,,,0 days 00:00:27.520000,0 days 00:00:34.708000,0 days 00:00:23.664000,0 days 01:08:39.289000,0 days 01:09:13.997000,0 days 01:09:37.661000,313.0,270.0,251.0,320.0,True,SOFT,2.0,True,Mercedes,1.0,,,,False,True,2018,10,British Grand Prix,Q,85.892,27.52,34.708,23.664,,,2018_2022_q_backfill,2018_10_Q,SOFT,False,True,True,compound_inference,2018_r10_Q_HAM_lap14
0 days 01:15:37.373000,HAM,44,0 days 00:01:19.294000,18.0,5.0,,,0 days 00:00:26.521000,0 days 00:00:26.540000,0 days 00:00:26.233000,0 days 01:14:44.600000,0 days 01:15:11.140000,0 days 01:15:37.373000,327.0,337.0,316.0,343.0,True,SUPERSOFT,2.0,True,Mercedes,1.0,,,,False,True,2018,14,Italian Grand Prix,Q,79.294,26.521,26.54,26.233,,,2018_2022_q_backfill,2018_14_Q,SUPERSOFT,False,True,True,compound_inference,2018_r14_Q_HAM_lap18
0 days 01:07:30.810000,HAM,44,0 days 00:01:36.015000,14.0,4.0,,,0 days 00:00:26.263000,0 days 00:00:36.967000,0 days 00:00:32.785000,0 days 01:06:21.058000,0 days 01:06:58.025000,0 days 01:07:30.810000,318.0,279.0,266.0,308.0,True,HYPERSOFT,2.0,True,Mercedes,1.0,,,,False,True,2018,15,Singapore Grand Prix,Q,96.015,26.263,36.967,32.785,,,2018_2022_q_backfill,2018_15_Q,HYPERSOFT,False,True,True,compound_inference,2018_r15_Q_HAM_lap14
0 days 01:06:39.320000,HAM,44,0 days 00:01:31.532000,15.0,4.0,,,0 days 00:00:33.215000,0 days 00:00:31.519000,0 days 00:00:26.798000,0 days 01:05:41.003000,0 days 01:06:12.522000,0 days 01:06:39.320000,278.0,328.0,171.0,327.0,True,HYPERSOFT,2.0,True,Mercedes,1.0,,,,False,True,2018,16,Russian Grand Prix,Q,91.532,33.215,31.519,26.798,,,2018_2022_q_backfill,2018_16_Q,HYPERSOFT,False,True,True,compound_inference,2018_r16_Q_HAM_lap15
0 days 01:15:19.089000,HAM,44,0 days 00:01:32.237000,18.0,5.0,,,0 days 00:00:24.729000,0 days 00:00:36.845000,0 days 00:00:30.663000,0 days 01:14:11.581000,0 days 01:14:48.426000,0 days 01:15:19.089000,243.0,196.0,208.0,323.0,True,ULTRASOFT,2.0,True,Mercedes,1.0,,,,False,True,2018,18,United States Grand Prix,Q,92.237,24.729,36.845,30.663,,,2018_2022_q_backfill,2018_18_Q,ULTRASOFT,False,True,True,compound_inference,2018_r18_Q_HAM_lap18
0 days 01:15:37.958000,HAM,44,0 days 00:01:14.894000,19.0,6.0,,,0 days 00:00:26.867000,0 days 00:00:28.612000,0 days 00:00:19.415000,0 days 01:14:49.931000,0 days 01:15:18.543000,0 days 01:15:37.958000,317.0,292.0,257.0,347.0,True,HYPERSOFT,2.0,True,Mercedes,1.0,,,,False,True,2018,19,Mexican Grand Prix,Q,74.894,26.867,28.612,19.415,,,2018_2022_q_backfill,2018_19_Q,HYPERSOFT,False,True,True,compound_inference,2018_r19_Q_HAM_lap19
0 days 01:14:21.165000,HAM,44,0 days 00:01:21.164000,19.0,6.0,,,0 days 00:00:26.698000,0 days 00:00:22.066000,0 days 00:00:32.400000,0 days 01:13:26.699000,0 days 01:13:48.765000,0 days 01:14:21.165000,284.0,293.0,302.0,318.0,True,ULTRASOFT,2.0,True,Mercedes,1.0,,,,False,True,2018,1,Australian Grand Prix,Q,81.164,26.698,22.066,32.4,,,2018_2022_q_backfill,2018_1_Q,ULTRASOFT,False,True,True,compound_inference,2018_r01_Q_HAM_lap19
0 days 01:15:40.377000,HAM,44,0 days 00:01:07.281000,16.0,5.0,,,0 days 00:00:17.487000,0 days 00:00:34.122000,0 days 00:00:15.672000,0 days 01:14:50.583000,0 days 01:15:24.705000,0 days 01:15:40.377000,329.0,273.0,328.0,330.0,True,SUPERSOFT,2.0,True,Mercedes,1.0,,,,False,True,2018,20,Brazilian Grand Prix,Q,67.281,17.487,34.122,15.672,,,2018_2022_q_backfill,2018_20_Q,SUPERSOFT,False,True,True,compound_inference,2018_r20_Q_HAM_lap16
0 days 01:15:32.192000,HAM,44,0 days 00:01:34.794000,17.0,5.0,,,0 days 00:00:16.893000,0 days 00:00:40.545000,0 days 00:00:37.356000,0 days 01:14:14.291000,0 days 01:14:54.836000,0 days 01:15:32.192000,293.0,308.0,223.0,320.0,True,HYPERSOFT,2.0,True,Mercedes,1.0,,,,False,True,2018,21,Abu Dhabi Grand Prix,Q,94.794,16.893,40.545,37.356,,,2018_2022_q_backfill,2018_21_Q,HYPERSOFT,False,True,True,compound_inference,2018_r21_Q_HAM_lap17
0 days 01:04:57.470000,HAM,44,0 days 00:01:28.220000,12.0,4.0,,,0 days 00:00:28.081000,0 days 00:00:37.990000,0 days 00:00:22.149000,0 days 01:03:57.331000,0 days 01:04:35.321000,0 days 01:04:57.470000,247.0,274.0,294.0,323.0,True,SUPERSOFT,2.0,True,Mercedes,1.0,,,,False,True,2018,2,Bahrain Grand Prix,Q,88.22,28.081,37.99,22.149,,,2018_2022_q_backfill,2018_2_Q,SUPERSOFT,False,True,True,compound_inference,2018_r02_Q_HAM_lap12
0 days 00:56:39.781000,HAM,44,0 days 00:01:31.675000,14.0,4.0,,,0 days 00:00:24.341000,0 days 00:00:27.289000,0 days 00:00:40.045000,0 days 00:55:32.447000,0 days 00:55:59.736000,0 days 00:56:39.781000,278.0,274.0,270.0,326.0,True,ULTRASOFT,2.0,True,Mercedes,1.0,,,,False,True,2018,3,Chinese Grand Prix,Q,91.675,24.341,27.289,40.045,,,2018_2022_q_backfill,2018_3_Q,ULTRASOFT,False,True,True,compound_inference,2018_r03_Q_HAM_lap14
0 days 01:04:07.396000,HAM,44,0 days 00:01:41.677000,19.0,5.0,,,0 days 00:00:35.296000,0 days 00:00:41.158000,0 days 00:00:25.223000,0 days 01:03:01.015000,0 days 01:03:42.173000,0 days 01:04:07.396000,225.0,231.0,329.0,316.0,True,ULTRASOFT,2.0,True,Mercedes,1.0,,,,False,True,2018,4,Azerbaijan Grand Prix,Q,101.677,35.296,41.158,25.223,,,2018_2022_q_backfill,2018_4_Q,ULTRASOFT,False,True,True,compound_inference,2018_r04_Q_HAM_lap19
0 days 01:03:23.647000,HAM,44,0 days 00:01:16.173000,15.0,5.0,,,0 days 00:00:21.531000,0 days 00:00:28.316000,0 days 00:00:26.326000,0 days 01:02:29.005000,0 days 01:02:57.321000,0 days 01:03:23.647000,293.0,309.0,290.0,320.0,True,SUPERSOFT,2.0,True,Mercedes,1.0,,,,False,True,2018,5,Spanish Grand Prix,Q,76.173,21.531,28.316,26.326,,,2018_2022_q_backfill,2018_5_Q,SUPERSOFT,False,True,True,compound_inference,2018_r05_Q_HAM_lap15
0 days 01:03:53.831000,HAM,44,0 days 00:01:11.232000,21.0,5.0,,,0 days 00:00:18.594000,0 days 00:00:33.446000,0 days 00:00:19.192000,0 days 01:03:01.193000,0 days 01:03:34.639000,0 days 01:03:53.831000,225.0,207.0,272.0,285.0,True,HYPERSOFT,2.0,True,Mercedes,1.0,,,,False,True,2018,6,Monaco Grand Prix,Q,71.232,18.594,33.446,19.192,,,2018_2022_q_backfill,2018_6_Q,HYPERSOFT,False,True,True,compound_inference,2018_r06_Q_HAM_lap21
