lap_key,season,round,Driver,LapNumber,status,car_rows,pos_rows,merged_rows
2018_r01_Q_HAM_lap19,2018,1,HAM,19.0,ok,342,273,273
2018_r01_Q_SAI_lap16,2018,1,SAI,16.0,ok,351,282,282
2018_r01_Q_VER_lap17,2018,1,VER,17.0,ok,345,275,275
2018_r02_Q_HAM_lap12,2018,2,HAM,12.0,ok,372,297,297
2018_r02_Q_LEC_lap5,2018,2,LEC,5.0,ok,386,307,307
2018_r02_Q_OCO_lap15,2018,2,OCO,15.0,ok,379,302,302
2018_r02_Q_SAI_lap11,2018,2,SAI,11.0,ok,378,302,302
2018_r02_Q_STR_lap4,2018,2,STR,4.0,ok,388,310,310
2018_r02_Q_VER_lap3,2018,2,VER,3.0,ok,546,437,437
2018_r03_Q_HAM_lap14,2018,3,HAM,14.0,ok,386,309,309
2018_r03_Q_LEC_lap8,2018,3,LEC,8.0,ok,391,318,318
2018_r03_Q_OCO_lap8,2018,3,OCO,8.0,ok,385,313,313
2018_r03_Q_SAI_lap17,2018,3,SAI,17.0,ok,393,313,313
2018_r03_Q_STR_lap6,2018,3,STR,6.0,ok,391,317,317
2018_r03_Q_VER_lap11,2018,3,VER,11.0,ok,390,309,309
2018_r04_Q_HAM_lap19,2018,4,HAM,19.0,ok,423,342,342
2018_r04_Q_LEC_lap9,2018,4,LEC,9.0,ok,431,350,350
2018_r04_Q_OCO_lap13,2018,4,OCO,13.0,ok,428,346,346
2018_r04_Q_SAI_lap19,2018,4,SAI,19.0,ok,431,347,347
2018_r04_Q_STR_lap15,2018,4,STR,15.0,ok,432,349,349
2018_r04_Q_VER_lap18,2018,4,VER,18.0,ok,425,343,343
2018_r05_Q_HAM_lap15,2018,5,HAM,15.0,ok,315,256,256
2018_r05_Q_LEC_lap12,2018,5,LEC,12.0,ok,326,266,266
2018_r05_Q_OCO_lap13,2018,5,OCO,13.0,ok,325,265,265
2018_r05_Q_SAI_lap18,2018,5,SAI,18.0,ok,321,262,262
2018_r05_Q_VER_lap12,2018,5,VER,12.0,ok,316,259,259
2018_r06_Q_HAM_lap21,2018,6,HAM,21.0,ok,294,240,240
