experiment,model,true_driver,pred_driver,count
experiment_a_with_time_features,logistic_regression,ALB,ALB,41
experiment_a_with_time_features,logistic_regression,ALB,ALO,0
experiment_a_with_time_features,logistic_regression,ALB,GAS,0
experiment_a_with_time_features,logistic_regression,ALB,HAM,0
experiment_a_with_time_features,logistic_regression,ALB,HUL,2
experiment_a_with_time_features,logistic_regression,ALB,LEC,1
experiment_a_with_time_features,logistic_regression,ALB,NOR,0
experiment_a_with_time_features,logistic_regression,ALB,OCO,1
experiment_a_with_time_features,logistic_regression,ALB,PIA,0
experiment_a_with_time_features,logistic_regression,ALB,RUS,3
experiment_a_with_time_features,logistic_regression,ALB,SAI,5
experiment_a_with_time_features,logistic_regression,ALB,STR,1
experiment_a_with_time_features,logistic_regression,ALB,TSU,0
experiment_a_with_time_features,logistic_regression,ALB,VER,1
experiment_a_with_time_features,logistic_regression,ALO,ALB,1
experiment_a_with_time_features,logistic_regression,ALO,ALO,38
experiment_a_with_time_features,logistic_regression,ALO,GAS,1
experiment_a_with_time_features,logistic_regression,ALO,HAM,0
experiment_a_with_time_features,logistic_regression,ALO,HUL,2
experiment_a_with_time_features,logistic_regression,ALO,LEC,1
experiment_a_with_time_features,logistic_regression,ALO,NOR,1
experiment_a_with_time_features,logistic_regression,ALO,OCO,1
experiment_a_with_time_features,logistic_regression,ALO,PIA,1
experiment_a_with_time_features,logistic_regression,ALO,RUS,4
experiment_a_with_time_features,logistic_regression,ALO,SAI,0
experiment_a_with_time_features,logistic_regression,ALO,STR,5
experiment_a_with_time_features,logistic_regression,ALO,TSU,0
experiment_a_with_time_features,logistic_regression,ALO,VER,0
experiment_a_with_time_features,logistic_regression,GAS,ALB,0
experiment_a_with_time_features,logistic_regression,GAS,ALO,1
experiment_a_with_time_features,logistic_regression,GAS,GAS,25
experiment_a_with_time_features,logistic_regression,GAS,HAM,0
experiment_a_with_time_features,logistic_regression,GAS,HUL,0
experiment_a_with_time_features,logistic_regression,GAS,LEC,0
experiment_a_with_time_features,logistic_regression,GAS,NOR,5
