experiment,model,fold,n_train,n_test,accuracy,balanced_accuracy,macro_f1
experiment_a_with_time_features,logistic_regression,1,612,154,0.6688311688311688,0.6688311688311688,0.649596666313308
experiment_a_with_time_features,logistic_regression,2,613,153,0.6078431372549019,0.6077922077922077,0.6013458140239768
experiment_a_with_time_features,logistic_regression,3,613,153,0.5620915032679739,0.5629870129870129,0.561943700557514
experiment_a_with_time_features,logistic_regression,4,613,153,0.5882352941176471,0.5883116883116882,0.5755260195109819
experiment_a_with_time_features,logistic_regression,5,613,153,0.6143790849673203,0.6136363636363636,0.6129084234299319
experiment_a_with_time_features,random_forest,1,612,154,0.37012987012987014,0.37012987012987014,0.3572063415168455
experiment_a_with_time_features,random_forest,2,613,153,0.40522875816993464,0.4045454545454546,0.3966638329973137
experiment_a_with_time_features,random_forest,3,613,153,0.40522875816993464,0.4071428571428571,0.3750493881763232
experiment_a_with_time_features,random_forest,4,613,153,0.27450980392156865,0.27467532467532463,0.26708260135918155
experiment_a_with_time_features,random_forest,5,613,153,0.28104575163398693,0.285064935064935,0.27293410117670264
experiment_a_with_time_features,hist_gradient_boosting,1,612,154,0.4675324675324675,0.4675324675324674,0.45208106965135414
experiment_a_with_time_features,hist_gradient_boosting,2,613,153,0.4117647058823529,0.4103896103896104,0.4012951114847159
experiment_a_with_time_features,hist_gradient_boosting,3,613,153,0.37254901960784315,0.37272727272727274,0.3715187732754027
experiment_a_with_time_features,hist_gradient_boosting,4,613,153,0.39215686274509803,0.39220779220779217,0.38816468604710763
experiment_a_with_time_features,hist_gradient_boosting,5,613,153,0.35947712418300654,0.36233766233766224,0.3645125294007619
experiment_a_with_time_features,xgboost,1,612,154,0.42207792207792205,0.422077922077922,0.4081529831905771
experiment_a_with_time_features,xgboost,2,613,153,0.41830065359477125,0.4162337662337662,0.407038291817343
experiment_a_with_time_features,xgboost,3,613,153,0.33986928104575165,0.34090909090909094,0.3358245569109489
experiment_a_with_time_features,xgboost,4,613,153,0.39869281045751637,0.3974025974025973,0.38447011318413965
experiment_a_with_time_features,xgboost,5,613,153,0.33986928104575165,0.3422077922077921,0.34459576264616354
experiment_b_without_time_features,logistic_regression,1,612,154,0.6753246753246753,0.6753246753246753,0.6583908069156515
experiment_b_without_time_features,logistic_regression,2,613,153,0.6143790849673203,0.6142857142857142,0.6083177059529385
experiment_b_without_time_features,logistic_regression,3,613,153,0.5751633986928104,0.5753246753246753,0.577034947950472
experiment_b_without_time_features,logistic_regression,4,613,153,0.6143790849673203,0.6142857142857141,0.5985418834552539
experiment_b_without_time_features,logistic_regression,5,613,153,0.6078431372549019,0.6077922077922079,0.6093279961326036
experiment_b_without_time_features,random_forest,1,612,154,0.37662337662337664,0.3766233766233766,0.3544823855324178
experiment_b_without_time_features,random_forest,2,613,153,0.3790849673202614,0.37792207792207794,0.36972547232609154
experiment_b_without_time_features,random_forest,3,613,153,0.3790849673202614,0.3818181818181818,0.35307181282701927
experiment_b_without_time_features,random_forest,4,613,153,0.32679738562091504,0.32727272727272727,0.31293250400393263
experiment_b_without_time_features,random_forest,5,613,153,0.3006535947712418,0.3045454545454545,0.2952271323985549
experiment_b_without_time_features,hist_gradient_boosting,1,612,154,0.45454545454545453,0.45454545454545453,0.4325683679402215
experiment_b_without_time_features,hist_gradient_boosting,2,613,153,0.43137254901960786,0.4298701298701299,0.4222431706658578
experiment_b_without_time_features,hist_gradient_boosting,3,613,153,0.40522875816993464,0.4058441558441558,0.4097145770061938
experiment_b_without_time_features,hist_gradient_boosting,4,613,153,0.39869281045751637,0.39805194805194805,0.3893026874243309
experiment_b_without_time_features,hist_gradient_boosting,5,613,153,0.37254901960784315,0.37597402597402585,0.3770648190573003
experiment_b_without_time_features,xgboost,1,612,154,0.44805194805194803,0.448051948051948,0.43322392419973327
experiment_b_without_time_features,xgboost,2,613,153,0.43790849673202614,0.43571428571428567,0.4267654643856016
experiment_b_without_time_features,xgboost,3,613,153,0.38562091503267976,0.3870129870129869,0.38316556114159134
experiment_b_without_time_features,xgboost,4,613,153,0.40522875816993464,0.4038961038961038,0.3893856983073089
experiment_b_without_time_features,xgboost,5,613,153,0.35294117647058826,0.35584415584415574,0.3576769940632652
