experiment,model,importance_type,feature,importance
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__gear_mean,1.2206724839599368
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__gear_std,1.1737423763988477
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__throttle_zero_frac,1.1285630963782765
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__throttle_full_frac,1.0312795723341783
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__throttle_mid_frac,0.9740371348418596
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__throttle_p75,0.9143552643540583
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__throttle_diff_std,0.8634710561287858
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__gear_change_count,0.8588542049691291
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__throttle_std,0.7658737503255919
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__rpm_max,0.76495857971229
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__throttle_diff_abs_mean,0.7616223169090193
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__rpm_median,0.693162084051043
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__throttle_mean,0.6684621870271753
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__rpm_diff_std,0.652730573309489
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__rpm_diff_abs_mean,0.6384152064272487
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__throttle_low_frac,0.5842872384282637
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__rpm_mean,0.5764015491573826
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__speed_diff_abs_mean,0.5589423304744213
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__speed_std,0.5563395762344598
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__throttle_p90,0.5485282036847876
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__gear_median,0.5454296039845966
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__throttle_diff_abs_max,0.5399665174727283
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__brake_mean,0.5314601059340178
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__brake_active_frac,0.5314601059340178
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__brake_std,0.5297417983028254
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__speed_median,0.5141158274725325
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__gear_max,0.5039525352346287
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__rpm_std,0.48999510231805843
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__speed_diff_std,0.4766565965388513
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__throttle_p25,0.4671529138310055
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__speed_p90,0.462024018539832
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__speed_p25,0.4577148818335873
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__speed_p75,0.4366741184365074
experiment_a_with_time_features,logistic_regression,mean_abs_coef,num__throttle_p10,0.43540607473341275
