lap_key,season,round,Driver,LapNumber,status,car_rows,pos_rows,merged_rows
2023_1_ALB_5.0,2023,1,ALB,5.0,ok,351,358,351
2023_1_ALO_14.0,2023,1,ALO,14.0,ok,343,361,343
2023_1_BOT_11.0,2023,1,BOT,11.0,ok,347,355,347
2023_1_DEV_5.0,2023,1,DEV,5.0,ok,352,359,352
2023_1_GAS_5.0,2023,1,GAS,5.0,ok,358,361,358
2023_1_HAM_14.0,2023,1,HAM,14.0,ok,333,358,333
2023_1_HUL_13.0,2023,1,HUL,13.0,ok,346,351,346
2023_1_LEC_16.0,2023,1,LEC,16.0,ok,342,347,342
2023_1_MAG_5.0,2023,1,MAG,5.0,ok,354,359,354
2023_1_NOR_12.0,2023,1,NOR,12.0,ok,347,357,347
2023_1_OCO_11.0,2023,1,OCO,11.0,ok,345,351,345
2023_1_PER_14.0,2023,1,PER,14.0,ok,324,334,324
2023_1_PIA_6.0,2023,1,PIA,6.0,ok,355,360,355
2023_1_RUS_14.0,2023,1,RUS,14.0,ok,331,359,331
2023_1_SAI_17.0,2023,1,SAI,17.0,ok,327,341,327
2023_1_SAR_5.0,2023,1,SAR,5.0,ok,348,359,348
2023_1_STR_17.0,2023,1,STR,17.0,ok,338,339,338
2023_1_TSU_8.0,2023,1,TSU,8.0,ok,355,358,355
2023_1_VER_14.0,2023,1,VER,14.0,ok,318,334,318
2023_1_ZHO_11.0,2023,1,ZHO,11.0,ok,347,355,347
2023_2_ALB_8.0,2023,2,ALB,8.0,ok,328,342,328
2023_2_ALO_17.0,2023,2,ALO,17.0,ok,344,351,344
2023_2_BOT_17.0,2023,2,BOT,17.0,ok,338,339,338
2023_2_DEV_9.0,2023,2,DEV,9.0,ok,327,349,327
2023_2_GAS_22.0,2023,2,GAS,22.0,ok,326,348,326
2023_2_HAM_17.0,2023,2,HAM,17.0,ok,321,340,321
2023_2_HUL_17.0,2023,2,HUL,17.0,ok,336,339,336
2023_2_LEC_18.0,2023,2,LEC,18.0,ok,325,338,325
2023_2_MAG_16.0,2023,2,MAG,16.0,ok,337,337,337
2023_2_NOR_2.0,2023,2,NOR,2.0,ok,343,351,343
2023_2_OCO_23.0,2023,2,OCO,23.0,ok,331,350,331
2023_2_PER_15.0,2023,2,PER,15.0,ok,335,338,335
2023_2_PIA_22.0,2023,2,PIA,22.0,ok,333,353,333
2023_2_RUS_20.0,2023,2,RUS,20.0,ok,329,341,329
2023_2_SAI_23.0,2023,2,SAI,23.0,ok,326,336,326
2023_2_SAR_2.0,2023,2,SAR,2.0,ok,347,343,343
2023_2_STR_19.0,2023,2,STR,19.0,ok,323,344,323
