column,missing_fraction
PitOutTime,1.0
Position,1.0
PitInTime,1.0
Deleted,1.0
TyreLife,0.0007964319847085059
Driver,0.0
Time,0.0
Stint,0.0
LapNumber,0.0
LapTime,0.0
DriverNumber,0.0
Sector1SessionTime,0.0
Sector2SessionTime,0.0
Sector2Time,0.0
Sector1Time,0.0
SpeedI1,0.0
SpeedI2,0.0
SpeedST,0.0
SpeedFL,0.0
IsPersonalBest,0.0
Compound,0.0
Sector3SessionTime,0.0
Sector3Time,0.0
Team,0.0
FreshTyre,0.0
TrackStatus,0.0
DeletedReason,0.0
FastF1Generated,0.0
IsAccurate,0.0
season,0.0
round,0.0
event_name,0.0
session_name,0.0
LapTimeSeconds,0.0
Sector1TimeSeconds,0.0
Sector2TimeSeconds,0.0
Sector3TimeSeconds,0.0
session_max_rainfall,0.0
session_is_dry_by_weather,0.0
