Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,season,round,event_name,session_name,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,session_max_rainfall,session_is_dry_by_weather
0 days 00:31:03.689000,VER,1,0 days 00:01:31.295000,3.0,2.0,,,0 days 00:00:29.152000,0 days 00:00:39.195000,0 days 00:00:22.948000,0 days 00:30:01.546000,0 days 00:30:40.741000,0 days 00:31:03.689000,240.0,270.0,288.0,322.0,True,SOFT,3.0,False,Red Bull Racing,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.295,29.152,39.195,22.948,False,True
0 days 00:55:15.214000,VER,1,0 days 00:01:30.503000,8.0,4.0,,,0 days 00:00:28.925000,0 days 00:00:38.915000,0 days 00:00:22.663000,0 days 00:54:13.636000,0 days 00:54:52.551000,0 days 00:55:15.214000,240.0,270.0,288.0,323.0,True,SOFT,2.0,True,Red Bull Racing,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.503,28.925,38.915,22.663,False,True
0 days 01:15:51.213000,VER,1,0 days 00:01:29.897000,11.0,5.0,,,0 days 00:00:28.722000,0 days 00:00:38.645000,0 days 00:00:22.530000,0 days 01:14:50.038000,0 days 01:15:28.683000,0 days 01:15:51.213000,242.0,269.0,288.0,321.0,True,SOFT,2.0,True,Red Bull Racing,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,89.897,28.722,38.645,22.53,False,True
0 days 01:23:54.472000,VER,1,0 days 00:01:29.708000,14.0,6.0,,,0 days 00:00:28.736000,0 days 00:00:38.514000,0 days 00:00:22.458000,0 days 01:22:53.500000,0 days 01:23:32.014000,0 days 01:23:54.472000,241.0,271.0,288.0,321.0,True,SOFT,2.0,False,Red Bull Racing,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,89.708,28.736,38.514,22.458,False,True
0 days 00:32:06.785000,PER,11,0 days 00:01:31.479000,3.0,2.0,,,0 days 00:00:29.218000,0 days 00:00:39.397000,0 days 00:00:22.864000,0 days 00:31:04.524000,0 days 00:31:43.921000,0 days 00:32:06.785000,240.0,270.0,288.0,324.0,True,SOFT,3.0,False,Red Bull Racing,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.479,29.218,39.397,22.864,False,True
0 days 00:55:22.843000,PER,11,0 days 00:01:30.746000,8.0,4.0,,,0 days 00:00:28.964000,0 days 00:00:38.997000,0 days 00:00:22.785000,0 days 00:54:21.061000,0 days 00:55:00.058000,0 days 00:55:22.843000,240.0,270.0,288.0,323.0,True,SOFT,2.0,True,Red Bull Racing,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.746,28.964,38.997,22.785,False,True
0 days 01:15:57.035000,PER,11,0 days 00:01:30.131000,11.0,5.0,,,0 days 00:00:28.846000,0 days 00:00:38.747000,0 days 00:00:22.538000,0 days 01:14:55.750000,0 days 01:15:34.497000,0 days 01:15:57.035000,241.0,270.0,289.0,323.0,True,SOFT,2.0,True,Red Bull Racing,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.131,28.846,38.747,22.538,False,True
0 days 01:24:00.743000,PER,11,0 days 00:01:29.846000,14.0,6.0,,,0 days 00:00:28.723000,0 days 00:00:38.537000,0 days 00:00:22.586000,0 days 01:22:59.620000,0 days 01:23:38.157000,0 days 01:24:00.743000,241.0,271.0,288.0,324.0,True,SOFT,2.0,False,Red Bull Racing,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,89.846,28.723,38.537,22.586,False,True
0 days 00:19:34.783000,LEC,16,0 days 00:02:11.454000,2.0,1.0,,,0 days 00:00:40.852000,0 days 00:01:02.365000,0 days 00:00:28.237000,0 days 00:18:04.181000,0 days 00:19:06.546000,0 days 00:19:34.783000,172.0,167.0,287.0,323.0,True,MEDIUM,2.0,True,Ferrari,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,131.454,40.852,62.365,28.237,False,True
0 days 00:31:39.739000,LEC,16,0 days 00:01:31.094000,5.0,2.0,,,0 days 00:00:29.099000,0 days 00:00:39.134000,0 days 00:00:22.861000,0 days 00:30:37.744000,0 days 00:31:16.878000,0 days 00:31:39.739000,242.0,274.0,285.0,324.0,True,SOFT,2.0,True,Ferrari,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.094,29.099,39.134,22.861,False,True
0 days 00:55:01.222000,LEC,16,0 days 00:01:31.699000,10.0,4.0,,,0 days 00:00:29.301000,0 days 00:00:39.434000,0 days 00:00:22.964000,0 days 00:53:58.824000,0 days 00:54:38.258000,0 days 00:55:01.222000,241.0,272.0,289.0,323.0,True,SOFT,7.0,False,Ferrari,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.699,29.301,39.434,22.964,False,True
0 days 01:03:38.975000,LEC,16,0 days 00:01:30.282000,13.0,5.0,,,0 days 00:00:28.884000,0 days 00:00:38.729000,0 days 00:00:22.669000,0 days 01:02:37.577000,0 days 01:03:16.306000,0 days 01:03:38.975000,243.0,272.0,290.0,325.0,True,SOFT,2.0,True,Ferrari,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.282,28.884,38.729,22.669,False,True
0 days 01:16:04.860000,LEC,16,0 days 00:01:30,16.0,6.0,,,0 days 00:00:28.825000,0 days 00:00:38.614000,0 days 00:00:22.561000,0 days 01:15:03.685000,0 days 01:15:42.299000,0 days 01:16:04.860000,243.0,273.0,289.0,322.0,True,SOFT,2.0,True,Ferrari,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.0,28.825,38.614,22.561,False,True
0 days 00:19:02.863000,SAI,55,0 days 00:01:32.408000,2.0,1.0,,,0 days 00:00:29.425000,0 days 00:00:39.878000,0 days 00:00:23.105000,0 days 00:17:59.880000,0 days 00:18:39.758000,0 days 00:19:02.863000,239.0,269.0,288.0,324.0,True,MEDIUM,2.0,True,Ferrari,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,92.408,29.425,39.878,23.105,False,True
0 days 00:31:55.485000,SAI,55,0 days 00:01:30.993000,5.0,2.0,,,0 days 00:00:28.887000,0 days 00:00:39.206000,0 days 00:00:22.900000,0 days 00:30:53.379000,0 days 00:31:32.585000,0 days 00:31:55.485000,242.0,271.0,288.0,326.0,True,SOFT,2.0,True,Ferrari,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.993,28.887,39.206,22.9,False,True
0 days 00:55:07.607000,SAI,55,0 days 00:01:31.463000,8.0,3.0,,,0 days 00:00:29.184000,0 days 00:00:39.406000,0 days 00:00:22.873000,0 days 00:54:05.328000,0 days 00:54:44.734000,0 days 00:55:07.607000,241.0,270.0,289.0,323.0,True,SOFT,5.0,False,Ferrari,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.463,29.184,39.406,22.873,False,True
0 days 01:03:44.694000,SAI,55,0 days 00:01:30.515000,11.0,4.0,,,0 days 00:00:28.780000,0 days 00:00:39.032000,0 days 00:00:22.703000,0 days 01:02:42.959000,0 days 01:03:21.991000,0 days 01:03:44.694000,242.0,270.0,290.0,326.0,True,SOFT,2.0,True,Ferrari,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.515,28.78,39.032,22.703,False,True
0 days 01:16:12.680000,SAI,55,0 days 00:01:30.361000,14.0,5.0,,,0 days 00:00:28.735000,0 days 00:00:38.965000,0 days 00:00:22.661000,0 days 01:15:11.054000,0 days 01:15:50.019000,0 days 01:16:12.680000,242.0,269.0,289.0,323.0,True,SOFT,2.0,True,Ferrari,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.361,28.735,38.965,22.661,False,True
0 days 01:24:09.817000,SAI,55,0 days 00:01:30.154000,17.0,6.0,,,0 days 00:00:28.739000,0 days 00:00:38.700000,0 days 00:00:22.715000,0 days 01:23:08.402000,0 days 01:23:47.102000,0 days 01:24:09.817000,243.0,270.0,288.0,323.0,True,SOFT,2.0,False,Ferrari,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.154,28.739,38.7,22.715,False,True
0 days 00:31:10.357000,ALO,14,0 days 00:01:31.158000,2.0,1.0,,,0 days 00:00:29.259000,0 days 00:00:39.038000,0 days 00:00:22.861000,0 days 00:30:08.458000,0 days 00:30:47.496000,0 days 00:31:10.357000,240.0,268.0,285.0,318.0,True,SOFT,2.0,True,Aston Martin,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.158,29.259,39.038,22.861,False,True
0 days 00:54:32.736000,ALO,14,0 days 00:01:31.094000,8.0,3.0,,,0 days 00:00:29.132000,0 days 00:00:39.075000,0 days 00:00:22.887000,0 days 00:53:30.774000,0 days 00:54:09.849000,0 days 00:54:32.736000,241.0,266.0,283.0,318.0,True,SOFT,2.0,True,Aston Martin,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.094,29.132,39.075,22.887,False,True
0 days 01:03:27.044000,ALO,14,0 days 00:01:30.645000,11.0,4.0,,,0 days 00:00:29.012000,0 days 00:00:38.987000,0 days 00:00:22.646000,0 days 01:02:25.411000,0 days 01:03:04.398000,0 days 01:03:27.044000,241.0,267.0,287.0,320.0,True,SOFT,2.0,True,Aston Martin,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.645,29.012,38.987,22.646,False,True
0 days 01:19:51.112000,ALO,14,0 days 00:01:30.336000,14.0,5.0,,,0 days 00:00:28.852000,0 days 00:00:38.774000,0 days 00:00:22.710000,0 days 01:18:49.628000,0 days 01:19:28.402000,0 days 01:19:51.112000,242.0,267.0,284.0,317.0,True,SOFT,2.0,True,Aston Martin,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.336,28.852,38.774,22.71,False,True
0 days 00:31:45.169000,RUS,63,0 days 00:01:31.057000,2.0,1.0,,,0 days 00:00:28.967000,0 days 00:00:39.224000,0 days 00:00:22.866000,0 days 00:30:43.079000,0 days 00:31:22.303000,0 days 00:31:45.169000,242.0,271.0,289.0,320.0,True,SOFT,2.0,True,Mercedes,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.057,28.967,39.224,22.866,False,True
0 days 00:54:49.908000,RUS,63,0 days 00:01:31.086000,8.0,3.0,,,0 days 00:00:29.075000,0 days 00:00:39.208000,0 days 00:00:22.803000,0 days 00:53:47.897000,0 days 00:54:27.105000,0 days 00:54:49.908000,243.0,270.0,289.0,319.0,True,SOFT,2.0,True,Mercedes,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.086,29.075,39.208,22.803,False,True
