driver,n_lap_rows,n_sessions,n_seasons,n_q_rows,n_r_rows,n_q_sessions_x,n_r_sessions,avg_sessions_per_season,coverage_rank_score,n_samples,n_correct,current_recall_2023_2025,has_current_distinctiveness_signal,n_q_sessions_y,n_q_seasons,q_coverage_rank_score,n_q_sessions_final,coverage_rank,distinctiveness_rank,coverage_norm,distinctiveness_norm,balanced_score,coverage_floor_ge_7_seasons,coverage_floor_ge_8_seasons,coverage_floor_ge_140_q_sessions
SAI,7154,256,8,2190,4964,163,93,32.0,82567.154,54.0,41.0,0.7592592592592593,True,163,8,81632.19,163,4.0,2.0,0.9998019093652211,0.9310699588477367,0.9654359341064789,True,True,True
VER,6990,256,8,2073,4917,163,93,32.0,82566.99,55.0,41.0,0.7454545454545455,True,163,8,81632.073,163,5.0,3.0,0.9997996126053094,0.8888888888888888,0.9443442507470992,True,True,True
LEC,6973,257,8,2281,4692,164,93,32.125,82576.973,55.0,39.0,0.7090909090909091,True,164,8,81642.281,164,1.0,5.0,1.0,0.7777777777777778,0.8888888888888888,True,True,True
OCO,5337,213,7,1636,3701,141,72,30.428571428571427,72135.337,54.0,40.0,0.7407407407407407,True,141,7,71411.636,141,9.0,4.0,0.7991680742991231,0.8744855967078188,0.8368268355034709,True,False,True
ALB,4225,170,6,1398,2827,120,50,28.33333333333333,61704.225,55.0,43.0,0.7818181818181819,True,120,6,61201.398,120,12.0,1.0,0.5987367467137881,1.0,0.799368373356894,False,False,False
HAM,7657,255,8,2325,5332,163,92,31.875,82557.657,55.0,35.0,0.6363636363636364,True,163,8,81632.325,163,3.0,7.0,0.9998045594728114,0.5555555555555556,0.7776800575141836,True,True,True
STR,6582,255,8,1621,4961,163,92,31.875,82556.582,54.0,33.0,0.6111111111111112,True,163,8,81631.621,163,6.0,8.0,0.999790739652488,0.47839506172839524,0.7390929006904416,True,True,True
GAS,6832,257,8,1993,4839,164,93,32.125,82576.832,55.0,30.0,0.5454545454545454,True,164,8,81641.993,164,2.0,10.0,0.9999943464371404,0.2777777777777778,0.638886062107459,True,True,True
RUS,5638,215,7,1791,3847,143,72,30.714285714285715,72155.638,55.0,32.0,0.5818181818181818,True,143,7,71431.791,143,8.0,9.0,0.7995637255471627,0.3888888888888889,0.5942263072180258,True,False,True
ALO,4358,181,6,1524,2834,126,55,30.166666666666668,61814.358,55.0,35.0,0.6363636363636364,True,126,6,61261.524,126,11.0,7.0,0.5999170457432911,0.5555555555555556,0.5777363006494234,False,False,False
TSU,2794,138,5,1140,1654,105,33,27.6,51382.794,54.0,35.0,0.6481481481481481,True,105,5,51051.14,105,13.0,6.0,0.3994828521156731,0.5915637860082305,0.4955233190619518,False,False,False
HUL,3560,164,7,1251,2309,117,47,23.428571428571427,71643.56,55.0,26.0,0.4727272727272727,True,117,7,71171.251,117,10.0,11.0,0.7944492142018755,0.055555555555555726,0.4250023848787156,True,False,False
NOR,5889,215,7,1923,3966,143,72,30.714285714285715,72155.889,55.0,25.0,0.4545454545454545,True,143,7,71431.923,143,7.0,12.0,0.7995663167634733,0.0,0.39978315838173667,True,False,True
PIA,953,70,3,953,0,70,0,23.33333333333333,30700.953,55.0,35.0,0.6363636363636364,True,70,3,30700.953,70,14.0,7.0,0.0,0.5555555555555556,0.2777777777777778,False,False,False
