Driver,season,n_sessions,n_q_sessions,n_r_sessions,n_lap_rows
AIT,2020,2,1,1,93
ALB,2019,41,20,21,1468
ALB,2020,34,17,17,1192
ALB,2022,42,21,21,1289
ALB,2023,22,22,0,266
ALB,2024,24,24,0,271
ALB,2025,24,24,0,281
ALO,2018,42,21,21,1187
ALO,2021,44,22,22,1472
ALO,2022,44,22,22,1381
ALO,2023,22,22,0,325
ALO,2024,24,24,0,282
ALO,2025,24,24,0,290
ANT,2025,24,24,0,268
BEA,2024,3,3,0,33
BEA,2025,24,24,0,240
BOR,2025,23,23,0,224
BOT,2018,42,21,21,1459
BOT,2019,42,21,21,1500
BOT,2020,34,17,17,1198
BOT,2021,44,22,22,1452
BOT,2022,44,22,22,1369
BOT,2023,22,22,0,251
BOT,2024,24,24,0,212
COL,2024,9,9,0,66
COL,2025,18,18,0,143
DEV,2022,2,1,1,63
DEV,2023,10,10,0,104
DOO,2024,1,1,0,5
DOO,2025,6,6,0,52
ERI,2018,42,21,21,1286
FIT,2020,4,2,2,155
GAS,2018,42,21,21,1255
GAS,2019,42,21,21,1463
GAS,2020,34,17,17,1073
GAS,2021,44,22,22,1415
GAS,2022,44,22,22,1475
GAS,2023,22,22,0,287
GAS,2024,24,24,0,277
GAS,2025,24,24,0,253
GIO,2019,42,21,21,1410
GIO,2020,34,17,17,1017
GIO,2021,44,22,22,1462
GRO,2018,41,20,21,1315
GRO,2019,42,21,21,1253
GRO,2020,30,15,15,881
HAD,2025,24,24,0,270
HAM,2018,42,21,21,1519
HAM,2019,42,21,21,1536
HAM,2020,32,16,16,1146
HAM,2021,44,22,22,1584
HAM,2022,44,22,22,1559
HAM,2023,22,22,0,343
HAM,2024,24,24,0,322
HAM,2025,24,24,0,299
HAR,2018,40,19,21,1152
HUL,2018,42,21,21,1159
HUL,2019,42,21,21,1374
HUL,2020,6,3,3,145
HUL,2022,4,2,2,116
HUL,2023,22,22,0,264
HUL,2024,24,24,0,268
HUL,2025,24,24,0,234
KUB,2019,42,21,21,1305
KUB,2021,4,2,2,135
KVY,2019,41,20,21,1392
KVY,2020,34,17,17,1158
LAT,2020,34,17,17,1018
LAT,2021,44,22,22,1345
LAT,2022,44,22,22,1316
LAW,2023,5,5,0,56
LAW,2024,6,6,0,63
LAW,2025,24,24,0,241
LEC,2018,42,21,21,1300
LEC,2019,42,21,21,1393
LEC,2020,34,17,17,1014
LEC,2021,44,22,22,1432
LEC,2022,44,22,22,1464
LEC,2023,22,22,0,347
LEC,2024,24,24,0,359
LEC,2025,24,24,0,339
MAG,2018,42,21,21,1412
MAG,2019,42,21,21,1385
MAG,2020,34,17,17,941
MAG,2022,44,22,22,1371
MAG,2023,22,22,0,212
MAG,2024,22,22,0,210
MAZ,2021,43,22,21,1150
MSC,2021,42,20,22,1276
MSC,2022,43,22,21,1371
NOR,2019,42,21,21,1362
NOR,2020,34,17,17,1216
NOR,2021,44,22,22,1498
NOR,2022,44,22,22,1538
NOR,2023,22,22,0,298
NOR,2024,24,24,0,319
NOR,2025,24,24,0,332
OCO,2018,42,21,21,1306
OCO,2020,34,17,17,1044
OCO,2021,44,22,22,1370
OCO,2022,43,21,22,1479
OCO,2023,22,22,0,278
OCO,2024,23,23,0,257
OCO,2025,24,24,0,229
PER,2018,42,21,21,1409
PER,2019,42,21,21,1343
PER,2020,30,15,15,1035
PER,2021,44,22,22,1469
PER,2022,44,22,22,1459
PER,2023,22,22,0,272
PER,2024,24,24,0,267
PIA,2023,22,22,0,307
PIA,2024,24,24,0,320
PIA,2025,24,24,0,326
RAI,2018,42,21,21,1382
RAI,2019,42,21,21,1452
RAI,2020,34,17,17,1126
RAI,2021,40,20,20,1223
RIC,2018,42,21,21,1259
RIC,2019,42,21,21,1343
RIC,2020,34,17,17,1150
RIC,2021,44,22,22,1505
RIC,2022,44,22,22,1432
RIC,2023,7,7,0,66
RIC,2024,18,18,0,179
RUS,2019,42,21,21,1325
RUS,2020,34,17,17,1062
RUS,2021,44,22,22,1384
RUS,2022,44,22,22,1558
RUS,2023,22,22,0,345
RUS,2024,24,24,0,347
RUS,2025,24,24,0,307
SAI,2018,42,21,21,1426
SAI,2019,42,21,21,1373
SAI,2020,34,17,17,1079
SAI,2021,44,22,22,1555
SAI,2022,44,22,22,1333
SAI,2023,22,22,0,348
SAI,2024,23,23,0,337
SAI,2025,24,24,0,300
SAR,2023,22,22,0,198
SAR,2024,13,13,0,112
SIR,2018,42,21,21,1270
STR,2018,42,21,21,1293
STR,2019,42,21,21,1365
STR,2020,32,16,16,974
STR,2021,44,22,22,1383
STR,2022,44,22,22,1419
STR,2023,22,22,0,278
STR,2024,24,24,0,268
STR,2025,24,24,0,213
TSU,2021,44,22,22,1300
TSU,2022,43,22,21,1313
TSU,2023,22,22,0,252
TSU,2024,24,24,0,285
TSU,2025,24,24,0,227
VAN,2018,42,21,21,1362
VER,2018,41,20,21,1325
VER,2019,42,21,21,1385
VER,2020,34,17,17,1006
VER,2021,44,22,22,1460
VER,2022,44,22,22,1535
VER,2023,22,22,0,316
VER,2024,24,24,0,327
VER,2025,24,24,0,299
VET,2018,42,21,21,1501
VET,2019,42,21,21,1420
VET,2020,34,17,17,1095
VET,2021,44,22,22,1495
VET,2022,40,20,20,1293
ZHO,2022,44,22,22,1296
ZHO,2023,22,22,0,209
ZHO,2024,24,24,0,206
