Driver,n_q_lap_rows,n_q_sessions,n_q_seasons,q_coverage_rank_score
LEC,2393,173,8,81732.393
GAS,2098,173,8,81732.098
HAM,2459,172,8,81722.459
SAI,2299,172,8,81722.299
VER,2176,172,8,81722.176
STR,1716,172,8,81721.716
NOR,2048,152,7,71522.048
RUS,1918,152,7,71521.918
OCO,1729,150,7,71501.729
BOT,1845,149,7,71491.845
PER,1744,147,7,71471.744
RIC,1432,128,7,71281.432
HUL,1251,117,7,71171.251
ALO,1630,135,6,61351.63
ALB,1480,128,6,61281.48
MAG,1286,125,6,61251.286
TSU,1233,114,5,51141.233
VET,1207,101,5,51011.207
RAI,860,79,4,40790.86
PIA,953,70,3,30700.953
ZHO,663,68,3,30680.663
LAT,465,61,3,30610.465
GIO,579,60,3,30600.579
GRO,579,56,3,30560.579
LAW,360,35,3,30350.36
MSC,401,42,2,20420.401
KVY,415,37,2,20370.415
SAR,310,35,2,20350.31
BEA,273,27,2,20270.273
COL,209,27,2,20270.209
KUB,152,23,2,20230.152
DEV,114,11,2,20110.114
DOO,57,7,2,20070.057
HAD,270,24,1,10240.27
ANT,268,24,1,10240.268
BOR,224,23,1,10230.224
MAZ,157,22,1,10220.157
ERI,209,21,1,10210.209
VAN,176,21,1,10210.176
SIR,162,21,1,10210.162
HAR,176,19,1,10190.176
FIT,16,2,1,10020.016
AIT,7,1,1,10010.007
