driver,n_lap_rows,n_sessions,n_seasons,n_q_rows,n_r_rows,n_q_sessions,n_r_sessions,avg_sessions_per_season,coverage_rank_score,n_samples,n_correct,current_recall_2023_2025,has_current_distinctiveness_signal
LEC,7648,276,8,2393,5255,173,103,34.5,82767.648,55.0,39.0,0.7090909090909091,True
GAS,7498,276,8,2098,5400,173,103,34.5,82767.498,55.0,30.0,0.5454545454545454,True
SAI,7751,275,8,2299,5452,172,103,34.375,82757.751,54.0,41.0,0.7592592592592593,True
VER,7653,275,8,2176,5477,172,103,34.375,82757.653,55.0,41.0,0.7454545454545455,True
HAM,8308,274,8,2459,5849,172,102,34.25,82748.308,55.0,35.0,0.6363636363636364,True
STR,7193,274,8,1716,5477,172,102,34.25,82747.193,54.0,33.0,0.6111111111111112,True
BOT,7441,252,7,1845,5596,149,103,36.0,72527.441,,,,False
PER,7254,248,7,1744,5510,147,101,35.42857142857143,72487.254,,,,False
NOR,6563,234,7,2048,4515,152,82,33.42857142857143,72346.563,55.0,25.0,0.4545454545454545,True
RUS,6328,234,7,1918,4410,152,82,33.42857142857143,72346.328,55.0,32.0,0.5818181818181818,True
OCO,5963,232,7,1729,4234,150,82,33.142857142857146,72325.963,54.0,40.0,0.7407407407407407,True
RIC,6934,231,7,1432,5502,128,103,33.0,72316.934,,,,False
HUL,3560,164,7,1251,2309,117,47,23.428571428571427,71643.56,55.0,26.0,0.4727272727272727,True
MAG,5531,206,6,1286,4245,125,81,34.333333333333336,62065.531,,,,False
ALO,4937,200,6,1630,3307,135,65,33.333333333333336,62004.937,55.0,35.0,0.6363636363636364,True
ALB,4767,187,6,1480,3287,128,59,31.166666666666668,61874.767,55.0,43.0,0.7818181818181819,True
VET,6804,202,5,1207,5597,101,101,40.4,52026.804,,,,False
TSU,3377,157,5,1233,2144,114,43,31.4,51573.377,54.0,35.0,0.6481481481481481,True
RAI,5183,158,4,860,4323,79,79,39.5,41585.183,,,,False
LAT,3679,122,3,465,3214,61,61,40.666666666666664,31223.679,,,,False
GIO,3889,120,3,579,3310,60,60,40.0,31203.889,,,,False
GRO,3449,113,3,579,2870,56,57,37.666666666666664,31133.449,,,,False
ZHO,1711,90,3,663,1048,68,22,30.0,30901.711,,,,False
PIA,953,70,3,953,0,70,0,23.333333333333332,30700.953,55.0,35.0,0.6363636363636364,True
LAW,360,35,3,360,0,35,0,11.666666666666666,30350.36,,,,False
MSC,2647,85,2,401,2246,42,43,42.5,20852.647,,,,False
KVY,2550,75,2,415,2135,37,38,37.5,20752.55,,,,False
KUB,1440,46,2,152,1288,23,23,23.0,20461.44,,,,False
SAR,310,35,2,310,0,35,0,17.5,20350.31,,,,False
BEA,273,27,2,273,0,27,0,13.5,20270.273,,,,False
COL,209,27,2,209,0,27,0,13.5,20270.209,,,,False
DEV,167,12,2,114,53,11,1,6.0,20120.167,,,,False
DOO,57,7,2,57,0,7,0,3.5,20070.057,,,,False
MAZ,1150,43,1,157,993,22,21,43.0,10431.15,,,,False
VAN,1362,42,1,176,1186,21,21,42.0,10421.362,,,,False
ERI,1286,42,1,209,1077,21,21,42.0,10421.286,,,,False
SIR,1270,42,1,162,1108,21,21,42.0,10421.27,,,,False
HAR,1152,40,1,176,976,19,21,40.0,10401.152,,,,False
HAD,270,24,1,270,0,24,0,24.0,10240.27,,,,False
ANT,268,24,1,268,0,24,0,24.0,10240.268,,,,False
BOR,224,23,1,224,0,23,0,23.0,10230.224,,,,False
FIT,155,4,1,16,139,2,2,4.0,10040.155,,,,False
AIT,93,2,1,7,86,1,1,2.0,10020.093,,,,False
