season,round,event_name,Driver,n_clean_laps
2023,1,Bahrain Grand Prix,ALB,2
2023,1,Bahrain Grand Prix,ALO,5
2023,1,Bahrain Grand Prix,BOT,4
2023,1,Bahrain Grand Prix,DEV,3
2023,1,Bahrain Grand Prix,GAS,2
2023,1,Bahrain Grand Prix,HAM,5
2023,1,Bahrain Grand Prix,HUL,5
2023,1,Bahrain Grand Prix,LEC,5
2023,1,Bahrain Grand Prix,MAG,2
2023,1,Bahrain Grand Prix,NOR,4
2023,1,Bahrain Grand Prix,OCO,5
2023,1,Bahrain Grand Prix,PER,4
2023,1,Bahrain Grand Prix,PIA,2
2023,1,Bahrain Grand Prix,RUS,5
2023,1,Bahrain Grand Prix,SAI,6
2023,1,Bahrain Grand Prix,SAR,2
2023,1,Bahrain Grand Prix,STR,6
2023,1,Bahrain Grand Prix,TSU,5
2023,1,Bahrain Grand Prix,VER,4
2023,1,Bahrain Grand Prix,ZHO,4
2023,2,Saudi Arabian Grand Prix,ALB,4
2023,2,Saudi Arabian Grand Prix,ALO,7
2023,2,Saudi Arabian Grand Prix,BOT,9
2023,2,Saudi Arabian Grand Prix,DEV,3
2023,2,Saudi Arabian Grand Prix,GAS,11
2023,2,Saudi Arabian Grand Prix,HAM,9
2023,2,Saudi Arabian Grand Prix,HUL,9
2023,2,Saudi Arabian Grand Prix,LEC,7
2023,2,Saudi Arabian Grand Prix,MAG,6
2023,2,Saudi Arabian Grand Prix,NOR,1
2023,2,Saudi Arabian Grand Prix,OCO,12
2023,2,Saudi Arabian Grand Prix,PER,5
2023,2,Saudi Arabian Grand Prix,PIA,12
2023,2,Saudi Arabian Grand Prix,RUS,9
2023,2,Saudi Arabian Grand Prix,SAI,10
2023,2,Saudi Arabian Grand Prix,SAR,2
2023,2,Saudi Arabian Grand Prix,STR,10
2023,2,Saudi Arabian Grand Prix,TSU,5
2023,2,Saudi Arabian Grand Prix,VER,2
2023,2,Saudi Arabian Grand Prix,ZHO,9
2023,4,Azerbaijan Grand Prix,ALB,6
2023,4,Azerbaijan Grand Prix,ALO,8
2023,4,Azerbaijan Grand Prix,BOT,6
2023,4,Azerbaijan Grand Prix,DEV,1
2023,4,Azerbaijan Grand Prix,GAS,1
2023,4,Azerbaijan Grand Prix,HAM,6
2023,4,Azerbaijan Grand Prix,HUL,3
2023,4,Azerbaijan Grand Prix,LEC,8
2023,4,Azerbaijan Grand Prix,NOR,7
2023,4,Azerbaijan Grand Prix,OCO,7
2023,4,Azerbaijan Grand Prix,PER,6
2023,4,Azerbaijan Grand Prix,PIA,10
2023,4,Azerbaijan Grand Prix,RUS,5
2023,4,Azerbaijan Grand Prix,SAI,8
2023,4,Azerbaijan Grand Prix,SAR,6
2023,4,Azerbaijan Grand Prix,STR,10
2023,4,Azerbaijan Grand Prix,TSU,9
2023,4,Azerbaijan Grand Prix,VER,5
2023,4,Azerbaijan Grand Prix,ZHO,3
2023,5,Miami Grand Prix,ALB,9
2023,5,Miami Grand Prix,ALO,8
2023,5,Miami Grand Prix,BOT,8
2023,5,Miami Grand Prix,DEV,8
2023,5,Miami Grand Prix,GAS,8
2023,5,Miami Grand Prix,HAM,5
2023,5,Miami Grand Prix,HUL,7
2023,5,Miami Grand Prix,LEC,10
2023,5,Miami Grand Prix,MAG,7
2023,5,Miami Grand Prix,NOR,4
2023,5,Miami Grand Prix,OCO,8
2023,5,Miami Grand Prix,PER,7
2023,5,Miami Grand Prix,PIA,5
