season,round,event_name,Driver,n_laps
2023,1,Bahrain Grand Prix,ALB,8
2023,1,Bahrain Grand Prix,ALO,15
2023,1,Bahrain Grand Prix,BOT,12
2023,1,Bahrain Grand Prix,DEV,9
2023,1,Bahrain Grand Prix,GAS,6
2023,1,Bahrain Grand Prix,HAM,15
2023,1,Bahrain Grand Prix,HUL,17
2023,1,Bahrain Grand Prix,LEC,17
2023,1,Bahrain Grand Prix,MAG,6
2023,1,Bahrain Grand Prix,NOR,13
2023,1,Bahrain Grand Prix,OCO,15
2023,1,Bahrain Grand Prix,PER,15
2023,1,Bahrain Grand Prix,PIA,7
2023,1,Bahrain Grand Prix,RUS,15
2023,1,Bahrain Grand Prix,SAI,18
2023,1,Bahrain Grand Prix,SAR,6
2023,1,Bahrain Grand Prix,STR,18
2023,1,Bahrain Grand Prix,TSU,15
2023,1,Bahrain Grand Prix,VER,15
2023,1,Bahrain Grand Prix,ZHO,12
2023,2,Saudi Arabian Grand Prix,ALB,9
2023,2,Saudi Arabian Grand Prix,ALO,18
2023,2,Saudi Arabian Grand Prix,BOT,18
2023,2,Saudi Arabian Grand Prix,DEV,10
2023,2,Saudi Arabian Grand Prix,GAS,23
2023,2,Saudi Arabian Grand Prix,HAM,21
2023,2,Saudi Arabian Grand Prix,HUL,18
2023,2,Saudi Arabian Grand Prix,LEC,19
2023,2,Saudi Arabian Grand Prix,MAG,17
2023,2,Saudi Arabian Grand Prix,NOR,4
2023,2,Saudi Arabian Grand Prix,OCO,24
2023,2,Saudi Arabian Grand Prix,PER,18
2023,2,Saudi Arabian Grand Prix,PIA,23
2023,2,Saudi Arabian Grand Prix,RUS,21
2023,2,Saudi Arabian Grand Prix,SAI,24
2023,2,Saudi Arabian Grand Prix,SAR,8
2023,2,Saudi Arabian Grand Prix,STR,20
2023,2,Saudi Arabian Grand Prix,TSU,10
2023,2,Saudi Arabian Grand Prix,VER,6
2023,2,Saudi Arabian Grand Prix,ZHO,18
2023,3,Australian Grand Prix,ALB,27
2023,3,Australian Grand Prix,ALO,26
2023,3,Australian Grand Prix,BOT,12
2023,3,Australian Grand Prix,DEV,23
2023,3,Australian Grand Prix,GAS,25
2023,3,Australian Grand Prix,HAM,28
2023,3,Australian Grand Prix,HUL,26
2023,3,Australian Grand Prix,LEC,25
2023,3,Australian Grand Prix,MAG,18
2023,3,Australian Grand Prix,NOR,24
2023,3,Australian Grand Prix,OCO,18
2023,3,Australian Grand Prix,PER,2
2023,3,Australian Grand Prix,PIA,12
2023,3,Australian Grand Prix,RUS,29
2023,3,Australian Grand Prix,SAI,28
2023,3,Australian Grand Prix,SAR,12
2023,3,Australian Grand Prix,STR,26
2023,3,Australian Grand Prix,TSU,22
2023,3,Australian Grand Prix,VER,24
2023,3,Australian Grand Prix,ZHO,12
2023,4,Azerbaijan Grand Prix,ALB,19
2023,4,Azerbaijan Grand Prix,ALO,23
2023,4,Azerbaijan Grand Prix,BOT,19
2023,4,Azerbaijan Grand Prix,DEV,3
2023,4,Azerbaijan Grand Prix,GAS,6
2023,4,Azerbaijan Grand Prix,HAM,24
2023,4,Azerbaijan Grand Prix,HUL,10
2023,4,Azerbaijan Grand Prix,LEC,21
2023,4,Azerbaijan Grand Prix,MAG,9
2023,4,Azerbaijan Grand Prix,NOR,20
2023,4,Azerbaijan Grand Prix,OCO,19
2023,4,Azerbaijan Grand Prix,PER,21
2023,4,Azerbaijan Grand Prix,PIA,24
2023,4,Azerbaijan Grand Prix,RUS,18
2023,4,Azerbaijan Grand Prix,SAI,24
2023,4,Azerbaijan Grand Prix,SAR,19
2023,4,Azerbaijan Grand Prix,STR,23
2023,4,Azerbaijan Grand Prix,TSU,23
2023,4,Azerbaijan Grand Prix,VER,20
2023,4,Azerbaijan Grand Prix,ZHO,11
2023,5,Miami Grand Prix,ALB,15
2023,5,Miami Grand Prix,ALO,18
2023,5,Miami Grand Prix,BOT,15
2023,5,Miami Grand Prix,DEV,16
2023,5,Miami Grand Prix,GAS,19
2023,5,Miami Grand Prix,HAM,15
2023,5,Miami Grand Prix,HUL,15
2023,5,Miami Grand Prix,LEC,18
2023,5,Miami Grand Prix,MAG,19
2023,5,Miami Grand Prix,NOR,8
2023,5,Miami Grand Prix,OCO,19
2023,5,Miami Grand Prix,PER,20
2023,5,Miami Grand Prix,PIA,9
2023,5,Miami Grand Prix,RUS,20
2023,5,Miami Grand Prix,SAI,18
2023,5,Miami Grand Prix,SAR,10
2023,5,Miami Grand Prix,STR,8
2023,5,Miami Grand Prix,TSU,10
2023,5,Miami Grand Prix,VER,15
2023,5,Miami Grand Prix,ZHO,17
2023,6,Monaco Grand Prix,ALB,19
2023,6,Monaco Grand Prix,ALO,25
2023,6,Monaco Grand Prix,BOT,22
2023,6,Monaco Grand Prix,DEV,20
2023,6,Monaco Grand Prix,GAS,25
2023,6,Monaco Grand Prix,HAM,30
2023,6,Monaco Grand Prix,HUL,8
2023,6,Monaco Grand Prix,LEC,26
2023,6,Monaco Grand Prix,MAG,9
2023,6,Monaco Grand Prix,NOR,23
2023,6,Monaco Grand Prix,OCO,26
2023,6,Monaco Grand Prix,PER,4
2023,6,Monaco Grand Prix,PIA,22
2023,6,Monaco Grand Prix,RUS,29
2023,6,Monaco Grand Prix,SAI,28
2023,6,Monaco Grand Prix,SAR,13
2023,6,Monaco Grand Prix,STR,19
2023,6,Monaco Grand Prix,TSU,29
2023,6,Monaco Grand Prix,VER,30
2023,6,Monaco Grand Prix,ZHO,13
2023,7,Spanish Grand Prix,ALB,8
2023,7,Spanish Grand Prix,ALO,18
2023,7,Spanish Grand Prix,BOT,10
2023,7,Spanish Grand Prix,DEV,16
2023,7,Spanish Grand Prix,GAS,21
2023,7,Spanish Grand Prix,HAM,23
2023,7,Spanish Grand Prix,HUL,18
2023,7,Spanish Grand Prix,LEC,10
2023,7,Spanish Grand Prix,MAG,9
2023,7,Spanish Grand Prix,NOR,22
2023,7,Spanish Grand Prix,OCO,21
2023,7,Spanish Grand Prix,PER,17
2023,7,Spanish Grand Prix,PIA,20
2023,7,Spanish Grand Prix,RUS,18
2023,7,Spanish Grand Prix,SAI,22
2023,7,Spanish Grand Prix,SAR,6
2023,7,Spanish Grand Prix,STR,23
2023,7,Spanish Grand Prix,TSU,19
2023,7,Spanish Grand Prix,VER,20
2023,7,Spanish Grand Prix,ZHO,16
2023,8,Canadian Grand Prix,ALB,24
2023,8,Canadian Grand Prix,ALO,25
2023,8,Canadian Grand Prix,BOT,24
2023,8,Canadian Grand Prix,DEV,12
