n_samples,speed_mean,speed_std,speed_min,speed_max,speed_q10,speed_q50,speed_q90,speed_range,throttle_mean,throttle_std,throttle_min,throttle_max,throttle_zero_frac,throttle_full_frac,throttle_mid_frac,brake_mean,brake_std,brake_active_frac,brake_on_count,rpm_mean,rpm_std,rpm_diff_abs_mean,gear_mean,gear_std,gear_change_count,speed_diff_abs_mean,throttle_diff_abs_mean,lap_key,Driver,Team,season,round,session_key,event_name,LapTimeSeconds
273,240.83882783882783,57.19178611147747,99.0,320.0,158.2,257.0,306.0,221.0,79.3040293040293,37.78800023348942,0.0,100.0,0.16483516483516483,0.7106227106227107,0.12454212454212454,0.12454212454212454,0.3308054328940721,0.12454212454212454,6,10782.802197802197,878.5994480661883,312.62867647058823,6.256410256410256,1.569529812100073,29,6.327205882352941,5.147058823529412,2018_r01_Q_HAM_lap19,HAM,Mercedes,2018,1,2018_1_Q,Australian Grand Prix,81.164
276,236.84057971014494,56.24508012447105,100.0,310.0,154.0,255.5,297.5,210.0,79.76449275362319,37.66762255832336,0.0,100.0,0.14492753623188406,0.7318840579710145,0.12318840579710146,0.13043478260869565,0.33739293426932,0.13043478260869565,6,10539.144927536232,774.8992056516971,274.3018181818182,5.992753623188406,1.563196616780531,31,5.927272727272728,5.069090909090909,2018_r01_Q_RIC_lap16,RIC,Red Bull Racing,2018,1,2018_1_Q,Australian Grand Prix,82.152
282,232.84397163120568,57.4571210925259,95.0,309.0,147.1,251.0,295.0,214.0,79.92553191489361,37.762859805328745,0.0,100.0,0.14893617021276595,0.7269503546099291,0.12411347517730496,0.1595744680851064,0.36686198853800284,0.1595744680851064,7,10393.13475177305,1106.7148187145565,300.5373665480427,5.98936170212766,1.5383219645349795,31,6.192170818505338,5.209964412811388,2018_r01_Q_SAI_lap16,SAI,Renault,2018,1,2018_1_Q,Australian Grand Prix,83.577
275,238.63272727272727,59.915935801527745,96.0,323.0,147.60000000000002,253.0,306.0,227.0,80.17818181818181,35.30866341297298,0.0,100.0,0.02181818181818182,0.72,0.2581818181818182,0.14909090909090908,0.35682742729960953,0.14909090909090908,8,10709.785454545454,913.3607476031091,304.2299270072993,6.225454545454546,1.6074891085914742,32,6.572992700729927,5.386861313868613,2018_r01_Q_VET_lap19,VET,Ferrari,2018,1,2018_1_Q,Australian Grand Prix,81.838
304,209.0296052631579,70.26683544560719,64.0,316.0,100.3,221.5,300.0,252.0,71.00986842105263,41.712950019419196,0.0,100.0,0.20723684210526316,0.618421052631579,0.17434210526315788,0.19407894736842105,0.39614204750259524,0.19407894736842105,7,10341.47697368421,1181.7075409505205,367.27392739273927,5.5394736842105265,1.9612805776470865,48,7.135313531353136,4.772277227722772,2018_r02_Q_ALO_lap11,ALO,McLaren,2018,2,2018_2_Q,Bahrain Grand Prix,90.212
297,214.66329966329965,72.03040672611459,75.0,325.0,101.2,228.0,307.0,250.0,70.26262626262626,42.275780362302065,0.0,100.0,0.22895622895622897,0.5993265993265994,0.1717171717171717,0.17845117845117844,0.3835383254665003,0.17845117845117844,8,10293.9898989899,1524.8143207405494,378.31081081081084,5.595959595959596,1.8613377486577267,34,7.216216216216216,4.75,2018_r02_Q_BOT_lap14,BOT,Mercedes,2018,2,2018_2_Q,Bahrain Grand Prix,88.124
301,210.93023255813952,70.30702987335194,69.0,322.0,102.0,223.0,303.0,253.0,71.09966777408638,41.71798213267981,0.0,100.0,0.2026578073089701,0.6046511627906976,0.19269102990033224,0.17275747508305647,0.3786670098106473,0.17275747508305647,7,10237.634551495017,1251.612325230493,355.84,5.318936877076412,1.8809413067226604,36,7.116666666666666,4.733333333333333,2018_r02_Q_GAS_lap17,GAS,Toro Rosso,2018,2,2018_2_Q,Bahrain Grand Prix,89.329
297,215.11784511784512,70.82531984026568,76.0,326.0,105.2,224.0,306.80000000000007,250.0,69.84848484848484,41.97095930594659,0.0,100.0,0.21548821548821548,0.5892255892255892,0.19528619528619529,0.18855218855218855,0.39181265104275725,0.18855218855218855,7,10406.760942760942,1462.714638935382,371.47297297297297,5.525252525252525,1.8454295314669036,39,7.077702702702703,4.797297297297297,2018_r02_Q_HAM_lap12,HAM,Mercedes,2018,2,2018_2_Q,Bahrain Grand Prix,88.22
302,210.00993377483445,71.90578392213935,67.0,323.0,98.1,222.5,305.0,256.0,68.23509933774834,41.65776990963294,0.0,100.0,0.1986754966887417,0.5529801324503312,0.24834437086092714,0.2119205298013245,0.409347126624172,0.2119205298013245,8,10203.01655629139,1550.3753193837335,354.99003322259136,5.47682119205298,1.7889822904924422,32,7.136212624584718,4.714285714285714,2018_r02_Q_OCO_lap15,OCO,Force India,2018,2,2018_2_Q,Bahrain Grand Prix,89.874
298,214.0771812080537,69.28867114420665,76.0,319.0,101.7,227.5,301.0,243.0,70.7248322147651,41.887673919695395,0.0,100.0,0.20134228187919462,0.5973154362416108,0.20134228187919462,0.18456375838926176,0.3885958201131299,0.18456375838926176,7,10281.352348993289,1054.095763580889,355.95286195286195,5.355704697986577,1.8930097372610262,39,6.925925925925926,4.707070707070707,2018_r02_Q_RIC_lap11,RIC,Red Bull Racing,2018,2,2018_2_Q,Bahrain Grand Prix,88.398
302,210.17218543046357,70.51620407915433,73.0,318.0,100.1,221.0,301.0,245.0,69.70860927152317,41.91307083750305,0.0,100.0,0.22185430463576158,0.5794701986754967,0.1986754966887417,0.2119205298013245,0.409347126624172,0.2119205298013245,8,10094.5,1315.6057603291708,356.312292358804,5.3344370860927155,1.93861087909538,38,7.086378737541528,4.674418604651163,2018_r02_Q_SAI_lap11,SAI,Renault,2018,2,2018_2_Q,Bahrain Grand Prix,89.802
296,214.7466216216216,72.15101856573679,72.0,325.0,101.5,228.0,307.0,253.0,71.36148648648648,40.46535747709353,0.0,100.0,0.09121621621621621,0.5912162162162162,0.31756756756756754,0.1858108108108108,0.3896126081444274,0.1858108108108108,7,10361.45945945946,1620.8122712670572,350.12203389830506,5.581081081081081,1.7505970449371142,38,7.338983050847458,5.186440677966102,2018_r02_Q_VET_lap11,VET,Ferrari,2018,2,2018_2_Q,Bahrain Grand Prix,87.958
314,213.22611464968153,73.2632119797123,81.0,326.0,107.0,228.0,303.7,245.0,70.59554140127389,41.08953963720355,0.0,100.0,0.17197452229299362,0.5987261146496815,0.22929936305732485,0.1624203821656051,0.36942473416898863,0.1624203821656051,9,10152.92356687898,1364.572420908063,292.79872204472844,5.713375796178344,1.812455857482561,31,5.396166134185304,4.798722044728435,2018_r03_Q_ALO_lap10,ALO,McLaren,2018,3,2018_3_Q,Chinese Grand Prix,93.232
309,214.1294498381877,73.29496585374424,84.0,324.0,109.0,227.0,305.0,240.0,69.09708737864078,41.9355987144698,0.0,100.0,0.22330097087378642,0.5889967637540453,0.18770226537216828,0.14563106796116504,0.3533081228630311,0.14563106796116504,7,10261.187702265372,1406.467486054617,325.3181818181818,5.543689320388349,1.855721403966345,31,5.5811688311688314,4.441558441558442,2018_r03_Q_BOT_lap15,BOT,Mercedes,2018,3,2018_3_Q,Chinese Grand Prix,91.625
317,210.79495268138803,72.28564277682773,82.0,323.0,107.0,222.0,300.0,241.0,67.7981072555205,42.14843717031335,0.0,100.0,0.19558359621451105,0.5646687697160884,0.23974763406940064,0.14511041009463724,0.35276897958991127,0.14511041009463724,6,10012.902208201893,1357.571614970492,296.05696202531647,5.369085173501578,1.8330795098843804,27,5.208860759493671,4.075949367088608,2018_r03_Q_GAS_lap8,GAS,Toro Rosso,2018,3,2018_3_Q,Chinese Grand Prix,94.101
309,214.83171521035598,73.82871650306579,81.0,326.0,106.8,228.0,306.0,245.0,69.00647249190939,41.47977081111057,0.0,100.0,0.1650485436893204,0.5792880258899676,0.255663430420712,0.1423948220064725,0.35002146423847613,0.1423948220064725,8,10345.880258899677,1338.0860975463,313.24675324675326,5.511326860841424,1.9045488575007261,31,5.613636363636363,4.097402597402597,2018_r03_Q_HAM_lap14,HAM,Mercedes,2018,3,2018_3_Q,Chinese Grand Prix,91.675
313,214.71246006389777,73.72671560736448,81.0,327.0,109.0,230.0,306.8,246.0,68.61661341853035,40.375242859086356,0.0,99.0,0.08626198083067092,0.5654952076677316,0.34824281150159747,0.18849840255591055,0.39173592233800064,0.18849840255591055,9,10204.303514376998,1393.5504786084775,301.9775641025641,5.587859424920127,1.855202202172189,30,5.471153846153846,4.147435897435898,2018_r03_Q_OCO_lap8,OCO,Force India,2018,3,2018_3_Q,Chinese Grand Prix,93.057
