lap_key,Driver,Team,season,session_key,best_own_other_team_similarity,best_other_driver_similarity,own_style_margin
2018_r10_Q_ALO_lap8,ALO,McLaren,2018,2018_10_Q,0.6817145959860802,0.340523150655886,0.3411914453301942
2018_r10_Q_BOT_lap11,BOT,Mercedes,2018,2018_10_Q,-0.22670122660444236,0.38124692361613455,-0.6079481502205769
2018_r10_Q_GAS_lap14,GAS,Toro Rosso,2018,2018_10_Q,0.7128422526998448,0.6751711765124333,0.0376710761874115
2018_r10_Q_HAM_lap14,HAM,Mercedes,2018,2018_10_Q,0.1767227753625851,0.7926599872320437,-0.6159372118694586
2018_r10_Q_OCO_lap10,OCO,Force India,2018,2018_10_Q,0.7244189619042654,0.6701253522292109,0.05429360967505448
2018_r10_Q_RIC_lap10,RIC,Red Bull Racing,2018,2018_10_Q,0.4596867432107933,0.5522968868342419,-0.09261014362344866
2018_r10_Q_SAI_lap7,SAI,Renault,2018,2018_10_Q,0.30884965706331996,0.7422630389540738,-0.4334133818907538
2018_r10_Q_VET_lap12,VET,Ferrari,2018,2018_10_Q,0.17784424287772002,0.6642820805443131,-0.4864378376665931
2018_r11_Q_ALO_lap15,ALO,McLaren,2018,2018_11_Q,0.5665024379694732,0.4500057644228314,0.11649667354664178
2018_r11_Q_BOT_lap16,BOT,Mercedes,2018,2018_11_Q,-0.009775706024309199,0.44275415949787983,-0.45252986552218905
2018_r11_Q_SAI_lap18,SAI,Renault,2018,2018_11_Q,0.3867605965189769,0.5132926121474203,-0.1265320156284434
2018_r11_Q_VET_lap14,VET,Ferrari,2018,2018_11_Q,0.05429752937162131,0.6873939669271752,-0.6330964375555539
2018_r14_Q_ALO_lap5,ALO,McLaren,2018,2018_14_Q,0.3404115029754351,0.6269120544460209,-0.28650055147058584
2018_r14_Q_BOT_lap17,BOT,Mercedes,2018,2018_14_Q,0.07050144675698301,0.470312549182976,-0.399811102425993
2018_r14_Q_GAS_lap23,GAS,Toro Rosso,2018,2018_14_Q,0.6384014372401339,0.7093074569026612,-0.0709060196625273
2018_r14_Q_HAM_lap18,HAM,Mercedes,2018,2018_14_Q,0.45470462664039724,0.5525186671210522,-0.097814040480655
2018_r14_Q_OCO_lap16,OCO,Racing Point,2018,2018_14_Q,0.7629411515574994,0.5755461255585329,0.1873950259989665
2018_r14_Q_RIC_lap2,RIC,Red Bull Racing,2018,2018_14_Q,0.5696730344946358,0.663251144380215,-0.09357810988557924
2018_r14_Q_SAI_lap16,SAI,Renault,2018,2018_14_Q,0.17771465869479597,0.4860998857583962,-0.3083852270636002
2018_r14_Q_VET_lap18,VET,Ferrari,2018,2018_14_Q,0.09883605584651871,0.6543802311950179,-0.5555441753484992
2018_r15_Q_ALO_lap11,ALO,McLaren,2018,2018_15_Q,0.6513968839001332,0.32964985557884896,0.3217470283212842
2018_r15_Q_BOT_lap19,BOT,Mercedes,2018,2018_15_Q,0.3245502793244466,0.42443340612813785,-0.09988312680369127
2018_r15_Q_GAS_lap6,GAS,Toro Rosso,2018,2018_15_Q,0.48271073248039165,0.6661093093578979,-0.18339857687750627
2018_r15_Q_HAM_lap14,HAM,Mercedes,2018,2018_15_Q,0.4112976135549995,0.6012770947841164,-0.1899794812291169
2018_r15_Q_OCO_lap19,OCO,Racing Point,2018,2018_15_Q,0.7625607332802896,0.34462477405848135,0.41793595922180826
2018_r15_Q_RIC_lap11,RIC,Red Bull Racing,2018,2018_15_Q,0.42610601431369827,0.5300035810304856,-0.10389756671678735
2018_r15_Q_SAI_lap8,SAI,Renault,2018,2018_15_Q,0.4282961003459502,0.6214242634111077,-0.19312816306515745
2018_r15_Q_VET_lap13,VET,Ferrari,2018,2018_15_Q,0.1986367316090334,0.6704241089817633,-0.4717873773727299
2018_r16_Q_ALO_lap2,ALO,McLaren,2018,2018_16_Q,0.45515341655262176,0.44131723617978696,0.013836180372834794
2018_r16_Q_BOT_lap16,BOT,Mercedes,2018,2018_16_Q,-0.0434793575911676,0.5447317118448095,-0.5882110694359771
2018_r16_Q_GAS_lap2,GAS,Toro Rosso,2018,2018_16_Q,0.5913020554537319,0.5360885128089278,0.05521354264480416
2018_r16_Q_HAM_lap15,HAM,Mercedes,2018,2018_16_Q,0.2807751020966463,0.7303590438992356,-0.44958394180258926
2018_r16_Q_OCO_lap13,OCO,Racing Point,2018,2018_16_Q,0.8662557660757317,0.6604984846794132,0.20575728139631855
2018_r16_Q_RIC_lap2,RIC,Red Bull Racing,2018,2018_16_Q,0.6313865325302476,0.5893280498899495,0.0420584826402981
2018_r16_Q_SAI_lap2,SAI,Renault,2018,2018_16_Q,0.6603098462379214,0.5924442670303646,0.06786557920755687
2018_r16_Q_VET_lap17,VET,Ferrari,2018,2018_16_Q,-0.011175914793436662,0.634712051615147,-0.6458879664085837
2018_r18_Q_ALO_lap5,ALO,McLaren,2018,2018_18_Q,0.6664165668041361,0.449962618759604,0.21645394804453205
2018_r18_Q_BOT_lap16,BOT,Mercedes,2018,2018_18_Q,0.18643291223652578,0.5440731487273953,-0.3576402364908695
2018_r18_Q_GAS_lap8,GAS,Toro Rosso,2018,2018_18_Q,0.35229403068268667,0.5944977674579763,-0.24220373677528967
2018_r18_Q_HAM_lap18,HAM,Mercedes,2018,2018_18_Q,0.3114266869886092,0.6736507308299217,-0.36222404384131246
2018_r18_Q_OCO_lap17,OCO,Racing Point,2018,2018_18_Q,0.7466342310801289,0.44266999060215284,0.3039642404779761
2018_r18_Q_RIC_lap10,RIC,Red Bull Racing,2018,2018_18_Q,0.4208142073007586,0.4993866361262759,-0.0785724288255173
2018_r18_Q_SAI_lap11,SAI,Renault,2018,2018_18_Q,0.10962740242221256,0.3921201019680999,-0.2824926995458873
2018_r18_Q_VET_lap16,VET,Ferrari,2018,2018_18_Q,-0.06698379344987318,0.5948032074779803,-0.6617870009278535
2018_r19_Q_ALO_lap5,ALO,McLaren,2018,2018_19_Q,0.4808054992300931,0.3908395153591232,0.08996598387096988
2018_r19_Q_BOT_lap18,BOT,Mercedes,2018,2018_19_Q,0.24133354084838787,0.4944227171864644,-0.25308917633807654
2018_r19_Q_GAS_lap8,GAS,Toro Rosso,2018,2018_19_Q,0.5330508794783698,0.6868035001018726,-0.1537526206235028
2018_r19_Q_HAM_lap19,HAM,Mercedes,2018,2018_19_Q,0.36496085126536953,0.5632202560163994,-0.19825940475102982
2018_r19_Q_OCO_lap7,OCO,Racing Point,2018,2018_19_Q,0.8054473629704625,0.5386032025823282,0.2668441603881343
2018_r19_Q_RIC_lap14,RIC,Red Bull Racing,2018,2018_19_Q,0.4646963485876578,0.6384233728864345,-0.17372702429877668
2018_r19_Q_SAI_lap17,SAI,Renault,2018,2018_19_Q,0.4607860057837518,0.6870236206786525,-0.22623761489490074
2018_r19_Q_VET_lap12,VET,Ferrari,2018,2018_19_Q,0.19038667395024186,0.5326957902964643,-0.3423091163462224
2018_r01_Q_HAM_lap19,HAM,Mercedes,2018,2018_1_Q,0.04587820249123086,0.4375617622751111,-0.39168355978388025
2018_r01_Q_RIC_lap16,RIC,Red Bull Racing,2018,2018_1_Q,0.6423233364179336,0.678215438317548,-0.03589210189961445
2018_r01_Q_SAI_lap16,SAI,Renault,2018,2018_1_Q,0.6343302916872456,0.5674097638365421,0.06692052785070357
2018_r01_Q_VET_lap19,VET,Ferrari,2018,2018_1_Q,0.3015839411419931,0.6410575464648778,-0.3394736053228847
2018_r20_Q_ALO_lap8,ALO,McLaren,2018,2018_20_Q,-0.007111790816166197,0.605437049907878,-0.6125488407240443
2018_r20_Q_BOT_lap13,BOT,Mercedes,2018,2018_20_Q,0.10898299130949643,0.3224235312273971,-0.21344053991790066
2018_r20_Q_GAS_lap12,GAS,Toro Rosso,2018,2018_20_Q,0.7792501518458164,0.7628815396613332,0.016368612184483156
2018_r20_Q_HAM_lap16,HAM,Mercedes,2018,2018_20_Q,0.37067283850700855,0.5503453143926716,-0.1796724758856631
2018_r20_Q_OCO_lap14,OCO,Racing Point,2018,2018_20_Q,0.4757512391050436,0.2792817880617856,0.19646945104325797
2018_r20_Q_RIC_lap12,RIC,Red Bull Racing,2018,2018_20_Q,0.4633003176616273,0.5000004818658597,-0.03670016420423233
2018_r20_Q_SAI_lap8,SAI,Renault,2018,2018_20_Q,0.3987284775096659,0.6705786178902388,-0.27185014038057287
2018_r20_Q_VET_lap13,VET,Ferrari,2018,2018_20_Q,0.455159298512529,0.3680484932726056,0.08711080523992343
2018_r21_Q_ALO_lap14,ALO,McLaren,2018,2018_21_Q,0.6335090472037939,0.5351712435064904,0.0983378036973035
2018_r21_Q_BOT_lap17,BOT,Mercedes,2018,2018_21_Q,0.27952877061135406,0.5695688890736275,-0.2900401184622734
2018_r21_Q_GAS_lap5,GAS,Toro Rosso,2018,2018_21_Q,0.5784416067272578,0.5801361732600464,-0.001694566532788655
2018_r21_Q_HAM_lap17,HAM,Mercedes,2018,2018_21_Q,0.3016345002730298,0.7484788347178278,-0.44684433444479804
2018_r21_Q_OCO_lap17,OCO,Racing Point,2018,2018_21_Q,0.7208501937301537,0.47584939031765877,0.24500080341249492
2018_r21_Q_RIC_lap15,RIC,Red Bull Racing,2018,2018_21_Q,0.615312521497215,0.6173103599238361,-0.001997838426621046
2018_r21_Q_SAI_lap5,SAI,Renault,2018,2018_21_Q,0.7152156152057162,0.6978083926925258,0.01740722251319038
2018_r21_Q_VET_lap16,VET,Ferrari,2018,2018_21_Q,0.3556416195130741,0.5423388908723288,-0.18669727135925468
2018_r02_Q_ALO_lap11,ALO,McLaren,2018,2018_2_Q,0.5448270397718624,0.39117697256220973,0.15365006720965269
2018_r02_Q_BOT_lap14,BOT,Mercedes,2018,2018_2_Q,0.40776479100689866,0.5793774954503594,-0.17161270444346077
2018_r02_Q_GAS_lap17,GAS,Toro Rosso,2018,2018_2_Q,0.6802317857292127,0.6271209680723726,0.053110817656840115
