Driver,team_a,team_b,n_a,n_b,first_season_a,last_season_a,first_season_b,last_season_b,cosine_similarity,cosine_distance
ALO,Aston Martin,McLaren,55,16,2023,2025,2018,2018,0.608818582460027,0.39118141753997304
ALO,Alpine,Aston Martin,37,55,2021,2022,2023,2025,0.5843320792005572,0.4156679207994428
ALO,Alpine,McLaren,37,16,2021,2022,2018,2018,0.49818778807093866,0.5018122119290613
BOT,Alfa Romeo,Kick Sauber,32,18,2022,2023,2024,2024,0.9030672796550607,0.09693272034493927
BOT,Alfa Romeo,Mercedes,32,73,2022,2023,2018,2021,0.10729132926078158,0.8927086707392184
BOT,Kick Sauber,Mercedes,18,73,2024,2024,2018,2021,-0.023735097301149474,1.0237350973011494
GAS,Red Bull Racing,Toro Rosso,12,24,2019,2019,2018,2019,0.6678128982158249,0.3321871017841751
GAS,AlphaTauri,Alpine,52,55,2020,2022,2023,2025,0.6611582390582615,0.33884176094173846
GAS,AlphaTauri,Toro Rosso,52,24,2020,2022,2018,2019,0.649281838741635,0.35071816125836497
GAS,AlphaTauri,Red Bull Racing,52,12,2020,2022,2019,2019,0.6194632373814961,0.3805367626185039
GAS,Alpine,Toro Rosso,55,24,2023,2025,2018,2019,0.6127672862913995,0.38723271370860046
GAS,Alpine,Red Bull Racing,55,12,2023,2025,2019,2019,0.576654482780697,0.423345517219303
HAM,Ferrari,Mercedes,22,122,2025,2025,2018,2024,0.5421314440840184,0.45786855591598163
OCO,Alpine,Renault,68,15,2021,2024,2020,2020,0.9195504806558058,0.0804495193441942
OCO,Force India,Racing Point,9,7,2018,2018,2018,2018,0.886696543776842,0.11330345622315796
OCO,Racing Point,Renault,7,15,2018,2018,2020,2020,0.7506573244623527,0.24934267553764733
OCO,Force India,Renault,9,15,2018,2018,2020,2020,0.7395868991411085,0.26041310085889147
OCO,Alpine,Haas F1 Team,68,22,2021,2024,2025,2025,0.6553446911736256,0.3446553088263744
OCO,Alpine,Racing Point,68,7,2021,2024,2018,2018,0.6403110678407266,0.35968893215927344
OCO,Alpine,Force India,68,9,2021,2024,2018,2018,0.6022979660848681,0.3977020339151319
OCO,Haas F1 Team,Renault,22,15,2025,2025,2020,2020,0.5838579361794736,0.41614206382052643
OCO,Haas F1 Team,Racing Point,22,7,2025,2025,2018,2018,0.4518045650157592,0.5481954349842408
OCO,Force India,Haas F1 Team,9,22,2018,2018,2025,2025,0.4087408209820218,0.5912591790179782
RIC,McLaren,Renault,37,36,2021,2022,2019,2020,0.6510237385759502,0.3489762614240498
RIC,AlphaTauri,RB,5,13,2023,2023,2024,2024,0.6402260467769018,0.35977395322309824
RIC,RB,Renault,13,36,2024,2024,2019,2020,0.6231001455908682,0.37689985440913176
RIC,AlphaTauri,Red Bull Racing,5,17,2023,2023,2018,2018,0.5943185227820439,0.4056814772179561
RIC,AlphaTauri,McLaren,5,37,2023,2023,2021,2022,0.5537013566728558,0.4462986433271442
RIC,McLaren,RB,37,13,2021,2022,2024,2024,0.5031162306162766,0.49688376938372336
RIC,RB,Red Bull Racing,13,17,2024,2024,2018,2018,0.3767279590638343,0.6232720409361657
RIC,AlphaTauri,Renault,5,36,2023,2023,2019,2020,0.36824936849845874,0.6317506315015413
RIC,Red Bull Racing,Renault,17,36,2018,2018,2019,2020,0.20130387015454035,0.7986961298454597
RIC,McLaren,Red Bull Racing,37,17,2021,2022,2018,2018,0.006234911922366253,0.9937650880776338
SAI,McLaren,Renault,35,18,2019,2020,2018,2018,0.5675538216532745,0.4324461783467255
SAI,McLaren,Williams,35,22,2019,2020,2025,2025,0.4436731067883893,0.5563268932116108
SAI,Ferrari,Williams,69,22,2021,2024,2025,2025,0.37139435901975276,0.6286056409802472
SAI,Renault,Williams,18,22,2018,2018,2025,2025,0.31783217862584895,0.6821678213741511
SAI,Ferrari,McLaren,69,35,2021,2024,2019,2020,-0.2690872886116899,1.26908728861169
SAI,Ferrari,Renault,69,18,2021,2024,2018,2018,-0.31245085178349324,1.3124508517834932
VET,Aston Martin,Ferrari,35,53,2021,2022,2018,2020,0.4000195519054615,0.5999804480945385
