Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,season,round,event_name,session_name,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,session_max_rainfall,session_is_dry_by_weather,source_label,session_key,compound_upper,is_wet_compound,is_slick_compound,session_is_dry_final,dry_flag_source,lap_key
0 days 01:14:21.165000,HAM,44,0 days 00:01:21.164000,19.0,6.0,,,0 days 00:00:26.698000,0 days 00:00:22.066000,0 days 00:00:32.400000,0 days 01:13:26.699000,0 days 01:13:48.765000,0 days 01:14:21.165000,284.0,293.0,302.0,318.0,True,ULTRASOFT,2.0,True,Mercedes,1.0,,,,False,True,2018,1,Australian Grand Prix,Q,81.164,26.698,22.066,32.4,,,2018_2022_q_backfill,2018_1_Q,ULTRASOFT,False,True,True,compound_inference,2018_r01_Q_HAM_lap19
0 days 01:14:14.214000,RIC,3,0 days 00:01:22.152000,16.0,6.0,,,0 days 00:00:27.240000,0 days 00:00:22.448000,0 days 00:00:32.464000,0 days 01:13:19.302000,0 days 01:13:41.750000,0 days 01:14:14.214000,277.0,288.0,296.0,308.0,True,ULTRASOFT,2.0,True,Red Bull Racing,1.0,,,,False,True,2018,1,Australian Grand Prix,Q,82.152,27.24,22.448,32.464,,,2018_2022_q_backfill,2018_1_Q,ULTRASOFT,False,True,True,compound_inference,2018_r01_Q_RIC_lap16
0 days 01:13:45.339000,SAI,55,0 days 00:01:23.577000,16.0,6.0,,,0 days 00:00:27.641000,0 days 00:00:22.695000,0 days 00:00:33.241000,0 days 01:12:49.403000,0 days 01:13:12.098000,0 days 01:13:45.339000,277.0,287.0,297.0,307.0,True,ULTRASOFT,2.0,True,Renault,1.0,,,,False,True,2018,1,Australian Grand Prix,Q,83.577,27.641,22.695,33.241,,,2018_2022_q_backfill,2018_1_Q,ULTRASOFT,False,True,True,compound_inference,2018_r01_Q_SAI_lap16
0 days 01:14:42.732000,VET,5,0 days 00:01:21.838000,19.0,6.0,,,0 days 00:00:27.018000,0 days 00:00:22.129000,0 days 00:00:32.691000,0 days 01:13:47.912000,0 days 01:14:10.041000,0 days 01:14:42.732000,284.0,295.0,306.0,320.0,True,ULTRASOFT,2.0,True,Ferrari,1.0,,,,False,True,2018,1,Australian Grand Prix,Q,81.838,27.018,22.129,32.691,,,2018_2022_q_backfill,2018_1_Q,ULTRASOFT,False,True,True,compound_inference,2018_r01_Q_VET_lap19
0 days 00:51:58.234000,ALO,14,0 days 00:01:30.212000,11.0,4.0,,,0 days 00:00:28.963000,0 days 00:00:38.640000,0 days 00:00:22.609000,0 days 00:50:56.985000,0 days 00:51:35.625000,0 days 00:51:58.234000,245.0,270.0,286.0,313.0,True,SUPERSOFT,2.0,True,McLaren,1.0,,,,False,True,2018,2,Bahrain Grand Prix,Q,90.212,28.963,38.64,22.609,,,2018_2022_q_backfill,2018_2_Q,SUPERSOFT,False,True,True,compound_inference,2018_r02_Q_ALO_lap11
0 days 01:12:14.053000,BOT,77,0 days 00:01:28.124000,14.0,5.0,,,0 days 00:00:28.014000,0 days 00:00:37.981000,0 days 00:00:22.129000,0 days 01:11:13.943000,0 days 01:11:51.924000,0 days 01:12:14.053000,250.0,273.0,294.0,323.0,True,SUPERSOFT,2.0,True,Mercedes,1.0,,,,False,True,2018,2,Bahrain Grand Prix,Q,88.124,28.014,37.981,22.129,,,2018_2022_q_backfill,2018_2_Q,SUPERSOFT,False,True,True,compound_inference,2018_r02_Q_BOT_lap14
0 days 01:11:51.661000,GAS,10,0 days 00:01:29.329000,17.0,6.0,,,0 days 00:00:28.413000,0 days 00:00:38.471000,0 days 00:00:22.445000,0 days 01:10:50.745000,0 days 01:11:29.216000,0 days 01:11:51.661000,244.0,270.0,290.0,320.0,True,SUPERSOFT,2.0,True,Toro Rosso,1.0,,,,False,True,2018,2,Bahrain Grand Prix,Q,89.329,28.413,38.471,22.445,,,2018_2022_q_backfill,2018_2_Q,SUPERSOFT,False,True,True,compound_inference,2018_r02_Q_GAS_lap17
0 days 01:04:57.470000,HAM,44,0 days 00:01:28.220000,12.0,4.0,,,0 days 00:00:28.081000,0 days 00:00:37.990000,0 days 00:00:22.149000,0 days 01:03:57.331000,0 days 01:04:35.321000,0 days 01:04:57.470000,247.0,274.0,294.0,323.0,True,SUPERSOFT,2.0,True,Mercedes,1.0,,,,False,True,2018,2,Bahrain Grand Prix,Q,88.22,28.081,37.99,22.149,,,2018_2022_q_backfill,2018_2_Q,SUPERSOFT,False,True,True,compound_inference,2018_r02_Q_HAM_lap12
0 days 01:11:47.237000,OCO,31,0 days 00:01:29.874000,15.0,6.0,,,0 days 00:00:28.534000,0 days 00:00:38.691000,0 days 00:00:22.649000,0 days 01:10:45.897000,0 days 01:11:24.588000,0 days 01:11:47.237000,246.0,270.0,292.0,320.0,True,SUPERSOFT,2.0,True,Force India,1.0,,,,False,True,2018,2,Bahrain Grand Prix,Q,89.874,28.534,38.691,22.649,,,2018_2022_q_backfill,2018_2_Q,SUPERSOFT,False,True,True,compound_inference,2018_r02_Q_OCO_lap15
0 days 01:12:59.352000,RIC,3,0 days 00:01:28.398000,11.0,4.0,,,0 days 00:00:28.275000,0 days 00:00:38.042000,0 days 00:00:22.081000,0 days 01:11:59.229000,0 days 01:12:37.271000,0 days 01:12:59.352000,247.0,270.0,289.0,316.0,True,SUPERSOFT,2.0,True,Red Bull Racing,1.0,,,,False,True,2018,2,Bahrain Grand Prix,Q,88.398,28.275,38.042,22.081,,,2018_2022_q_backfill,2018_2_Q,SUPERSOFT,False,True,True,compound_inference,2018_r02_Q_RIC_lap11
0 days 00:51:26.467000,SAI,55,0 days 00:01:29.802000,11.0,4.0,,,0 days 00:00:28.661000,0 days 00:00:38.688000,0 days 00:00:22.453000,0 days 00:50:25.326000,0 days 00:51:04.014000,0 days 00:51:26.467000,248.0,271.0,291.0,315.0,True,SUPERSOFT,2.0,True,Renault,1.0,,,,False,True,2018,2,Bahrain Grand Prix,Q,89.802,28.661,38.688,22.453,,,2018_2022_q_backfill,2018_2_Q,SUPERSOFT,False,True,True,compound_inference,2018_r02_Q_SAI_lap11
