lap_key,season,round,Driver,LapNumber,status,merged_rows
2018_r01_Q_HAM_lap19,2018,1,HAM,19.0,ok,273
2018_r01_Q_RIC_lap16,2018,1,RIC,16.0,ok,276
2018_r01_Q_SAI_lap16,2018,1,SAI,16.0,ok,282
2018_r01_Q_VET_lap19,2018,1,VET,19.0,ok,275
2018_r02_Q_ALO_lap11,2018,2,ALO,11.0,ok,304
2018_r02_Q_BOT_lap14,2018,2,BOT,14.0,ok,297
2018_r02_Q_GAS_lap17,2018,2,GAS,17.0,ok,301
2018_r02_Q_HAM_lap12,2018,2,HAM,12.0,ok,297
2018_r02_Q_OCO_lap15,2018,2,OCO,15.0,ok,302
2018_r02_Q_RIC_lap11,2018,2,RIC,11.0,ok,298
2018_r02_Q_SAI_lap11,2018,2,SAI,11.0,ok,302
2018_r02_Q_VET_lap11,2018,2,VET,11.0,ok,296
2018_r03_Q_ALO_lap10,2018,3,ALO,10.0,ok,314
2018_r03_Q_BOT_lap15,2018,3,BOT,15.0,ok,309
2018_r03_Q_GAS_lap8,2018,3,GAS,8.0,ok,317
2018_r03_Q_HAM_lap14,2018,3,HAM,14.0,ok,309
2018_r03_Q_OCO_lap8,2018,3,OCO,8.0,ok,313
2018_r03_Q_RIC_lap8,2018,3,RIC,8.0,ok,310
2018_r03_Q_SAI_lap17,2018,3,SAI,17.0,ok,313
2018_r03_Q_VET_lap13,2018,3,VET,13.0,ok,306
2018_r04_Q_ALO_lap15,2018,4,ALO,15.0,ok,350
2018_r04_Q_BOT_lap19,2018,4,BOT,19.0,ok,342
2018_r04_Q_GAS_lap4,2018,4,GAS,4.0,ok,352
2018_r04_Q_HAM_lap19,2018,4,HAM,19.0,ok,342
2018_r04_Q_OCO_lap13,2018,4,OCO,13.0,ok,346
2018_r04_Q_RIC_lap19,2018,4,RIC,19.0,ok,343
2018_r04_Q_SAI_lap19,2018,4,SAI,19.0,ok,347
2018_r04_Q_VET_lap4,2018,4,VET,4.0,ok,347
2018_r05_Q_ALO_lap20,2018,5,ALO,20.0,ok,261
2018_r05_Q_BOT_lap12,2018,5,BOT,12.0,ok,257
2018_r05_Q_GAS_lap12,2018,5,GAS,12.0,ok,267
2018_r05_Q_HAM_lap15,2018,5,HAM,15.0,ok,256
2018_r05_Q_OCO_lap13,2018,5,OCO,13.0,ok,265
2018_r05_Q_RIC_lap16,2018,5,RIC,16.0,ok,258
2018_r05_Q_SAI_lap18,2018,5,SAI,18.0,ok,262
2018_r05_Q_VET_lap15,2018,5,VET,15.0,ok,257
2018_r06_Q_ALO_lap23,2018,6,ALO,23.0,ok,243
2018_r06_Q_BOT_lap24,2018,6,BOT,24.0,ok,241
2018_r06_Q_GAS_lap28,2018,6,GAS,28.0,ok,243
2018_r06_Q_HAM_lap21,2018,6,HAM,21.0,ok,240
2018_r06_Q_OCO_lap26,2018,6,OCO,26.0,ok,242
2018_r06_Q_RIC_lap13,2018,6,RIC,13.0,ok,238
2018_r06_Q_SAI_lap27,2018,6,SAI,27.0,ok,243
2018_r06_Q_VET_lap19,2018,6,VET,19.0,ok,239
2018_r07_Q_ALO_lap13,2018,7,ALO,13.0,ok,245
2018_r07_Q_BOT_lap16,2018,7,BOT,16.0,ok,239
2018_r07_Q_HAM_lap20,2018,7,HAM,20.0,ok,239
2018_r07_Q_OCO_lap13,2018,7,OCO,13.0,ok,242
2018_r07_Q_RIC_lap17,2018,7,RIC,17.0,ok,239
2018_r07_Q_SAI_lap5,2018,7,SAI,5.0,ok,243
2018_r07_Q_VET_lap17,2018,7,VET,17.0,ok,238
2018_r08_Q_BOT_lap16,2018,8,BOT,16.0,ok,304
2018_r08_Q_GAS_lap16,2018,8,GAS,16.0,ok,312
2018_r08_Q_HAM_lap18,2018,8,HAM,18.0,ok,303
2018_r08_Q_OCO_lap13,2018,8,OCO,13.0,ok,310
2018_r08_Q_RIC_lap15,2018,8,RIC,15.0,ok,306
2018_r08_Q_SAI_lap15,2018,8,SAI,15.0,ok,309
2018_r08_Q_VET_lap18,2018,8,VET,18.0,ok,304
2018_r09_Q_ALO_lap7,2018,9,ALO,7.0,ok,218
2018_r09_Q_BOT_lap16,2018,9,BOT,16.0,ok,213
2018_r09_Q_GAS_lap11,2018,9,GAS,11.0,ok,219
2018_r09_Q_HAM_lap19,2018,9,HAM,19.0,ok,213
2018_r09_Q_OCO_lap18,2018,9,OCO,18.0,ok,219
2018_r09_Q_RIC_lap18,2018,9,RIC,18.0,ok,216
2018_r09_Q_SAI_lap10,2018,9,SAI,10.0,ok,218
2018_r09_Q_VET_lap16,2018,9,VET,16.0,ok,214
2018_r10_Q_ALO_lap8,2018,10,ALO,8.0,ok,297
2018_r10_Q_BOT_lap11,2018,10,BOT,11.0,ok,290
2018_r10_Q_GAS_lap14,2018,10,GAS,14.0,ok,297
2018_r10_Q_HAM_lap14,2018,10,HAM,14.0,ok,289
2018_r10_Q_OCO_lap10,2018,10,OCO,10.0,ok,296
2018_r10_Q_RIC_lap10,2018,10,RIC,10.0,ok,293
2018_r10_Q_SAI_lap7,2018,10,SAI,7.0,ok,297
2018_r10_Q_VET_lap12,2018,10,VET,12.0,ok,290
2018_r11_Q_ALO_lap15,2018,11,ALO,15.0,ok,248
2018_r11_Q_BOT_lap16,2018,11,BOT,16.0,ok,240
2018_r11_Q_SAI_lap18,2018,11,SAI,18.0,ok,245
2018_r11_Q_VET_lap14,2018,11,VET,14.0,ok,240
2018_r14_Q_ALO_lap5,2018,14,ALO,5.0,ok,275
2018_r14_Q_BOT_lap17,2018,14,BOT,17.0,ok,268
2018_r14_Q_GAS_lap23,2018,14,GAS,23.0,ok,274
