true_driver,pred_driver,count,row_normalized
ALB,ALB,43,0.7818181818181819
ALB,LEC,1,0.01818181818181818
ALB,OCO,3,0.05454545454545454
ALB,SAI,5,0.09090909090909091
ALB,VER,3,0.05454545454545454
LEC,ALB,0,0.0
LEC,LEC,49,0.8909090909090909
LEC,OCO,1,0.01818181818181818
LEC,SAI,5,0.09090909090909091
LEC,VER,0,0.0
OCO,ALB,4,0.07407407407407407
OCO,LEC,0,0.0
OCO,OCO,47,0.8703703703703703
OCO,SAI,3,0.05555555555555555
OCO,VER,0,0.0
SAI,ALB,5,0.09259259259259259
SAI,LEC,2,0.037037037037037035
SAI,OCO,2,0.037037037037037035
SAI,SAI,45,0.8333333333333334
SAI,VER,0,0.0
VER,ALB,4,0.07272727272727272
VER,LEC,0,0.0
VER,OCO,0,0.0
VER,SAI,0,0.0
VER,VER,51,0.9272727272727272
