feature,mean_abs_coef
num__gear_mean,2.2298610484494676
num__throttle_diff_std,1.2373399485280712
num__throttle_diff_abs_mean,1.14471632322712
num__throttle_zero_frac,1.022427044669259
num__throttle_mid_frac,0.9740644952741562
num__speed_std,0.7200954931329719
num__rpm_diff_std,0.6354728323476085
num__rpm_diff_abs_mean,0.6253468030403955
num__throttle_full_frac,0.6031788379827053
num__rpm_median,0.5176592742599502
num__throttle_std,0.5043119879457036
num__brake_diff_std,0.5026654532024957
num__throttle_p25,0.4990075914575461
num__rpm_max,0.38985744559121543
num__throttle_p10,0.38679615069452
num__throttle_diff_abs_max,0.3813847852821001
num__throttle_max,0.37851909208430057
num__gear_change_count,0.3511089789207869
num__brake_active_frac,0.34448833606745416
num__brake_mean,0.34448833606745416
num__speed_p75,0.33939459446057396
num__speed_diff_std,0.3388548986484857
num__gear_std,0.3233703997047652
num__gear_min,0.3182564418794217
num__speed_p10,0.3041257466655164
num__rpm_min,0.2912479904065706
num__brake_diff_abs_mean,0.2585978658182192
num__gear_max,0.25111066143135974
num__throttle_high_frac,0.2497682737383163
num__speed_median,0.24716792228047701
num__rpm_cv,0.2461357521977944
num__speed_diff_abs_mean,0.21797912089237959
num__rpm_mean,0.20297846128557598
num__speed_min,0.18882931961588373
num__rpm_std,0.16991808511674247
num__rpm_diff_mean,0.16133564155634966
num__throttle_p75,0.15178426501094572
num__gear_median,0.15003030694165653
num__brake_on_count,0.12487931409843896
num__speed_diff_abs_max,0.11740483803681552
num__throttle_diff_mean,0.10311090254323754
num__throttle_median,0.07997452566567602
num__speed_diff_mean,0.07856013801477801
num__brake_std,0.0753719372140389
num__rpm_diff_abs_max,0.05789233192627659
num__speed_p25,0.04968350392621647
num__throttle_mean,0.03697778473782314
num__throttle_low_frac,0.02698163800836078
num__speed_range,0.010476910811954364
num__brake_max,0.0
num__speed_max,0.0
num__speed_mean,0.0
num__brake_diff_abs_max,0.0
num__speed_cv,0.0
num__speed_p90,0.0
num__throttle_p90,0.0
num__brake_p90,0.0
