model,true_driver,pred_driver,count
cnn,OCO,LEC,10
cnn,SAI,ALB,5
cnn,ALB,SAI,3
cnn,LEC,OCO,3
cnn,OCO,VER,3
cnn,SAI,OCO,2
cnn,LEC,SAI,1
cnn,OCO,SAI,1
handcrafted_compact_logreg,ALB,SAI,5
handcrafted_compact_logreg,LEC,SAI,5
handcrafted_compact_logreg,SAI,ALB,5
handcrafted_compact_logreg,OCO,ALB,4
handcrafted_compact_logreg,VER,ALB,4
handcrafted_compact_logreg,ALB,OCO,3
handcrafted_compact_logreg,ALB,VER,3
handcrafted_compact_logreg,OCO,SAI,3
handcrafted_compact_logreg,SAI,LEC,2
handcrafted_compact_logreg,SAI,OCO,2
handcrafted_compact_logreg,ALB,LEC,1
handcrafted_compact_logreg,LEC,OCO,1
hybrid_cnn_tabular,SAI,ALB,6
hybrid_cnn_tabular,LEC,OCO,4
hybrid_cnn_tabular,LEC,SAI,2
hybrid_cnn_tabular,OCO,LEC,2
hybrid_cnn_tabular,SAI,OCO,2
hybrid_cnn_tabular,ALB,OCO,1
hybrid_cnn_tabular,LEC,ALB,1
hybrid_cnn_tabular,LEC,VER,1
hybrid_cnn_tabular,OCO,ALB,1
hybrid_cnn_tabular,OCO,SAI,1
hybrid_cnn_tabular,OCO,VER,1
hybrid_cnn_tabular,SAI,LEC,1
