driver,n_samples,precision,recall,f1,mean_pred_confidence,mean_true_class_probability,model,error_count_est,correct_count_est
ALB,55,0.912281,0.945455,0.928571,0.928149,0.903116,cnn,3,52
ALB,55,0.767857,0.781818,0.774775,0.830931,0.739197,handcrafted_compact_logreg,12,43
ALB,55,0.870968,0.981818,0.923077,0.937496,0.934178,hybrid_cnn_tabular,1,54
LEC,55,0.836066,0.927273,0.87931,0.910183,0.866885,cnn,4,51
LEC,55,0.942308,0.890909,0.915888,0.91844,0.858568,handcrafted_compact_logreg,6,49
LEC,55,0.94,0.854545,0.895238,0.956918,0.865661,hybrid_cnn_tabular,8,47
OCO,54,0.888889,0.740741,0.808081,0.879274,0.718283,cnn,14,40
OCO,54,0.886792,0.87037,0.878505,0.867928,0.792817,handcrafted_compact_logreg,7,47
OCO,54,0.875,0.907407,0.890909,0.945208,0.876429,hybrid_cnn_tabular,5,49
SAI,54,0.903846,0.87037,0.886792,0.943668,0.860339,cnn,7,47
SAI,54,0.775862,0.833333,0.803571,0.85995,0.749298,handcrafted_compact_logreg,9,45
SAI,54,0.9375,0.833333,0.882353,0.936506,0.824499,hybrid_cnn_tabular,9,45
VER,55,0.948276,1.0,0.973451,0.971855,0.971855,cnn,0,55
VER,55,0.944444,0.927273,0.93578,0.910919,0.872485,handcrafted_compact_logreg,4,51
VER,55,0.964912,1.0,0.982143,0.980643,0.980643,hybrid_cnn_tabular,0,55
