experiment,model,fold,n_train,n_test,train_groups,test_groups,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,accuracy_gap,balanced_accuracy_gap,macro_f1_gap
experiment_a_with_time_features,logistic_regression,1,613,153,44,11,0.8466557911908646,0.8468740561763817,0.8461422409585,0.6078431372549019,0.6090909090909091,0.6054030349682523,0.23881265393596274,0.23778314708547255,0.24073920599024767
experiment_a_with_time_features,logistic_regression,2,613,153,44,11,0.8384991843393148,0.8388704318936877,0.837028235284498,0.673202614379085,0.6740259740259741,0.6733523550293736,0.1652965699602298,0.16484445786771362,0.16367588025512436
experiment_a_with_time_features,logistic_regression,3,613,153,44,11,0.8874388254486134,0.8874962247055269,0.8875375583122481,0.6405228758169934,0.6402597402597402,0.6373577431626967,0.24691594963162,0.24723648444578672,0.25017981514955145
experiment_a_with_time_features,logistic_regression,4,612,154,44,11,0.869281045751634,0.869412564180006,0.8684958985498481,0.6753246753246753,0.6753246753246752,0.672490854465356,0.19395637042695868,0.1940878888553308,0.19600504408449215
experiment_a_with_time_features,logistic_regression,5,613,153,44,11,0.8613376835236541,0.8614089398973118,0.860943199514756,0.5751633986928104,0.5772727272727273,0.5665511324627145,0.28617428483084373,0.28413621262458455,0.29439206705204146
experiment_a_with_time_features,random_forest,1,613,153,44,11,1.0,1.0,1.0,0.5098039215686274,0.509090909090909,0.4864177472767703,0.4901960784313726,0.49090909090909096,0.5135822527232297
experiment_a_with_time_features,random_forest,2,613,153,44,11,1.0,1.0,1.0,0.47058823529411764,0.4701298701298701,0.44559145251610105,0.5294117647058824,0.5298701298701298,0.5544085474838989
experiment_a_with_time_features,random_forest,3,613,153,44,11,1.0,1.0,1.0,0.49019607843137253,0.49090909090909085,0.48970702754168166,0.5098039215686274,0.5090909090909091,0.5102929724583183
experiment_a_with_time_features,random_forest,4,612,154,44,11,1.0,1.0,1.0,0.525974025974026,0.525974025974026,0.5063403827572207,0.474025974025974,0.474025974025974,0.4936596172427793
experiment_a_with_time_features,random_forest,5,613,153,44,11,1.0,1.0,1.0,0.4117647058823529,0.4142857142857142,0.39263811909574287,0.5882352941176471,0.5857142857142859,0.6073618809042571
experiment_a_with_time_features,hist_gradient_boosting,1,613,153,44,11,1.0,1.0,1.0,0.5751633986928104,0.5766233766233766,0.558516326364335,0.4248366013071896,0.4233766233766234,0.441483673635665
experiment_a_with_time_features,hist_gradient_boosting,2,613,153,44,11,1.0,1.0,1.0,0.477124183006536,0.47662337662337667,0.46622737612324744,0.522875816993464,0.5233766233766233,0.5337726238767526
experiment_a_with_time_features,hist_gradient_boosting,3,613,153,44,11,1.0,1.0,1.0,0.5032679738562091,0.5032467532467532,0.5013751912248152,0.49673202614379086,0.49675324675324684,0.4986248087751848
experiment_a_with_time_features,hist_gradient_boosting,4,612,154,44,11,1.0,1.0,1.0,0.4935064935064935,0.4935064935064934,0.5009426445843576,0.5064935064935066,0.5064935064935066,0.49905735541564245
experiment_a_with_time_features,hist_gradient_boosting,5,613,153,44,11,1.0,1.0,1.0,0.41830065359477125,0.4194805194805195,0.4152253288343513,0.5816993464052287,0.5805194805194804,0.5847746711656487
experiment_a_with_time_features,xgboost,1,613,153,44,11,1.0,1.0,1.0,0.5555555555555556,0.5571428571428572,0.5339965997849677,0.4444444444444444,0.44285714285714284,0.4660034002150323
experiment_a_with_time_features,xgboost,2,613,153,44,11,1.0,1.0,1.0,0.5163398692810458,0.5155844155844156,0.5050337972424197,0.4836601307189542,0.4844155844155844,0.4949662027575803
experiment_a_with_time_features,xgboost,3,613,153,44,11,1.0,1.0,1.0,0.47058823529411764,0.4707792207792208,0.46986283643892335,0.5294117647058824,0.5292207792207793,0.5301371635610767
experiment_a_with_time_features,xgboost,4,612,154,44,11,1.0,1.0,1.0,0.512987012987013,0.5129870129870129,0.5147820065978468,0.487012987012987,0.4870129870129871,0.4852179934021532
