dataset,feature_config,result_name,target,team_model,driver_model,n_samples,n_drivers,n_teams,n_groups,n_features,accuracy,balanced_accuracy,macro_f1
short_qualifying_2023_2025_top5,all_telemetry_features,direct_driver,Driver,,logistic_l2,273,5,5,24,73,0.8388278388278388,0.8384511784511786,0.8391114946867159
short_qualifying_2023_2025_top5,all_telemetry_features,direct_team,Team,logistic_l2,,273,5,5,24,73,0.8571428571428571,0.8121837214509628,0.8145533024480394
short_qualifying_2023_2025_top5,all_telemetry_features,direct_driver,Driver,,random_forest_regularized,273,5,5,24,73,0.6959706959706959,0.6957575757575758,0.6972680767338908
short_qualifying_2023_2025_top5,all_telemetry_features,direct_team,Team,random_forest_regularized,,273,5,5,24,73,0.7326007326007326,0.5942489550679206,0.5908946711347657
short_qualifying_2023_2025_top5,all_telemetry_features,direct_driver,Driver,,hist_gradient_boosting_regularized,273,5,5,24,73,0.7435897435897436,0.743097643097643,0.7445220575973771
short_qualifying_2023_2025_top5,all_telemetry_features,direct_team,Team,hist_gradient_boosting_regularized,,273,5,5,24,73,0.7545787545787546,0.6581443125839677,0.6666185037618212
short_qualifying_2023_2025_top5,no_time_features,direct_driver,Driver,,logistic_l2,273,5,5,24,65,0.8498168498168498,0.8493602693602694,0.8494124399682688
short_qualifying_2023_2025_top5,no_time_features,direct_team,Team,logistic_l2,,273,5,5,24,65,0.8717948717948718,0.833017987759367,0.8333082264124808
short_qualifying_2023_2025_top5,no_time_features,direct_driver,Driver,,random_forest_regularized,273,5,5,24,65,0.7362637362637363,0.7358249158249158,0.7347452844774274
short_qualifying_2023_2025_top5,no_time_features,direct_team,Team,random_forest_regularized,,273,5,5,24,65,0.7326007326007326,0.597603000447828,0.5947707573066982
short_qualifying_2023_2025_top5,no_time_features,direct_driver,Driver,,hist_gradient_boosting_regularized,273,5,5,24,65,0.7509157509157509,0.7504377104377105,0.7528517245466398
short_qualifying_2023_2025_top5,no_time_features,direct_team,Team,hist_gradient_boosting_regularized,,273,5,5,24,65,0.7509157509157509,0.6644168905806838,0.6724879467002869
short_qualifying_2023_2025_top5,style_core_no_time_context,direct_driver,Driver,,logistic_l2,273,5,5,24,62,0.8461538461538461,0.8456565656565657,0.8451045125194246
short_qualifying_2023_2025_top5,style_core_no_time_context,direct_team,Team,logistic_l2,,273,5,5,24,62,0.8754578754578755,0.8509788774443947,0.8443001481504568
short_qualifying_2023_2025_top5,style_core_no_time_context,direct_driver,Driver,,random_forest_regularized,273,5,5,24,62,0.717948717948718,0.7174410774410774,0.7170796335447498
short_qualifying_2023_2025_top5,style_core_no_time_context,direct_team,Team,random_forest_regularized,,273,5,5,24,62,0.706959706959707,0.5628041498731153,0.5533038390181247
short_qualifying_2023_2025_top5,style_core_no_time_context,direct_driver,Driver,,hist_gradient_boosting_regularized,273,5,5,24,62,0.7435897435897436,0.743030303030303,0.7448798913504795
short_qualifying_2023_2025_top5,style_core_no_time_context,direct_team,Team,hist_gradient_boosting_regularized,,273,5,5,24,62,0.7509157509157509,0.6610628452007762,0.669492073031799
short_qualifying_2023_2025_top5,style_core_no_time_context,hierarchical_team_stage,Team,logistic_l2,logistic_l2,273,5,5,24,62,0.8754578754578755,0.8509788774443947,0.8443001481504568
short_qualifying_2023_2025_top5,style_core_no_time_context,hierarchical_driver_final,Driver,logistic_l2,logistic_l2,273,5,5,24,62,0.8424908424908425,0.8418855218855219,0.8411374120072969
short_qualifying_2023_2025_top5,style_core_no_time_context,hierarchical_team_stage,Team,random_forest_regularized,logistic_l2,273,5,5,24,62,0.706959706959707,0.5628041498731153,0.5533038390181247
short_qualifying_2023_2025_top5,style_core_no_time_context,hierarchical_driver_final,Driver,random_forest_regularized,logistic_l2,273,5,5,24,62,0.6886446886446886,0.6872727272727273,0.6738308090420766
short_qualifying_2023_2025_top5,style_core_no_time_context,hierarchical_team_stage,Team,hist_gradient_boosting_regularized,logistic_l2,273,5,5,24,62,0.7509157509157509,0.6610628452007762,0.669492073031799
short_qualifying_2023_2025_top5,style_core_no_time_context,hierarchical_driver_final,Driver,hist_gradient_boosting_regularized,logistic_l2,273,5,5,24,62,0.7509157509157509,0.7497643097643099,0.7462777171873431
