candidate_name,driver
season5_top5,BOT
season5_top5,SAI
season5_top5,RIC
season5_top5,GAS
season5_top5,LEC
season5_top6,BOT
season5_top6,SAI
season5_top6,RIC
season5_top6,GAS
season5_top6,LEC
season5_top6,VER
season5_top8,BOT
season5_top8,SAI
season5_top8,RIC
season5_top8,GAS
season5_top8,LEC
season5_top8,VER
season5_top8,HAM
season5_top8,STR
season4plus_top8,BOT
season4plus_top8,SAI
season4plus_top8,RIC
season4plus_top8,GAS
season4plus_top8,LEC
season4plus_top8,VER
season4plus_top8,HAM
season4plus_top8,STR
season5_top10,BOT
season5_top10,SAI
season5_top10,RIC
season5_top10,GAS
season5_top10,LEC
season5_top10,VER
season5_top10,HAM
season5_top10,STR
season5_top10,VET
season5_top10,PER
season4plus_top10,BOT
season4plus_top10,SAI
season4plus_top10,RIC
season4plus_top10,GAS
season4plus_top10,LEC
season4plus_top10,VER
season4plus_top10,HAM
season4plus_top10,STR
season4plus_top10,VET
season4plus_top10,PER
season4plus_top12,BOT
season4plus_top12,SAI
season4plus_top12,RIC
season4plus_top12,GAS
season4plus_top12,LEC
season4plus_top12,VER
season4plus_top12,HAM
season4plus_top12,STR
season4plus_top12,VET
season4plus_top12,PER
season4plus_top12,RAI
season4plus_top12,NOR
