Driver,n_lap_rows,n_sessions,n_seasons,n_q_sessions,n_r_sessions
BOT,7589,206,5,1876,5713
SAI,7333,206,5,1784,5549
RIC,7225,206,5,1617,5608
GAS,7217,206,5,1715,5502
LEC,7208,206,5,1826,5382
VER,7285,205,5,1685,5600
HAM,7995,204,5,2010,5985
STR,6807,204,5,1243,5564
VET,7299,202,5,1588,5711
PER,7269,202,5,1646,5623
NOR,6125,164,4,1527,4598
RUS,5662,164,4,1183,4479
OCO,5622,163,4,1304,4318
MAG,5449,162,4,1136,4313
RAI,5522,158,4,1109,4413
HUL,3005,94,4,657,2348
ALO,4368,130,3,998,3370
LAT,3842,122,3,576,3266
GIO,4118,120,3,755,3363
ALB,4214,117,3,873,3341
GRO,3697,113,3,775,2922
TSU,2812,87,2,626,2186
MSC,2805,85,2,522,2283
KVY,2719,75,2,540,2179
KUB,1492,46,2,189,1303
ZHO,1378,44,1,315,1063
MAZ,1216,43,1,203,1013
VAN,1420,42,1,216,1204
ERI,1360,42,1,264,1096
SIR,1322,42,1,200,1122
HAR,1228,40,1,225,1003
FIT,160,4,1,20,140
AIT,96,2,1,9,87
DEV,66,2,1,13,53
