Driver,2018,2019,2020,2021,2022
AIT,0,0,2,0,0
ALB,0,41,34,0,42
ALO,42,0,0,44,44
BOT,42,42,34,44,44
DEV,0,0,0,0,2
ERI,42,0,0,0,0
FIT,0,0,4,0,0
GAS,42,42,34,44,44
GIO,0,42,34,44,0
GRO,41,42,30,0,0
HAM,42,42,32,44,44
HAR,40,0,0,0,0
HUL,42,42,6,0,4
KUB,0,42,0,4,0
KVY,0,41,34,0,0
LAT,0,0,34,44,44
LEC,42,42,34,44,44
MAG,42,42,34,0,44
MAZ,0,0,0,43,0
MSC,0,0,0,42,43
NOR,0,42,34,44,44
OCO,42,0,34,44,43
PER,42,42,30,44,44
RAI,42,42,34,40,0
RIC,42,42,34,44,44
RUS,0,42,34,44,44
SAI,42,42,34,44,44
SIR,42,0,0,0,0
STR,42,42,32,44,44
TSU,0,0,0,44,43
VAN,42,0,0,0,0
VER,41,42,34,44,44
VET,42,42,34,44,40
ZHO,0,0,0,0,44
