Driver,season,n_lap_rows,n_sessions,n_q_rows,n_r_rows
AIT,2020,96,2,9,87
ALB,2019,1560,41,313,1247
ALB,2020,1305,34,315,990
ALB,2022,1349,42,245,1104
ALO,2018,1264,42,274,990
ALO,2021,1593,44,334,1259
ALO,2022,1511,44,390,1121
BOT,2018,1576,42,370,1206
BOT,2019,1630,42,394,1236
BOT,2020,1319,34,328,991
BOT,2021,1595,44,455,1140
BOT,2022,1469,44,329,1140
DEV,2022,66,2,13,53
ERI,2018,1360,42,264,1096
FIT,2020,160,4,20,140
GAS,2018,1347,42,309,1038
GAS,2019,1565,42,328,1237
GAS,2020,1169,34,308,861
GAS,2021,1552,44,424,1128
GAS,2022,1584,44,346,1238
GIO,2019,1496,42,282,1214
GIO,2020,1064,34,172,892
GIO,2021,1558,44,301,1257
GRO,2018,1417,41,338,1079
GRO,2019,1352,42,305,1047
GRO,2020,928,30,132,796
HAM,2018,1636,42,378,1258
HAM,2019,1661,42,398,1263
HAM,2020,1265,32,319,946
HAM,2021,1735,44,464,1271
HAM,2022,1698,44,451,1247
HAR,2018,1228,40,225,1003
HUL,2018,1248,42,305,943
HUL,2019,1479,42,294,1185
HUL,2020,155,6,42,113
HUL,2022,123,4,16,107
KUB,2019,1353,42,173,1180
KUB,2021,139,4,16,123
KVY,2019,1476,41,280,1196
KVY,2020,1243,34,260,983
LAT,2020,1066,34,153,913
LAT,2021,1411,44,215,1196
LAT,2022,1365,44,208,1157
LEC,2018,1406,42,342,1064
LEC,2019,1501,42,342,1159
LEC,2020,1120,34,300,820
LEC,2021,1584,44,435,1149
LEC,2022,1597,44,407,1190
MAG,2018,1509,42,335,1174
MAG,2019,1489,42,300,1189
MAG,2020,983,34,170,813
MAG,2022,1468,44,331,1137
MAZ,2021,1216,43,203,1013
MSC,2021,1334,42,195,1139
MSC,2022,1471,43,327,1144
NOR,2019,1479,42,373,1106
NOR,2020,1331,34,319,1012
NOR,2021,1648,44,423,1225
NOR,2022,1667,44,412,1255
OCO,2018,1406,42,347,1059
OCO,2020,1140,34,281,859
OCO,2021,1489,44,334,1155
OCO,2022,1587,43,342,1245
PER,2018,1511,42,312,1199
PER,2019,1422,42,250,1172
PER,2020,1124,30,247,877
PER,2021,1610,44,420,1190
PER,2022,1602,44,417,1185
RAI,2018,1490,42,372,1118
RAI,2019,1551,42,325,1226
RAI,2020,1182,34,177,1005
RAI,2021,1299,40,235,1064
RIC,2018,1340,42,297,1043
RIC,2019,1446,42,322,1124
RIC,2020,1256,34,282,974
RIC,2021,1647,44,378,1269
RIC,2022,1536,44,338,1198
RUS,2019,1374,42,190,1184
RUS,2020,1124,34,215,909
RUS,2021,1474,44,329,1145
RUS,2022,1690,44,449,1241
SAI,2018,1528,42,329,1199
SAI,2019,1476,42,341,1135
SAI,2020,1185,34,304,881
SAI,2021,1690,44,394,1296
SAI,2022,1454,44,416,1038
SIR,2018,1322,42,200,1122
STR,2018,1354,42,196,1158
STR,2019,1426,42,212,1214
STR,2020,1062,32,279,783
STR,2021,1471,44,297,1174
STR,2022,1494,44,259,1235
TSU,2021,1400,44,317,1083
TSU,2022,1412,43,309,1103
VAN,2018,1420,42,216,1204
VER,2018,1413,41,280,1133
VER,2019,1493,42,312,1181
VER,2020,1114,34,317,797
VER,2021,1593,44,377,1216
VER,2022,1672,44,399,1273
VET,2018,1616,42,365,1251
VET,2019,1531,42,350,1181
VET,2020,1176,34,266,910
VET,2021,1607,44,341,1266
VET,2022,1369,40,266,1103
ZHO,2022,1378,44,315,1063
