column,missing_fraction
TyreLife,0.0018331805682859762
Compound,0.0018331805682859762
last_full_throttle_frac_pos,0.0018331805682859762
first_brake_frac_pos,0.0018331805682859762
last_brake_frac_pos,0.0018331805682859762
first_full_throttle_frac_pos,0.0018331805682859762
speed_cv,0.0018331805682859762
rpm_cv,0.0018331805682859762
Driver,0.0
LapNumber,0.0
Sector1TimeSeconds,0.0
Sector3TimeSeconds,0.0
n_samples,0.0
speed_mean,0.0
speed_std,0.0
Team,0.0
LapTimeSeconds,0.0
Sector2TimeSeconds,0.0
round,0.0
season,0.0
lap_key,0.0
throttle_std,0.0
throttle_mean,0.0
speed_range,0.0
speed_median,0.0
speed_max,0.0
speed_min,0.0
throttle_min,0.0
throttle_max,0.0
rpm_mean,0.0
rpm_std,0.0
rpm_min,0.0
rpm_max,0.0
brake_std,0.0
brake_min,0.0
throttle_median,0.0
brake_mean,0.0
gear_min,0.0
gear_std,0.0
gear_mean,0.0
rpm_median,0.0
gear_max,0.0
gear_median,0.0
throttle_zero_frac,0.0
throttle_low_frac,0.0
brake_active_frac,0.0
throttle_full_frac,0.0
throttle_high_frac,0.0
throttle_mid_frac,0.0
brake_hard_frac,0.0
drs_active_frac,0.0
brake_max,0.0
brake_median,0.0
brake_on_count,0.0
gear_change_count,0.0
drs_toggle_count,0.0
speed_diff_mean,0.0
speed_diff_abs_max,0.0
throttle_diff_mean,0.0
speed_diff_std,0.0
speed_diff_abs_mean,0.0
throttle_diff_abs_max,0.0
brake_diff_mean,0.0
brake_diff_std,0.0
brake_diff_abs_mean,0.0
brake_diff_abs_max,0.0
rpm_diff_mean,0.0
throttle_diff_std,0.0
throttle_diff_abs_mean,0.0
rpm_diff_abs_mean,0.0
rpm_diff_std,0.0
rpm_diff_abs_max,0.0
sector_sum_seconds,0.0
sector1_share,0.0
sector2_share,0.0
sector3_share,0.0
speed_p10,0.0
speed_p25,0.0
speed_p75,0.0
speed_p90,0.0
throttle_p10,0.0
throttle_p25,0.0
throttle_p75,0.0
throttle_p90,0.0
brake_p90,0.0
