feature,count,mean,std,min,25%,50%,75%,max
season,1091.0,2024.1255728689275,0.810366615954813,2023.0,2023.0,2024.0,2025.0,2025.0
round,1091.0,12.172318973418882,7.019867221685123,1.0,6.0,12.0,18.0,24.0
LapNumber,1091.0,12.813015582034831,5.759384458281031,2.0,8.0,13.0,17.0,31.0
LapTimeSeconds,1091.0,83.29686892758936,9.76922191356946,64.268,75.661,84.105,90.46950000000001,127.312
Sector1TimeSeconds,1091.0,25.885064161319892,5.041527853600716,16.254,23.692,26.745,29.2435,41.203
Sector2TimeSeconds,1091.0,32.23244821264894,5.668210280605303,16.915,27.833,31.008,37.528999999999996,53.348
Sector3TimeSeconds,1091.0,25.179356553620533,5.462431480669553,15.941,21.137500000000003,24.926,28.2845,42.1
TyreLife,1089.0,2.3259871441689626,0.9071177710583503,2.0,2.0,2.0,2.0,9.0
n_samples,1091.0,311.5673693858845,37.05757729781607,235.0,280.5,314.0,339.0,476.0
speed_mean,1091.0,220.41897150733888,24.249044734975765,0.0,207.87323264781492,222.44267515923568,236.90541528239203,264.7551020408163
speed_std,1091.0,69.0928321939844,9.388499795175276,0.0,63.04925393627002,68.39620710870899,73.92478349288123,87.79853635622376
speed_min,1091.0,76.43354720439963,15.590809224289243,0.0,67.0,73.0,90.0,113.0
speed_max,1091.0,327.2914757103575,19.831244709280444,0.0,322.0,328.0,336.0,356.0
speed_median,1091.0,229.58753437213565,30.038261388067287,0.0,212.0,237.0,250.0,281.5
speed_range,1091.0,250.85792850595783,20.75958889568432,0.0,239.0,251.0,265.0,290.0
throttle_mean,1091.0,71.76517582206638,7.50954865295248,0.0,68.01231884057971,72.58461538461539,77.17380375258102,83.7280701754386
throttle_std,1091.0,39.74664217769726,3.2379194963335713,0.0,37.799618331379364,40.08076714060924,41.91075613031653,45.44590960108769
throttle_min,1091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
throttle_max,1091.0,99.80659945004582,4.299583133618745,0.0,100.0,100.0,100.0,104.0
throttle_median,1091.0,96.8858845096242,9.273818459891087,0.0,99.0,100.0,100.0,100.0
brake_mean,1091.0,0.17356911873419134,0.04161693701343033,0.0,0.14144736842105263,0.17183098591549295,0.2007505350906838,0.3159851301115242
brake_std,1091.0,0.3751349999339345,0.03809816703619218,0.0,0.3490570189830062,0.37777837527612923,0.40129586799481975,0.4657735659131318
brake_min,1091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brake_max,1091.0,0.998166819431714,0.04279601326351382,0.0,1.0,1.0,1.0,1.0
brake_median,1091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rpm_mean,1091.0,10433.503284559327,552.5789024681915,0.0,10233.812418533516,10470.283737024221,10707.067876133875,11289.756013745704
rpm_std,1091.0,1298.3827458388023,287.9568452988172,0.0,1072.7067616977197,1290.6134360325675,1519.2443258661137,1971.5846946440763
rpm_min,1091.0,6096.739688359304,840.2958140508987,0.0,5510.5,6077.0,6668.0,8172.0
rpm_max,1091.0,12202.318056828597,576.0522837463901,0.0,12044.0,12204.0,12384.5,13172.0
rpm_median,1091.0,10851.810724106324,507.3396571074242,0.0,10764.0,10878.0,10991.5,11406.0
gear_mean,1091.0,5.595775720995772,0.6489550383075369,0.0,5.279212902199419,5.666666666666667,6.049545487338576,6.732899022801303
gear_std,1091.0,1.7765947126031354,0.2241760687207018,0.0,1.6298330060837882,1.7781615142768965,1.9171903862657766,2.2997677300532877
gear_min,1091.0,2.4042163153070577,0.6063430803978971,0.0,2.0,2.0,3.0,4.0
gear_max,1091.0,7.933088909257562,0.40650162257008515,0.0,8.0,8.0,8.0,8.0
gear_median,1091.0,5.83134738771769,0.8739176369039554,0.0,5.0,6.0,6.0,8.0
throttle_zero_frac,1091.0,0.1690769022169677,0.06796991635688465,0.005076142131979695,0.1314490728418064,0.16487455197132617,0.2056146572104019,1.0
throttle_low_frac,1091.0,0.2154036273868269,0.0643047653612909,0.10561056105610561,0.1716171617161716,0.20916905444126074,0.245136186770428,1.0
throttle_mid_frac,1091.0,0.13544043716539086,0.04180043659190095,0.0,0.10408921933085502,0.13354037267080746,0.1661928720835386,0.4894957983193277
throttle_high_frac,1091.0,0.6491559354477823,0.08926896900131465,0.0,0.5979866445190132,0.6595092024539877,0.7131709087609455,0.8157894736842105
throttle_full_frac,1091.0,0.6111315588408872,0.09085635140780018,0.0,0.5558781392213046,0.623229461756374,0.677779149689262,0.7957317073170732
brake_active_frac,1091.0,0.17356911873419134,0.04161693701343033,0.0,0.14144736842105263,0.17183098591549295,0.2007505350906838,0.3159851301115242
brake_hard_frac,1091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drs_active_frac,1091.0,0.998166819431714,0.04279601326351382,0.0,1.0,1.0,1.0,1.0
