subset_name,penalty,C,class_weight,feature,importance
distinctive_top5,l1,2.0,none,num__gear_mean,2.066866288736422
distinctive_top5,l1,2.0,none,num__throttle_diff_abs_mean,1.1149474414103129
distinctive_top5,l1,2.0,none,num__throttle_diff_std,1.064017247851726
distinctive_top5,l1,2.0,none,num__throttle_mid_frac,1.0140531800248649
distinctive_top5,l1,2.0,none,num__throttle_zero_frac,0.9154533774050495
distinctive_top5,l1,2.0,none,num__rpm_diff_abs_mean,0.8821716566377716
distinctive_top5,l1,2.0,none,num__speed_std,0.8023216657643839
distinctive_top5,l1,2.0,none,num__rpm_median,0.5710782773254793
distinctive_top5,l1,2.0,none,num__gear_change_count,0.5514103561541522
distinctive_top5,l1,2.0,none,num__throttle_std,0.5138520708881849
distinctive_top5,l1,2.0,none,num__throttle_full_frac,0.4881619420003265
distinctive_top5,l1,2.0,none,num__rpm_diff_std,0.46592773296118484
distinctive_top5,l1,2.0,none,num__throttle_p25,0.4288360622296823
distinctive_top5,l1,2.0,none,num__throttle_diff_abs_max,0.422166946736742
distinctive_top5,l1,2.0,none,num__rpm_max,0.41350555207754064
distinctive_top5,l1,2.0,none,num__throttle_p10,0.400849060213769
distinctive_top5,l1,2.0,none,num__brake_mean,0.3540508586595135
distinctive_top5,l1,2.0,none,num__brake_active_frac,0.3540508586595135
distinctive_top5,l1,2.0,none,num__throttle_max,0.33447602956082423
distinctive_top5,l1,2.0,none,num__speed_diff_std,0.3063313384276311
distinctive_top5,l1,2.0,none,num__brake_diff_std,0.29655938076857435
distinctive_top5,l1,2.0,none,num__gear_min,0.29527513276245737
distinctive_top5,l1,2.0,none,num__gear_std,0.2727036461546089
distinctive_top5,l1,2.0,none,num__throttle_high_frac,0.25106189353944164
distinctive_top5,l1,2.0,none,num__brake_diff_abs_mean,0.2466050270775429
distinctive_top5,l1,2.0,none,num__speed_p75,0.23672448772319052
distinctive_top5,l1,2.0,none,num__speed_p10,0.23591448773381848
distinctive_top5,l1,2.0,none,num__rpm_min,0.2350444931410852
distinctive_top5,l1,2.0,none,num__n_samples,0.22536679345377486
distinctive_top5,l1,2.0,none,num__speed_median,0.2115759151355105
distinctive_top5,l1,2.0,none,num__gear_max,0.19237735959345156
distinctive_top5,l1,2.0,none,num__throttle_p75,0.1764224073502695
distinctive_top5,l1,2.0,none,num__speed_diff_abs_mean,0.16236897774178477
distinctive_top5,l1,2.0,none,num__rpm_diff_mean,0.15792694558961343
distinctive_top5,l1,2.0,none,num__gear_median,0.15151898562658742
distinctive_top5,l1,2.0,none,num__TyreLife,0.14690821609185964
distinctive_top5,l1,2.0,none,num__last_brake_frac_pos,0.14652320238686287
