subset_name,experiment,model,fold,n_train,n_test,train_accuracy,test_accuracy,train_balanced_accuracy,test_balanced_accuracy,train_macro_f1,test_macro_f1
balanced_top5,with_time_features,logistic_regression,1,560,138,0.9196428571428571,0.8405797101449275,0.9185395005270781,0.8405868494324267,0.9191958641851455,0.8379328802078285
balanced_top5,with_time_features,logistic_regression,2,559,139,0.9177101967799642,0.7913669064748201,0.9164547318177647,0.7874062968515743,0.9173629591020896,0.7910494317613338
balanced_top5,with_time_features,logistic_regression,3,554,144,0.9169675090252708,0.8333333333333334,0.9158290227786443,0.8332767743112569,0.9163874556228381,0.8334938844280518
balanced_top5,with_time_features,logistic_regression,4,558,140,0.9157706093189965,0.8714285714285714,0.915043728135932,0.8689950738916256,0.9158972832528762,0.8693059007387868
balanced_top5,with_time_features,logistic_regression,5,561,137,0.9162210338680927,0.8029197080291971,0.9158605391181961,0.7987363461126579,0.9162148578974065,0.799150156798533
balanced_top5,with_time_features,random_forest,1,560,138,1.0,0.6811594202898551,1.0,0.6793745984150782,1.0,0.6754089559144896
balanced_top5,with_time_features,random_forest,2,559,139,1.0,0.7410071942446043,1.0,0.7355322338830584,1.0,0.735144616434939
balanced_top5,with_time_features,random_forest,3,554,144,1.0,0.6597222222222222,1.0,0.6562196679438059,1.0,0.6554695595215663
balanced_top5,with_time_features,random_forest,4,558,140,1.0,0.6071428571428571,1.0,0.6057241379310344,1.0,0.6037468278137883
balanced_top5,with_time_features,random_forest,5,561,137,1.0,0.656934306569343,1.0,0.6523773827372029,1.0,0.6512949039264828
balanced_top5,with_time_features,hist_gradient_boosting,1,560,138,1.0,0.782608695652174,1.0,0.7761726279717285,1.0,0.7761725599064875
balanced_top5,with_time_features,hist_gradient_boosting,2,559,139,1.0,0.7122302158273381,1.0,0.7061469265367316,1.0,0.7078428693413544
balanced_top5,with_time_features,hist_gradient_boosting,3,554,144,1.0,0.7152777777777778,1.0,0.7116529830322935,1.0,0.712218248173744
balanced_top5,with_time_features,hist_gradient_boosting,4,558,140,1.0,0.6642857142857143,1.0,0.6633497536945813,1.0,0.6598986987414446
balanced_top5,with_time_features,hist_gradient_boosting,5,561,137,1.0,0.6934306569343066,1.0,0.6935639323195544,1.0,0.6940327868852458
balanced_top5,with_time_features,xgboost,1,560,138,1.0,0.7608695652173914,1.0,0.7549903619618761,1.0,0.7561164635740907
balanced_top5,with_time_features,xgboost,2,559,139,1.0,0.7194244604316546,1.0,0.7166416791604198,1.0,0.7162397231065226
balanced_top5,with_time_features,xgboost,3,554,144,1.0,0.7083333333333334,1.0,0.7035741652983033,1.0,0.7012372751353262
balanced_top5,with_time_features,xgboost,4,558,140,1.0,0.6642857142857143,1.0,0.6611428571428571,1.0,0.660464574960273
balanced_top5,with_time_features,xgboost,5,561,137,1.0,0.6934306569343066,1.0,0.6956093381880489,1.0,0.69239944325525
balanced_top5,without_time_features,logistic_regression,1,560,138,0.9125,0.8115942028985508,0.9112812928961997,0.8094024416363246,0.9119715927293491,0.8079200230498624
balanced_top5,without_time_features,logistic_regression,2,559,139,0.9123434704830053,0.7769784172661871,0.9118257197931646,0.7736131934032983,0.9120425094458845,0.7776219316638183
balanced_top5,without_time_features,logistic_regression,3,554,144,0.9115523465703971,0.8333333333333334,0.90944604405524,0.8328005838350666,0.9102756318864573,0.8329376722457484
balanced_top5,without_time_features,logistic_regression,4,558,140,0.9121863799283154,0.8642857142857143,0.9115504747626186,0.8616059113300493,0.9122264623610803,0.8618841449034627
balanced_top5,without_time_features,logistic_regression,5,561,137,0.910873440285205,0.8102189781021898,0.9110048037205887,0.8056328978367958,0.9111436723693915,0.8062662229710285
balanced_top5,without_time_features,random_forest,1,560,138,1.0,0.6739130434782609,1.0,0.6742771471407153,1.0,0.6617628407806518
balanced_top5,without_time_features,random_forest,2,559,139,1.0,0.7553956834532374,1.0,0.7493253373313342,1.0,0.7521569381808337
balanced_top5,without_time_features,random_forest,3,554,144,1.0,0.6736111111111112,1.0,0.6685130450647692,1.0,0.6680347314690188
balanced_top5,without_time_features,random_forest,4,558,140,1.0,0.6428571428571429,1.0,0.6391034482758621,1.0,0.6387112403100775
balanced_top5,without_time_features,random_forest,5,561,137,1.0,0.6715328467153284,1.0,0.6661704861854787,1.0,0.6658409855787534
balanced_top5,without_time_features,hist_gradient_boosting,1,560,138,1.0,0.7318840579710145,1.0,0.7224994645534376,1.0,0.7207144659514546
balanced_top5,without_time_features,hist_gradient_boosting,2,559,139,1.0,0.7050359712230215,1.0,0.6992503748125938,1.0,0.7001996165368114
balanced_top5,without_time_features,hist_gradient_boosting,3,554,144,1.0,0.7152777777777778,1.0,0.7111767925561029,1.0,0.7105536878269334
balanced_top5,without_time_features,hist_gradient_boosting,4,558,140,1.0,0.6642857142857143,1.0,0.662,1.0,0.6579240292375501
balanced_top5,without_time_features,hist_gradient_boosting,5,561,137,1.0,0.7153284671532847,1.0,0.7180980938102377,1.0,0.7174718701039737
balanced_top5,without_time_features,xgboost,1,560,138,1.0,0.7608695652173914,1.0,0.7536838723495395,1.0,0.7528004261299908
balanced_top5,without_time_features,xgboost,2,559,139,1.0,0.7194244604316546,1.0,0.7166416791604198,1.0,0.7168829148156161
balanced_top5,without_time_features,xgboost,3,554,144,1.0,0.7083333333333334,1.0,0.7047910965152344,1.0,0.7044969524922768
balanced_top5,without_time_features,xgboost,4,558,140,1.0,0.65,1.0,0.6457536945812807,1.0,0.6462126642771804
balanced_top5,without_time_features,xgboost,5,561,137,1.0,0.6934306569343066,1.0,0.6938102377382738,1.0,0.6942604840765677
balanced_top6,with_time_features,logistic_regression,1,668,165,0.8847305389221557,0.7878787878787878,0.8837015441644033,0.7843381331312366,0.8838565415372712,0.785098279641251
balanced_top6,with_time_features,logistic_regression,2,661,172,0.875945537065053,0.7906976744186046,0.8744930862983002,0.7923563218390804,0.8750806080915442,0.7902515591991568
balanced_top6,with_time_features,logistic_regression,3,668,165,0.8847305389221557,0.793939393939394,0.8833793503577169,0.7927309493401448,0.884177498041277,0.7886172369207096
balanced_top6,with_time_features,logistic_regression,4,670,163,0.8850746268656716,0.7975460122699386,0.884048919776288,0.7929652435686919,0.8845890009793379,0.7961723343397425
balanced_top6,with_time_features,logistic_regression,5,665,168,0.8902255639097745,0.7916666666666666,0.8891691235629778,0.7883558220889554,0.8892839201698934,0.7905529286338471
balanced_top6,with_time_features,random_forest,1,668,165,1.0,0.6181818181818182,1.0,0.6122843248705317,1.0,0.607061963523079
balanced_top6,with_time_features,random_forest,2,661,172,1.0,0.5930232558139535,1.0,0.5893349753694581,1.0,0.588247081435936
balanced_top6,with_time_features,random_forest,3,668,165,1.0,0.5757575757575758,1.0,0.5743135376756067,1.0,0.5644102718729584
balanced_top6,with_time_features,random_forest,4,670,163,1.0,0.6319018404907976,1.0,0.624043513957307,1.0,0.6155182087726431
balanced_top6,with_time_features,random_forest,5,665,168,1.0,0.5833333333333334,1.0,0.5812093953023488,1.0,0.5718945836592896
balanced_top6,with_time_features,hist_gradient_boosting,1,668,165,1.0,0.6666666666666666,1.0,0.6614228874573702,1.0,0.6609827352409104
balanced_top6,with_time_features,hist_gradient_boosting,2,661,172,1.0,0.6627906976744186,1.0,0.6616885604816639,1.0,0.6623965237261094
balanced_top6,with_time_features,hist_gradient_boosting,3,668,165,1.0,0.6303030303030303,1.0,0.6248403575989783,1.0,0.6159990875226226
balanced_top6,with_time_features,hist_gradient_boosting,4,670,163,1.0,0.6871165644171779,1.0,0.6813451012588944,1.0,0.6806311742325164
balanced_top6,with_time_features,hist_gradient_boosting,5,665,168,1.0,0.6547619047619048,1.0,0.6531734132933533,1.0,0.6499809974343081
balanced_top6,with_time_features,xgboost,1,668,165,1.0,0.6424242424242425,1.0,0.6402734621700139,1.0,0.6411931168918464
balanced_top6,with_time_features,xgboost,2,661,172,1.0,0.6046511627906976,1.0,0.6037794198139026,1.0,0.6061192782325729
balanced_top6,with_time_features,xgboost,3,668,165,1.0,0.6181818181818182,1.0,0.6145434227330778,1.0,0.6068431998664555
balanced_top6,with_time_features,xgboost,4,670,163,1.0,0.6625766871165644,1.0,0.6522112753147236,1.0,0.6495820079552658
balanced_top6,with_time_features,xgboost,5,665,168,1.0,0.6428571428571429,1.0,0.6401799100449774,1.0,0.6327031926178949
balanced_top6,without_time_features,logistic_regression,1,668,165,0.8832335329341318,0.7878787878787878,0.8824470477407341,0.7832171276998863,0.8827957407410775,0.7842520725334472
balanced_top6,without_time_features,logistic_regression,2,661,172,0.8729198184568835,0.8023255813953488,0.8713651085590177,0.8044526546250683,0.872082556705904,0.8022899245676016
balanced_top6,without_time_features,logistic_regression,3,668,165,0.8937125748502994,0.7696969696969697,0.8927878811057068,0.7693167305236269,0.8935042856687727,0.7663650075414782
balanced_top6,without_time_features,logistic_regression,4,670,163,0.891044776119403,0.7730061349693251,0.8897835524599462,0.7666625615763546,0.8903942599997591,0.7703535932795522
balanced_top6,without_time_features,logistic_regression,5,665,168,0.8872180451127819,0.7916666666666666,0.885896116246844,0.7883558220889554,0.8861016590963208,0.7914202996144617
balanced_top6,without_time_features,random_forest,1,668,165,1.0,0.6303030303030303,1.0,0.6234230137678414,1.0,0.6174957010199402
balanced_top6,without_time_features,random_forest,2,661,172,1.0,0.6046511627906976,1.0,0.6041899288451013,1.0,0.6047330707649522
balanced_top6,without_time_features,random_forest,3,668,165,1.0,0.5575757575757576,1.0,0.5545977011494253,1.0,0.5412027654343227
balanced_top6,without_time_features,random_forest,4,670,163,1.0,0.6319018404907976,1.0,0.6227736726874658,1.0,0.617280179422787
balanced_top6,without_time_features,random_forest,5,665,168,1.0,0.6130952380952381,1.0,0.612943528235882,1.0,0.6006270555928089
balanced_top6,without_time_features,hist_gradient_boosting,1,668,165,1.0,0.6848484848484848,1.0,0.6799943160287988,1.0,0.6809269647126684
balanced_top6,without_time_features,hist_gradient_boosting,2,661,172,1.0,0.6337209302325582,1.0,0.6347646414887794,1.0,0.6350734368849819
balanced_top6,without_time_features,hist_gradient_boosting,3,668,165,1.0,0.6181818181818182,1.0,0.6137718177948063,1.0,0.6045081247255161
balanced_top6,without_time_features,hist_gradient_boosting,4,670,163,1.0,0.6748466257668712,1.0,0.667528735632184,1.0,0.6657907677177454
balanced_top6,without_time_features,hist_gradient_boosting,5,665,168,1.0,0.6726190476190477,1.0,0.6689155422288855,1.0,0.6687930430636738
balanced_top6,without_time_features,xgboost,1,668,165,1.0,0.6666666666666666,1.0,0.6647972716938234,1.0,0.665790643751217
balanced_top6,without_time_features,xgboost,2,661,172,1.0,0.6453488372093024,1.0,0.6445593869731802,1.0,0.6462280258841392
balanced_top6,without_time_features,xgboost,3,668,165,1.0,0.5757575757575758,1.0,0.5721849723286505,1.0,0.5649434451377536
balanced_top6,without_time_features,xgboost,4,670,163,1.0,0.6380368098159509,1.0,0.6310016420361247,1.0,0.6295830573091211
balanced_top6,without_time_features,xgboost,5,665,168,1.0,0.6309523809523809,1.0,0.6286856571714142,1.0,0.6206834651218153
