setup,model,true_driver,pred_driver,count
long_qualifying_top5,cnn,HAM,HAM,112
long_qualifying_top5,cnn,HAM,LEC,11
long_qualifying_top5,cnn,HAM,OCO,3
long_qualifying_top5,cnn,HAM,SAI,14
long_qualifying_top5,cnn,HAM,VER,4
long_qualifying_top5,cnn,LEC,HAM,2
long_qualifying_top5,cnn,LEC,LEC,135
long_qualifying_top5,cnn,LEC,OCO,1
long_qualifying_top5,cnn,LEC,SAI,6
long_qualifying_top5,cnn,LEC,VER,1
long_qualifying_top5,cnn,OCO,HAM,4
long_qualifying_top5,cnn,OCO,LEC,10
long_qualifying_top5,cnn,OCO,OCO,89
long_qualifying_top5,cnn,OCO,SAI,1
long_qualifying_top5,cnn,OCO,VER,17
long_qualifying_top5,cnn,SAI,HAM,4
long_qualifying_top5,cnn,SAI,LEC,9
long_qualifying_top5,cnn,SAI,OCO,4
long_qualifying_top5,cnn,SAI,SAI,126
long_qualifying_top5,cnn,SAI,VER,1
long_qualifying_top5,cnn,VER,HAM,1
long_qualifying_top5,cnn,VER,LEC,2
long_qualifying_top5,cnn,VER,OCO,10
long_qualifying_top5,cnn,VER,SAI,1
long_qualifying_top5,cnn,VER,VER,130
long_qualifying_top5,hybrid_cnn_tabular,HAM,HAM,125
long_qualifying_top5,hybrid_cnn_tabular,HAM,LEC,6
long_qualifying_top5,hybrid_cnn_tabular,HAM,OCO,3
long_qualifying_top5,hybrid_cnn_tabular,HAM,SAI,10
long_qualifying_top5,hybrid_cnn_tabular,HAM,VER,0
long_qualifying_top5,hybrid_cnn_tabular,LEC,HAM,2
long_qualifying_top5,hybrid_cnn_tabular,LEC,LEC,135
long_qualifying_top5,hybrid_cnn_tabular,LEC,OCO,3
long_qualifying_top5,hybrid_cnn_tabular,LEC,SAI,3
long_qualifying_top5,hybrid_cnn_tabular,LEC,VER,2
long_qualifying_top5,hybrid_cnn_tabular,OCO,HAM,9
long_qualifying_top5,hybrid_cnn_tabular,OCO,LEC,3
long_qualifying_top5,hybrid_cnn_tabular,OCO,OCO,103
long_qualifying_top5,hybrid_cnn_tabular,OCO,SAI,1
long_qualifying_top5,hybrid_cnn_tabular,OCO,VER,5
long_qualifying_top5,hybrid_cnn_tabular,SAI,HAM,5
long_qualifying_top5,hybrid_cnn_tabular,SAI,LEC,2
long_qualifying_top5,hybrid_cnn_tabular,SAI,OCO,3
long_qualifying_top5,hybrid_cnn_tabular,SAI,SAI,132
long_qualifying_top5,hybrid_cnn_tabular,SAI,VER,2
long_qualifying_top5,hybrid_cnn_tabular,VER,HAM,0
long_qualifying_top5,hybrid_cnn_tabular,VER,LEC,0
long_qualifying_top5,hybrid_cnn_tabular,VER,OCO,2
long_qualifying_top5,hybrid_cnn_tabular,VER,SAI,4
long_qualifying_top5,hybrid_cnn_tabular,VER,VER,138
long_qualifying_top5,gru,HAM,HAM,51
long_qualifying_top5,gru,HAM,LEC,40
long_qualifying_top5,gru,HAM,OCO,7
long_qualifying_top5,gru,HAM,SAI,32
long_qualifying_top5,gru,HAM,VER,14
long_qualifying_top5,gru,LEC,HAM,4
long_qualifying_top5,gru,LEC,LEC,64
long_qualifying_top5,gru,LEC,OCO,16
long_qualifying_top5,gru,LEC,SAI,52
long_qualifying_top5,gru,LEC,VER,9
long_qualifying_top5,gru,OCO,HAM,3
long_qualifying_top5,gru,OCO,LEC,48
long_qualifying_top5,gru,OCO,OCO,28
long_qualifying_top5,gru,OCO,SAI,36
long_qualifying_top5,gru,OCO,VER,6
long_qualifying_top5,gru,SAI,HAM,0
long_qualifying_top5,gru,SAI,LEC,58
long_qualifying_top5,gru,SAI,OCO,16
long_qualifying_top5,gru,SAI,SAI,52
long_qualifying_top5,gru,SAI,VER,18
long_qualifying_top5,gru,VER,HAM,3
long_qualifying_top5,gru,VER,LEC,67
long_qualifying_top5,gru,VER,OCO,13
long_qualifying_top5,gru,VER,SAI,45
long_qualifying_top5,gru,VER,VER,16
long_qualifying_top5,lstm,HAM,HAM,74
long_qualifying_top5,lstm,HAM,LEC,28
long_qualifying_top5,lstm,HAM,OCO,7
long_qualifying_top5,lstm,HAM,SAI,21
long_qualifying_top5,lstm,HAM,VER,14
long_qualifying_top5,lstm,LEC,HAM,16
long_qualifying_top5,lstm,LEC,LEC,48
long_qualifying_top5,lstm,LEC,OCO,35
long_qualifying_top5,lstm,LEC,SAI,25
long_qualifying_top5,lstm,LEC,VER,21
long_qualifying_top5,lstm,OCO,HAM,6
long_qualifying_top5,lstm,OCO,LEC,39
long_qualifying_top5,lstm,OCO,OCO,37
long_qualifying_top5,lstm,OCO,SAI,19
long_qualifying_top5,lstm,OCO,VER,20
long_qualifying_top5,lstm,SAI,HAM,10
long_qualifying_top5,lstm,SAI,LEC,48
long_qualifying_top5,lstm,SAI,OCO,27
long_qualifying_top5,lstm,SAI,SAI,33
long_qualifying_top5,lstm,SAI,VER,26
long_qualifying_top5,lstm,VER,HAM,20
long_qualifying_top5,lstm,VER,LEC,39
long_qualifying_top5,lstm,VER,OCO,24
long_qualifying_top5,lstm,VER,SAI,25
long_qualifying_top5,lstm,VER,VER,36
