setup,model,fold,epochs_trained,best_val_loss,train_accuracy,test_accuracy,train_balanced_accuracy,test_balanced_accuracy,train_macro_f1,test_macro_f1
long_qualifying_top5,cnn,1,43,0.6938430666923523,0.8446428571428571,0.8043478260869565,0.8393687196171667,0.8020132790747482,0.8400906650437457,0.8007115593272882
long_qualifying_top5,cnn,2,66,0.4967577457427978,0.9069767441860463,0.8705035971223022,0.9055065324480616,0.8632683658170915,0.9061890800416336,0.8643427680832707
long_qualifying_top5,cnn,3,45,0.3379692435264587,0.9115523465703972,0.8680555555555556,0.9081599905534355,0.8651286261631089,0.908970552931265,0.8658808040109083
long_qualifying_top5,cnn,4,74,0.1844588816165924,0.9480286738351256,0.8571428571428571,0.9455397301349324,0.8543448275862069,0.9465952802305606,0.8530639730639731
long_qualifying_top5,cnn,5,64,0.5906662940979004,0.8894830659536542,0.8394160583941606,0.8875849830186947,0.8345255943456842,0.8877346438557326,0.8364482635159327
long_qualifying_top5,hybrid_cnn_tabular,1,73,0.3400978446006775,0.9660714285714286,0.9347826086956522,0.9648744492222754,0.932287427714714,0.9655786893776568,0.9348358578748804
long_qualifying_top5,hybrid_cnn_tabular,2,80,0.4389227330684662,0.962432915921288,0.8848920863309353,0.9625881956980692,0.8806596701649175,0.962226889639848,0.882239119405997
long_qualifying_top5,hybrid_cnn_tabular,3,80,0.2372213751077652,0.9765342960288808,0.9444444444444444,0.9762401833797548,0.944019339536581,0.9762622096571472,0.9438405335372332
long_qualifying_top5,hybrid_cnn_tabular,4,80,0.1656941026449203,0.9802867383512543,0.9071428571428573,0.9798669415292354,0.9081379310344828,0.9800303700698916,0.906689868502362
long_qualifying_top5,hybrid_cnn_tabular,5,70,0.3754288852214813,0.9500891265597148,0.8613138686131386,0.9487840773490804,0.8562004711929749,0.949781706969496,0.8595274423798607
long_qualifying_top5,gru,1,62,1.4678523540496826,0.36964285714285716,0.3695652173913043,0.3720728960480513,0.3766866566716641,0.3531479994482279,0.3467730376817774
long_qualifying_top5,gru,2,48,1.5048798322677612,0.27549194991055453,0.33093525179856115,0.2713432059480464,0.32623688155922037,0.24864831151016772,0.3157923246682526
long_qualifying_top5,gru,3,33,1.5308181047439575,0.29422382671480146,0.2569444444444444,0.28393205972601604,0.2532840722495895,0.2687310622744594,0.22566564496010327
long_qualifying_top5,gru,4,54,1.501686453819275,0.35125448028673834,0.3,0.35667041479260375,0.30338916256157633,0.3275500949534314,0.265322905764955
long_qualifying_top5,gru,5,50,1.542708158493042,0.3083778966131907,0.25547445255474455,0.29992687329804485,0.24532019704433497,0.258084965539511,0.22710079593462512
long_qualifying_top5,lstm,1,20,1.5307937860488892,0.29464285714285715,0.2971014492753623,0.28804981078273,0.2928357249946455,0.2558720775118488,0.26438969738969736
long_qualifying_top5,lstm,2,51,1.5088118314743042,0.37209302325581395,0.381294964028777,0.37257167334700003,0.3799100449775113,0.3754165301101798,0.38354978354978353
long_qualifying_top5,lstm,3,31,1.5193017721176147,0.3140794223826715,0.3055555555555556,0.316157727407293,0.30224594052180265,0.31619455450451084,0.2857268303313958
long_qualifying_top5,lstm,4,27,1.4868377447128296,0.36200716845878134,0.32857142857142857,0.3690817091454274,0.33576354679802956,0.3222139650011359,0.2745717234262126
long_qualifying_top5,lstm,5,28,1.5364445447921753,0.33689839572192515,0.32116788321167883,0.33825199645075427,0.31630970229171124,0.31330598208776894,0.2905106817301939
