Date,Status,X,Y,Z,Source,Time,SessionTime
2023-03-04 16:07:25.858,OnTrack,-376.0,1366.0,-159.0,pos,0 days 00:00:00.097000,0 days 01:22:24.861000
2023-03-04 16:07:26.058,OnTrack,-363.0,1645.0,-159.0,pos,0 days 00:00:00.297000,0 days 01:22:25.061000
2023-03-04 16:07:26.558,OnTrack,-350.0,1943.0,-159.0,pos,0 days 00:00:00.797000,0 days 01:22:25.561000
2023-03-04 16:07:26.698,OnTrack,-345.0,2060.0,-159.0,pos,0 days 00:00:00.937000,0 days 01:22:25.701000
2023-03-04 16:07:26.938,OnTrack,-337.0,2261.0,-159.0,pos,0 days 00:00:01.177000,0 days 01:22:25.941000
2023-03-04 16:07:27.178,OnTrack,-326.0,2532.0,-159.0,pos,0 days 00:00:01.417000,0 days 01:22:26.181000
2023-03-04 16:07:27.498,OnTrack,-317.0,2736.0,-159.0,pos,0 days 00:00:01.737000,0 days 01:22:26.501000
2023-03-04 16:07:27.738,OnTrack,-301.0,3063.0,-159.0,pos,0 days 00:00:01.977000,0 days 01:22:26.741000
2023-03-04 16:07:28.198,OnTrack,-289.0,3340.0,-158.0,pos,0 days 00:00:02.437000,0 days 01:22:27.201000
2023-03-04 16:07:28.398,OnTrack,-282.0,3513.0,-159.0,pos,0 days 00:00:02.637000,0 days 01:22:27.401000
2023-03-04 16:07:28.638,OnTrack,-274.0,3721.0,-158.0,pos,0 days 00:00:02.877000,0 days 01:22:27.641000
2023-03-04 16:07:28.798,OnTrack,-268.0,3861.0,-158.0,pos,0 days 00:00:03.037000,0 days 01:22:27.801000
2023-03-04 16:07:29.078,OnTrack,-260.0,4106.0,-159.0,pos,0 days 00:00:03.317000,0 days 01:22:28.081000
2023-03-04 16:07:29.298,OnTrack,-253.0,4299.0,-158.0,pos,0 days 00:00:03.537000,0 days 01:22:28.301000
2023-03-04 16:07:30.439,OnTrack,-217.0,5332.0,-154.0,pos,0 days 00:00:04.678000,0 days 01:22:29.442000
2023-03-04 16:07:30.599,OnTrack,-212.0,5474.0,-152.0,pos,0 days 00:00:04.838000,0 days 01:22:29.602000
