season,round,event_name,session_name,session_date,country,location,official_event_name,n_results_rows,n_laps_rows,n_unique_drivers_in_laps,lap_columns_count,results_columns_count,has_compound,has_tyre_life,has_track_status,has_is_personal_best,has_lap_time,has_sector1,has_sector2,has_sector3,n_weather_rows,weather_columns_count,max_rainfall,load_error_type,load_error_msg
2023,1,Bahrain Grand Prix,Qualifying,2023-03-04 15:00:00,Bahrain,Sakhir,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,20.0,254.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,95.0,8.0,False,,
2023,2,Saudi Arabian Grand Prix,Qualifying,2023-03-18 17:00:00,Saudi Arabia,Jeddah,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,20.0,329.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,80.0,8.0,False,,
2023,3,Australian Grand Prix,Qualifying,2023-04-01 06:00:00,Australia,Melbourne,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,20.0,419.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,95.0,8.0,True,,
2023,4,Azerbaijan Grand Prix,Qualifying,2023-04-28 13:00:00,Azerbaijan,Baku,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,20.0,356.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,106.0,8.0,False,,
2023,5,Miami Grand Prix,Qualifying,2023-05-06 20:00:00,United States,Miami,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,20.0,304.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,87.0,8.0,False,,
2023,6,Monaco Grand Prix,Qualifying,2023-05-27 14:00:00,Monaco,Monaco,FORMULA 1 GRAND PRIX DE MONACO 2023,20.0,420.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,86.0,8.0,False,,
2023,7,Spanish Grand Prix,Qualifying,2023-06-03 14:00:00,Spain,Barcelona,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,20.0,337.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,88.0,8.0,True,,
2023,8,Canadian Grand Prix,Qualifying,2023-06-17 20:00:00,Canada,Montréal,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,20.0,421.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,89.0,8.0,True,,
2023,9,Austrian Grand Prix,Qualifying,2023-06-30 15:00:00,Austria,Spielberg,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,20.0,377.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,85.0,8.0,False,,
2023,10,British Grand Prix,Qualifying,2023-07-08 14:00:00,Great Britain,Silverstone,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,20.0,386.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,94.0,8.0,True,,
