round,event_name,n_laps,n_drivers
2,Chinese Grand Prix,251,5
3,Japanese Grand Prix,249,5
4,Bahrain Grand Prix,230,5
5,Saudi Arabian Grand Prix,225,5
7,Emilia Romagna Grand Prix,220,5
8,Monaco Grand Prix,289,5
9,Spanish Grand Prix,271,5
11,Austrian Grand Prix,184,3
14,Hungarian Grand Prix,319,5
15,Dutch Grand Prix,220,5
16,Italian Grand Prix,243,5
17,Azerbaijan Grand Prix,204,5
19,United States Grand Prix,194,5
20,Mexico City Grand Prix,307,5
21,São Paulo Grand Prix,198,4
22,Las Vegas Grand Prix,211,5
23,Qatar Grand Prix,249,5
24,Abu Dhabi Grand Prix,270,5
