season,round,event_name,session_name,Driver,Team,LapNumber,Stint,LapTimeSeconds,Compound,TyreLife,TrackStatus,lap_time_not_null,dry_session,accurate,not_deleted,not_fastf1_generated,track_status_green,not_pit_in_out,lap_delta_to_stint_median,within_2s_of_stint_median,within_3s_of_stint_median,session_key,lap_key
2025,2,Chinese Grand Prix,R,HAM,Ferrari,2.0,1.0,98.172,MEDIUM,2.0,1,True,True,True,True,True,True,True,-0.3880000000000052,True,True,2025_2_R,2025_r02_R_HAM_lap2
2025,2,Chinese Grand Prix,R,HAM,Ferrari,4.0,1.0,98.087,MEDIUM,4.0,1,True,True,True,True,True,True,True,-0.472999999999999,True,True,2025_2_R,2025_r02_R_HAM_lap4
2025,2,Chinese Grand Prix,R,HAM,Ferrari,5.0,1.0,97.802,MEDIUM,5.0,1,True,True,True,True,True,True,True,-0.7579999999999956,True,True,2025_2_R,2025_r02_R_HAM_lap5
2025,2,Chinese Grand Prix,R,HAM,Ferrari,7.0,1.0,98.866,MEDIUM,7.0,1,True,True,True,True,True,True,True,0.3059999999999974,True,True,2025_2_R,2025_r02_R_HAM_lap7
2025,2,Chinese Grand Prix,R,HAM,Ferrari,8.0,1.0,98.652,MEDIUM,8.0,1,True,True,True,True,True,True,True,0.0919999999999987,True,True,2025_2_R,2025_r02_R_HAM_lap8
2025,2,Chinese Grand Prix,R,HAM,Ferrari,9.0,1.0,98.56,MEDIUM,9.0,1,True,True,True,True,True,True,True,0.0,True,True,2025_2_R,2025_r02_R_HAM_lap9
2025,2,Chinese Grand Prix,R,HAM,Ferrari,10.0,1.0,98.566,MEDIUM,10.0,1,True,True,True,True,True,True,True,0.0060000000000002,True,True,2025_2_R,2025_r02_R_HAM_lap10
2025,2,Chinese Grand Prix,R,HAM,Ferrari,11.0,1.0,98.505,MEDIUM,11.0,1,True,True,True,True,True,True,True,-0.0550000000000068,True,True,2025_2_R,2025_r02_R_HAM_lap11
2025,2,Chinese Grand Prix,R,HAM,Ferrari,12.0,1.0,98.73,MEDIUM,12.0,1,True,True,True,True,True,True,True,0.1700000000000017,True,True,2025_2_R,2025_r02_R_HAM_lap12
2025,2,Chinese Grand Prix,R,HAM,Ferrari,15.0,2.0,97.695,HARD,2.0,1,True,True,True,True,True,True,True,0.242999999999995,True,True,2025_2_R,2025_r02_R_HAM_lap15
2025,2,Chinese Grand Prix,R,HAM,Ferrari,16.0,2.0,97.942,HARD,3.0,1,True,True,True,True,True,True,True,0.4899999999999949,True,True,2025_2_R,2025_r02_R_HAM_lap16
2025,2,Chinese Grand Prix,R,HAM,Ferrari,17.0,2.0,97.531,HARD,4.0,1,True,True,True,True,True,True,True,0.0790000000000077,True,True,2025_2_R,2025_r02_R_HAM_lap17
2025,2,Chinese Grand Prix,R,HAM,Ferrari,18.0,2.0,97.834,HARD,5.0,1,True,True,True,True,True,True,True,0.382000000000005,True,True,2025_2_R,2025_r02_R_HAM_lap18
2025,2,Chinese Grand Prix,R,HAM,Ferrari,19.0,2.0,97.075,HARD,6.0,1,True,True,True,True,True,True,True,-0.3769999999999953,True,True,2025_2_R,2025_r02_R_HAM_lap19
2025,2,Chinese Grand Prix,R,HAM,Ferrari,20.0,2.0,97.469,HARD,7.0,1,True,True,True,True,True,True,True,0.0169999999999959,True,True,2025_2_R,2025_r02_R_HAM_lap20
2025,2,Chinese Grand Prix,R,HAM,Ferrari,21.0,2.0,99.319,HARD,8.0,1,True,True,True,True,True,True,True,1.8670000000000044,True,True,2025_2_R,2025_r02_R_HAM_lap21
2025,2,Chinese Grand Prix,R,HAM,Ferrari,22.0,2.0,97.457,HARD,9.0,1,True,True,True,True,True,True,True,0.0049999999999954,True,True,2025_2_R,2025_r02_R_HAM_lap22
2025,2,Chinese Grand Prix,R,HAM,Ferrari,23.0,2.0,97.3,HARD,10.0,1,True,True,True,True,True,True,True,-0.152000000000001,True,True,2025_2_R,2025_r02_R_HAM_lap23
2025,2,Chinese Grand Prix,R,HAM,Ferrari,24.0,2.0,97.197,HARD,11.0,1,True,True,True,True,True,True,True,-0.2549999999999954,True,True,2025_2_R,2025_r02_R_HAM_lap24
2025,2,Chinese Grand Prix,R,HAM,Ferrari,25.0,2.0,97.504,HARD,12.0,1,True,True,True,True,True,True,True,0.0520000000000067,True,True,2025_2_R,2025_r02_R_HAM_lap25
2025,2,Chinese Grand Prix,R,HAM,Ferrari,26.0,2.0,97.555,HARD,13.0,1,True,True,True,True,True,True,True,0.1030000000000086,True,True,2025_2_R,2025_r02_R_HAM_lap26
2025,2,Chinese Grand Prix,R,HAM,Ferrari,27.0,2.0,97.41,HARD,14.0,1,True,True,True,True,True,True,True,-0.0420000000000015,True,True,2025_2_R,2025_r02_R_HAM_lap27
2025,2,Chinese Grand Prix,R,HAM,Ferrari,28.0,2.0,96.989,HARD,15.0,1,True,True,True,True,True,True,True,-0.4629999999999938,True,True,2025_2_R,2025_r02_R_HAM_lap28
2025,2,Chinese Grand Prix,R,HAM,Ferrari,29.0,2.0,97.23,HARD,16.0,1,True,True,True,True,True,True,True,-0.2219999999999942,True,True,2025_2_R,2025_r02_R_HAM_lap29
2025,2,Chinese Grand Prix,R,HAM,Ferrari,30.0,2.0,97.447,HARD,17.0,1,True,True,True,True,True,True,True,-0.0049999999999954,True,True,2025_2_R,2025_r02_R_HAM_lap30
2025,2,Chinese Grand Prix,R,HAM,Ferrari,31.0,2.0,97.482,HARD,18.0,1,True,True,True,True,True,True,True,0.0300000000000011,True,True,2025_2_R,2025_r02_R_HAM_lap31
2025,2,Chinese Grand Prix,R,HAM,Ferrari,32.0,2.0,97.038,HARD,19.0,1,True,True,True,True,True,True,True,-0.4140000000000015,True,True,2025_2_R,2025_r02_R_HAM_lap32
2025,2,Chinese Grand Prix,R,HAM,Ferrari,33.0,2.0,97.572,HARD,20.0,1,True,True,True,True,True,True,True,0.1200000000000045,True,True,2025_2_R,2025_r02_R_HAM_lap33
2025,2,Chinese Grand Prix,R,HAM,Ferrari,34.0,2.0,97.29,HARD,21.0,1,True,True,True,True,True,True,True,-0.1619999999999919,True,True,2025_2_R,2025_r02_R_HAM_lap34
2025,2,Chinese Grand Prix,R,HAM,Ferrari,35.0,2.0,96.957,HARD,22.0,1,True,True,True,True,True,True,True,-0.4950000000000045,True,True,2025_2_R,2025_r02_R_HAM_lap35
2025,2,Chinese Grand Prix,R,HAM,Ferrari,36.0,2.0,97.346,HARD,23.0,1,True,True,True,True,True,True,True,-0.1059999999999945,True,True,2025_2_R,2025_r02_R_HAM_lap36
2025,2,Chinese Grand Prix,R,HAM,Ferrari,39.0,3.0,95.839,HARD,2.0,1,True,True,True,True,True,True,True,0.3754999999999882,True,True,2025_2_R,2025_r02_R_HAM_lap39
2025,2,Chinese Grand Prix,R,HAM,Ferrari,40.0,3.0,95.487,HARD,3.0,1,True,True,True,True,True,True,True,0.0234999999999843,True,True,2025_2_R,2025_r02_R_HAM_lap40
2025,2,Chinese Grand Prix,R,HAM,Ferrari,41.0,3.0,95.069,HARD,4.0,1,True,True,True,True,True,True,True,-0.3945000000000078,True,True,2025_2_R,2025_r02_R_HAM_lap41
2025,2,Chinese Grand Prix,R,HAM,Ferrari,42.0,3.0,95.569,HARD,5.0,1,True,True,True,True,True,True,True,0.1054999999999921,True,True,2025_2_R,2025_r02_R_HAM_lap42
2025,2,Chinese Grand Prix,R,HAM,Ferrari,43.0,3.0,95.526,HARD,6.0,1,True,True,True,True,True,True,True,0.0624999999999857,True,True,2025_2_R,2025_r02_R_HAM_lap43
2025,2,Chinese Grand Prix,R,HAM,Ferrari,44.0,3.0,95.862,HARD,7.0,1,True,True,True,True,True,True,True,0.3984999999999843,True,True,2025_2_R,2025_r02_R_HAM_lap44
2025,2,Chinese Grand Prix,R,HAM,Ferrari,45.0,3.0,95.349,HARD,8.0,1,True,True,True,True,True,True,True,-0.1145000000000067,True,True,2025_2_R,2025_r02_R_HAM_lap45
2025,2,Chinese Grand Prix,R,HAM,Ferrari,46.0,3.0,95.533,HARD,9.0,1,True,True,True,True,True,True,True,0.0694999999999907,True,True,2025_2_R,2025_r02_R_HAM_lap46
2025,2,Chinese Grand Prix,R,HAM,Ferrari,47.0,3.0,95.77,HARD,10.0,1,True,True,True,True,True,True,True,0.3064999999999855,True,True,2025_2_R,2025_r02_R_HAM_lap47
2025,2,Chinese Grand Prix,R,HAM,Ferrari,48.0,3.0,95.26,HARD,11.0,1,True,True,True,True,True,True,True,-0.2035000000000053,True,True,2025_2_R,2025_r02_R_HAM_lap48
2025,2,Chinese Grand Prix,R,HAM,Ferrari,49.0,3.0,95.077,HARD,12.0,1,True,True,True,True,True,True,True,-0.3865000000000123,True,True,2025_2_R,2025_r02_R_HAM_lap49
2025,2,Chinese Grand Prix,R,HAM,Ferrari,50.0,3.0,95.244,HARD,13.0,1,True,True,True,True,True,True,True,-0.2195000000000107,True,True,2025_2_R,2025_r02_R_HAM_lap50
2025,2,Chinese Grand Prix,R,HAM,Ferrari,51.0,3.0,95.465,HARD,14.0,1,True,True,True,True,True,True,True,0.0014999999999929,True,True,2025_2_R,2025_r02_R_HAM_lap51
2025,2,Chinese Grand Prix,R,HAM,Ferrari,52.0,3.0,95.211,HARD,15.0,1,True,True,True,True,True,True,True,-0.2525000000000119,True,True,2025_2_R,2025_r02_R_HAM_lap52
2025,2,Chinese Grand Prix,R,HAM,Ferrari,53.0,3.0,95.462,HARD,16.0,1,True,True,True,True,True,True,True,-0.0015000000000071,True,True,2025_2_R,2025_r02_R_HAM_lap53
2025,2,Chinese Grand Prix,R,HAM,Ferrari,54.0,3.0,95.257,HARD,17.0,1,True,True,True,True,True,True,True,-0.2065000000000054,True,True,2025_2_R,2025_r02_R_HAM_lap54
2025,2,Chinese Grand Prix,R,HAM,Ferrari,55.0,3.0,95.232,HARD,18.0,1,True,True,True,True,True,True,True,-0.2315000000000111,True,True,2025_2_R,2025_r02_R_HAM_lap55
2025,2,Chinese Grand Prix,R,HAM,Ferrari,56.0,3.0,95.681,HARD,19.0,1,True,True,True,True,True,True,True,0.2174999999999869,True,True,2025_2_R,2025_r02_R_HAM_lap56
2025,2,Chinese Grand Prix,R,LEC,Ferrari,2.0,1.0,98.184,MEDIUM,2.0,1,True,True,True,True,True,True,True,-0.2740000000000009,True,True,2025_2_R,2025_r02_R_LEC_lap2
2025,2,Chinese Grand Prix,R,LEC,Ferrari,4.0,1.0,97.648,MEDIUM,4.0,1,True,True,True,True,True,True,True,-0.8100000000000023,True,True,2025_2_R,2025_r02_R_LEC_lap4
2025,2,Chinese Grand Prix,R,LEC,Ferrari,5.0,1.0,98.253,MEDIUM,5.0,1,True,True,True,True,True,True,True,-0.2049999999999983,True,True,2025_2_R,2025_r02_R_LEC_lap5
2025,2,Chinese Grand Prix,R,LEC,Ferrari,7.0,1.0,98.458,MEDIUM,7.0,1,True,True,True,True,True,True,True,0.0,True,True,2025_2_R,2025_r02_R_LEC_lap7
2025,2,Chinese Grand Prix,R,LEC,Ferrari,8.0,1.0,98.478,MEDIUM,8.0,1,True,True,True,True,True,True,True,0.019999999999996,True,True,2025_2_R,2025_r02_R_LEC_lap8
2025,2,Chinese Grand Prix,R,LEC,Ferrari,9.0,1.0,98.592,MEDIUM,9.0,1,True,True,True,True,True,True,True,0.1340000000000003,True,True,2025_2_R,2025_r02_R_LEC_lap9
2025,2,Chinese Grand Prix,R,LEC,Ferrari,10.0,1.0,98.561,MEDIUM,10.0,1,True,True,True,True,True,True,True,0.1030000000000086,True,True,2025_2_R,2025_r02_R_LEC_lap10
