feature,count,unique,top,freq,mean,std,min,25%,50%,75%,max
n_samples,4334.0,,,,322.1386709736964,35.78140824228117,245.0,296.0,313.0,355.0,413.0
speed_mean,4334.0,,,,206.19331299304386,21.724593979837007,141.33,195.0680159333729,204.25343449280953,221.62766435541857,258.6622950819672
speed_std,4334.0,,,,68.51454498876032,8.247735903660715,49.33372737965367,62.60308483535735,67.32817345708868,74.49369939974385,89.14358537574164
speed_min,4334.0,,,,72.90170742962621,14.379384679246712,37.0,62.0,71.0,87.0,102.0
speed_max,4334.0,,,,316.3652514997693,16.131246882403246,267.0,308.0,314.0,328.0,365.0
speed_q10,4334.0,,,,110.90251499769266,19.75640765267526,63.0,96.0,110.4,124.5,164.1
speed_q50,4334.0,,,,210.72508075680665,27.926728929817983,126.0,195.5,210.0,230.0,278.5
speed_q90,4334.0,,,,295.1319335486848,18.71196174130086,233.0,286.0,296.0,306.2,338.90000000000003
speed_range,4334.0,,,,243.46354407014306,19.713279072475753,192.0,232.0,242.0,258.0,301.0
throttle_mean,4334.0,,,,65.26157596180578,7.516295912016799,38.76,61.240684371807966,65.5033334451939,70.84661249920393,83.07894736842105
throttle_std,4334.0,,,,41.126293232996616,2.0610172379275697,33.56546754373554,39.794232243029896,41.501008175463575,42.66538980954035,45.388346279876494
throttle_min,4334.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
throttle_max,4334.0,,,,100.01430549146285,0.32480108401819024,99.0,100.0,100.0,100.0,104.0
throttle_zero_frac,4334.0,,,,0.1837748527009693,0.0626615211833351,0.011299435028248588,0.13805027890848787,0.18156022088773688,0.2287311618862421,0.3916083916083916
throttle_full_frac,4334.0,,,,0.48779637723648683,0.11191626078465756,0.1018867924528302,0.4280760429501848,0.4904632152588556,0.5664109460643478,0.75
throttle_mid_frac,4334.0,,,,0.3284287700625439,0.09760370386900734,0.10702341137123746,0.26413043478260867,0.3219856101212033,0.3786327683615819,0.7707509881422925
brake_mean,4334.0,,,,0.2166195034147517,0.04786249832828081,0.11148648648648649,0.18285714285714286,0.21346671923253827,0.2463768115942029,0.4041095890410959
brake_std,4334.0,,,,0.40852667858274916,0.032265452002254884,0.3152666127342087,0.3871112102386989,0.4104128343602145,0.43167603482413613,0.4915613265678557
brake_min,4334.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brake_max,4334.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
brake_active_frac,4334.0,,,,0.2166195034147517,0.04786249832828081,0.11148648648648649,0.18285714285714286,0.21346671923253827,0.2463768115942029,0.4041095890410959
brake_on_count,4334.0,,,,9.766266728195662,2.2974226820164314,5.0,8.0,10.0,11.0,22.0
first_brake_frac_pos,4334.0,,,,0.06604383749769277,0.0374379913007568,0.0,0.03676470588235294,0.06475682574410865,0.0891089108910891,0.21447721179624665
last_brake_frac_pos,4334.0,,,,0.9050311530028732,0.048819438557796246,0.722972972972973,0.8935574229691877,0.9163346613545816,0.9348534201954397,1.0
rpm_mean,4334.0,,,,10120.491318929156,372.5361206116731,8825.228373702423,9912.074013476287,10140.7785738448,10387.845945576371,10863.993769470406
rpm_std,4334.0,,,,1451.4937758555616,266.62621979751555,811.0823540455735,1254.3105854464852,1433.9160787034775,1665.222807018484,2237.481008833295
rpm_min,4334.0,,,,5789.255652976465,741.8359527752924,3512.0,5189.0,5818.0,6412.0,7581.0
rpm_max,4334.0,,,,12081.924319335487,182.66629567977094,11664.0,11952.0,12043.0,12169.75,13041.0
