experiment,model,fold,n_train,n_test,train_accuracy,test_accuracy,train_balanced_accuracy,test_balanced_accuracy,train_macro_f1,test_macro_f1
full_race_context,logistic_regression,1,3466,868,0.9812463935372187,0.9009216589861752,0.9809768822471534,0.912613118450234,0.9809936127425702,0.9068118670522429
full_race_context,logistic_regression,2,3359,975,0.9824352485858887,0.8317948717948718,0.9828287206294121,0.8332258280361324,0.9827587463890268,0.8325003943751537
full_race_context,logistic_regression,3,3284,1050,0.9823386114494519,0.6657142857142857,0.9827853388049228,0.6654626710423556,0.9827532497866158,0.6532831972629659
full_race_context,logistic_regression,4,3614,720,0.9798007747648035,0.8944444444444445,0.9804010340054381,0.8928509154315606,0.9803613103824871,0.8937135343141724
full_race_context,logistic_regression,5,3613,721,0.9839468585662884,0.8377253814147018,0.984368933011266,0.8279556572009403,0.9843727096634662,0.8253316138454119
full_race_context,random_forest,1,3466,868,1.0,0.8352534562211982,1.0,0.8445610018813576,1.0,0.8360072657715897
full_race_context,random_forest,2,3359,975,1.0,0.6358974358974359,1.0,0.6304583472733356,1.0,0.6151855598833433
full_race_context,random_forest,3,3284,1050,1.0,0.4685714285714286,1.0,0.47302976192198515,1.0,0.45567684138347053
full_race_context,random_forest,4,3614,720,1.0,0.6666666666666666,1.0,0.6710388656908182,1.0,0.6334024457272911
full_race_context,random_forest,5,3613,721,1.0,0.5783633841886269,1.0,0.559718278169536,1.0,0.571384345640239
full_race_context,hist_gradient_boosting,1,3466,868,1.0,0.869815668202765,1.0,0.874633249098706,1.0,0.8684897372845042
full_race_context,hist_gradient_boosting,2,3359,975,1.0,0.6697435897435897,1.0,0.6672107728337237,1.0,0.6705154997253991
full_race_context,hist_gradient_boosting,3,3284,1050,1.0,0.4723809523809524,1.0,0.47767653537264654,1.0,0.4640140871991904
full_race_context,hist_gradient_boosting,4,3614,720,1.0,0.7194444444444444,1.0,0.7244470701601431,1.0,0.696001164298378
full_race_context,hist_gradient_boosting,5,3613,721,1.0,0.6504854368932039,1.0,0.6289032687991021,1.0,0.6420624758256059
full_race_context,xgboost,1,3466,868,1.0,0.8732718894009217,1.0,0.8780702028209895,1.0,0.8728312831606537
full_race_context,xgboost,2,3359,975,1.0,0.6574358974358975,1.0,0.6543838519014162,1.0,0.6535502350837719
full_race_context,xgboost,3,3284,1050,1.0,0.44857142857142857,1.0,0.4540391619910643,1.0,0.4396568657225581
full_race_context,xgboost,4,3614,720,1.0,0.7138888888888889,1.0,0.7203138622493461,1.0,0.6880900343482839
