round,event_name,n_clean_race_laps,n_drivers
2,Chinese Grand Prix,934,19
3,Japanese Grand Prix,987,20
4,Bahrain Grand Prix,945,20
5,Saudi Arabian Grand Prix,791,18
7,Emilia Romagna Grand Prix,933,20
8,Monaco Grand Prix,1021,20
9,Spanish Grand Prix,979,19
11,Austrian Grand Prix,985,17
14,Hungarian Grand Prix,1269,20
15,Dutch Grand Prix,992,20
16,Italian Grand Prix,886,19
17,Azerbaijan Grand Prix,764,19
19,United States Grand Prix,919,20
20,Mexico City Grand Prix,1092,20
21,São Paulo Grand Prix,1024,18
22,Las Vegas Grand Prix,749,18
23,Qatar Grand Prix,918,20
24,Abu Dhabi Grand Prix,1077,20
