season,round,event_name,status,n_laps_rows,updated_at,error_type,error_message
2025,1,Australian Grand Prix,ok,927,2026-03-31T14:02:27,,
2025,2,Chinese Grand Prix,ok,1065,2026-03-31T14:02:31,,
2025,3,Japanese Grand Prix,ok,1059,2026-03-31T14:02:36,,
2025,4,Bahrain Grand Prix,ok,1128,2026-03-31T14:02:41,,
2025,5,Saudi Arabian Grand Prix,ok,898,2026-03-31T14:02:46,,
2025,6,Miami Grand Prix,ok,1005,2026-03-31T14:02:50,,
2025,7,Emilia Romagna Grand Prix,ok,1207,2026-03-31T14:02:55,,
2025,8,Monaco Grand Prix,ok,1425,2026-03-31T14:03:00,,
2025,9,Spanish Grand Prix,ok,1203,2026-03-31T14:03:05,,
2025,10,Canadian Grand Prix,ok,1349,2026-03-31T14:03:10,,
2025,11,Austrian Grand Prix,ok,1127,2026-03-31T14:03:15,,
2025,12,British Grand Prix,ok,826,2026-03-31T14:03:19,,
2025,13,Belgian Grand Prix,ok,879,2026-03-31T14:03:24,,
2025,14,Hungarian Grand Prix,ok,1368,2026-03-31T14:03:29,,
2025,15,Dutch Grand Prix,ok,1364,2026-03-31T14:03:34,,
2025,16,Italian Grand Prix,ok,975,2026-03-31T14:03:39,,
2025,17,Azerbaijan Grand Prix,ok,968,2026-03-31T14:03:43,,
2025,18,Singapore Grand Prix,ok,1229,2026-03-31T14:03:48,,
2025,19,United States Grand Prix,ok,1067,2026-03-31T14:03:53,,
2025,20,Mexico City Grand Prix,ok,1263,2026-03-31T14:03:58,,
2025,21,São Paulo Grand Prix,ok,1251,2026-03-31T14:04:03,,
2025,22,Las Vegas Grand Prix,ok,886,2026-03-31T14:04:07,,
2025,23,Qatar Grand Prix,ok,1067,2026-03-31T14:04:12,,
2025,24,Abu Dhabi Grand Prix,ok,1156,2026-03-31T14:04:17,,
