model,fold,train_accuracy,test_accuracy,train_balanced_accuracy,test_balanced_accuracy,train_macro_f1,test_macro_f1
cnn,1,0.8854587420657819,0.815668202764977,0.8838339526833412,0.8456995771017468,0.8834783347758387,0.8344784446295982
cnn,2,0.8707948794284013,0.8194871794871795,0.8703646752956485,0.8213348946135831,0.8706277330580534,0.8190470949688982
cnn,3,0.9777710109622412,0.7923809523809524,0.9781655730397285,0.7954078543624614,0.9780582983291669,0.7918437420698867
cnn,4,0.981737686773658,0.9,0.9821661439702215,0.8990409764603313,0.9820957079543572,0.898581366761325
cnn,5,0.9703847218378079,0.9542302357836339,0.9710693981931223,0.9537596483704973,0.9713367366377066,0.9507093946295928
hybrid_cnn_tabular,1,0.9751875360646278,0.9285714285714286,0.974638887096637,0.9387050886649668,0.9747443230029896,0.9310841966654253
hybrid_cnn_tabular,2,0.9648704971717773,0.9456410256410256,0.9642270748988307,0.9451646035463366,0.9647939658360347,0.9459662137075554
hybrid_cnn_tabular,3,0.9470158343483557,0.6704761904761904,0.9472045023032223,0.669246841670929,0.9482332461520688,0.6637565300399737
hybrid_cnn_tabular,4,0.9717764250138351,0.8472222222222222,0.9721646014408074,0.8511253613545634,0.9719059646629677,0.8476524172065412
hybrid_cnn_tabular,5,0.9786880708552449,0.9306518723994452,0.9792842998749878,0.9203870068610633,0.979435964180472,0.9242976701686526
gru,1,0.5683785343335257,0.4447004608294931,0.5635332943616612,0.5215474381372119,0.5382726334437592,0.43847328893125875
gru,2,0.4611491515331944,0.39794871794871794,0.4539568254217766,0.39347998215679714,0.40112654701537204,0.3304984449911526
gru,3,0.8206455542021924,0.6428571428571429,0.8214548976320284,0.6428787123138793,0.8083236172043,0.6481709077749365
gru,4,0.8254012174875485,0.6944444444444444,0.8269823127091133,0.699693708989125,0.8256189058689415,0.657742715663341
gru,5,0.7533905341821201,0.7295423023578363,0.7588765405405,0.6898916907545052,0.7580782877350554,0.6858998102077285
lstm,1,0.3465089440276976,0.3951612903225806,0.342766508968397,0.4042081646679546,0.3031692448127652,0.3421692736841041
lstm,2,0.3453408752604942,0.31384615384615383,0.3359771243521205,0.31134693877551023,0.25002523974819424,0.23052947172598914
lstm,3,0.4661997563946407,0.33714285714285713,0.46269946724180794,0.33869599689132424,0.4267802170373269,0.3087177723057756
lstm,4,0.3389596015495296,0.36944444444444446,0.3245650532990146,0.3845007571238471,0.24480149794245537,0.21720489659842684
lstm,5,0.3952394132300028,0.43273231622746183,0.39678424359850645,0.4123485642589417,0.33246245712649874,0.3888580509636192
