model,fold,epochs_trained,best_val_loss
cnn,1,16,0.24842706322669983
cnn,2,16,0.7041881680488586
cnn,3,26,0.1385781466960907
cnn,4,33,0.15298596024513245
cnn,5,27,0.38442477583885193
hybrid_cnn_tabular,1,33,0.3129289150238037
hybrid_cnn_tabular,2,38,0.5889701247215271
hybrid_cnn_tabular,3,15,0.18732479214668274
hybrid_cnn_tabular,4,27,0.48988744616508484
hybrid_cnn_tabular,5,34,0.3332642912864685
gru,1,23,1.0039540529251099
gru,2,27,1.1729717254638672
gru,3,31,0.5936086773872375
gru,4,52,0.45731934905052185
gru,5,30,0.8220824599266052
lstm,1,17,1.4615620374679565
lstm,2,23,1.475534439086914
lstm,3,22,1.3558220863342285
lstm,4,17,1.4815481901168823
lstm,5,15,1.3759639263153076
