setup,model,true_driver,pred_driver,count
race_2025_top5,cnn,HAM,HAM,725
race_2025_top5,cnn,HAM,LEC,72
race_2025_top5,cnn,HAM,OCO,21
race_2025_top5,cnn,HAM,SAI,6
race_2025_top5,cnn,HAM,VER,43
race_2025_top5,cnn,LEC,HAM,82
race_2025_top5,cnn,LEC,LEC,601
race_2025_top5,cnn,LEC,OCO,93
race_2025_top5,cnn,LEC,SAI,0
race_2025_top5,cnn,LEC,VER,99
race_2025_top5,cnn,OCO,HAM,52
race_2025_top5,cnn,OCO,LEC,55
race_2025_top5,cnn,OCO,OCO,784
race_2025_top5,cnn,OCO,SAI,2
race_2025_top5,cnn,OCO,VER,18
race_2025_top5,cnn,SAI,HAM,12
race_2025_top5,cnn,SAI,LEC,2
race_2025_top5,cnn,SAI,OCO,1
race_2025_top5,cnn,SAI,SAI,725
race_2025_top5,cnn,SAI,VER,59
race_2025_top5,cnn,VER,HAM,3
race_2025_top5,cnn,VER,LEC,26
race_2025_top5,cnn,VER,OCO,1
race_2025_top5,cnn,VER,SAI,4
race_2025_top5,cnn,VER,VER,848
race_2025_top5,hybrid_cnn_tabular,HAM,HAM,722
race_2025_top5,hybrid_cnn_tabular,HAM,LEC,101
race_2025_top5,hybrid_cnn_tabular,HAM,OCO,24
race_2025_top5,hybrid_cnn_tabular,HAM,SAI,10
race_2025_top5,hybrid_cnn_tabular,HAM,VER,10
race_2025_top5,hybrid_cnn_tabular,LEC,HAM,36
race_2025_top5,hybrid_cnn_tabular,LEC,LEC,724
race_2025_top5,hybrid_cnn_tabular,LEC,OCO,47
race_2025_top5,hybrid_cnn_tabular,LEC,SAI,12
race_2025_top5,hybrid_cnn_tabular,LEC,VER,56
race_2025_top5,hybrid_cnn_tabular,OCO,HAM,31
race_2025_top5,hybrid_cnn_tabular,OCO,LEC,71
race_2025_top5,hybrid_cnn_tabular,OCO,OCO,749
race_2025_top5,hybrid_cnn_tabular,OCO,SAI,22
race_2025_top5,hybrid_cnn_tabular,OCO,VER,38
race_2025_top5,hybrid_cnn_tabular,SAI,HAM,50
race_2025_top5,hybrid_cnn_tabular,SAI,LEC,1
race_2025_top5,hybrid_cnn_tabular,SAI,OCO,18
race_2025_top5,hybrid_cnn_tabular,SAI,SAI,651
race_2025_top5,hybrid_cnn_tabular,SAI,VER,79
race_2025_top5,hybrid_cnn_tabular,VER,HAM,2
race_2025_top5,hybrid_cnn_tabular,VER,LEC,8
race_2025_top5,hybrid_cnn_tabular,VER,OCO,2
race_2025_top5,hybrid_cnn_tabular,VER,SAI,20
race_2025_top5,hybrid_cnn_tabular,VER,VER,850
race_2025_top5,gru,HAM,HAM,278
race_2025_top5,gru,HAM,LEC,160
race_2025_top5,gru,HAM,OCO,345
race_2025_top5,gru,HAM,SAI,67
race_2025_top5,gru,HAM,VER,17
race_2025_top5,gru,LEC,HAM,43
race_2025_top5,gru,LEC,LEC,383
race_2025_top5,gru,LEC,OCO,411
race_2025_top5,gru,LEC,SAI,0
race_2025_top5,gru,LEC,VER,38
race_2025_top5,gru,OCO,HAM,74
race_2025_top5,gru,OCO,LEC,244
race_2025_top5,gru,OCO,OCO,579
race_2025_top5,gru,OCO,SAI,2
race_2025_top5,gru,OCO,VER,12
race_2025_top5,gru,SAI,HAM,56
race_2025_top5,gru,SAI,LEC,41
race_2025_top5,gru,SAI,OCO,143
race_2025_top5,gru,SAI,SAI,542
race_2025_top5,gru,SAI,VER,17
race_2025_top5,gru,VER,HAM,20
race_2025_top5,gru,VER,LEC,94
race_2025_top5,gru,VER,OCO,57
race_2025_top5,gru,VER,SAI,0
race_2025_top5,gru,VER,VER,711
race_2025_top5,lstm,HAM,HAM,139
race_2025_top5,lstm,HAM,LEC,64
race_2025_top5,lstm,HAM,OCO,313
race_2025_top5,lstm,HAM,SAI,108
race_2025_top5,lstm,HAM,VER,243
race_2025_top5,lstm,LEC,HAM,20
race_2025_top5,lstm,LEC,LEC,131
race_2025_top5,lstm,LEC,OCO,188
race_2025_top5,lstm,LEC,SAI,94
race_2025_top5,lstm,LEC,VER,442
race_2025_top5,lstm,OCO,HAM,81
race_2025_top5,lstm,OCO,LEC,70
race_2025_top5,lstm,OCO,OCO,424
race_2025_top5,lstm,OCO,SAI,120
race_2025_top5,lstm,OCO,VER,216
race_2025_top5,lstm,SAI,HAM,181
race_2025_top5,lstm,SAI,LEC,32
race_2025_top5,lstm,SAI,OCO,155
race_2025_top5,lstm,SAI,SAI,162
race_2025_top5,lstm,SAI,VER,269
race_2025_top5,lstm,VER,HAM,23
race_2025_top5,lstm,VER,LEC,82
race_2025_top5,lstm,VER,OCO,81
race_2025_top5,lstm,VER,SAI,11
race_2025_top5,lstm,VER,VER,685
