setup,model,driver,precision,recall,f1_score,support
race_2025_top5,cnn,HAM,0.8295194508009154,0.8362168396770473,0.832854681217691,867.0
race_2025_top5,cnn,LEC,0.794973544973545,0.6868571428571428,0.7369711833231146,875.0
race_2025_top5,cnn,OCO,0.8711111111111111,0.8605927552140505,0.8658199889563777,911.0
race_2025_top5,cnn,SAI,0.9837177747625508,0.9073842302878599,0.9440104166666666,799.0
race_2025_top5,cnn,VER,0.7947516401124649,0.9614512471655329,0.8701898409440739,882.0
race_2025_top5,hybrid_cnn_tabular,HAM,0.8585017835909632,0.8327566320645905,0.8454332552693209,867.0
race_2025_top5,hybrid_cnn_tabular,LEC,0.8,0.8274285714285714,0.8134831460674158,875.0
race_2025_top5,hybrid_cnn_tabular,OCO,0.8916666666666667,0.8221734357848518,0.8555111364934324,911.0
race_2025_top5,hybrid_cnn_tabular,SAI,0.9104895104895104,0.8147684605757196,0.8599735799207398,799.0
race_2025_top5,hybrid_cnn_tabular,VER,0.8228460793804453,0.963718820861678,0.8877284595300261,882.0
race_2025_top5,gru,HAM,0.5902335456475584,0.3206459054209919,0.4155455904334828,867.0
race_2025_top5,gru,LEC,0.4154013015184382,0.4377142857142857,0.4262659988870339,875.0
race_2025_top5,gru,OCO,0.3771986970684039,0.6355653128430296,0.473426001635323,911.0
race_2025_top5,gru,SAI,0.8870703764320785,0.6783479349186483,0.7687943262411348,799.0
race_2025_top5,gru,VER,0.8943396226415095,0.8061224489795918,0.8479427549194991,882.0
race_2025_top5,lstm,HAM,0.3130630630630631,0.16032295271049596,0.2120518688024409,867.0
race_2025_top5,lstm,LEC,0.34564643799472294,0.14971428571428572,0.20893141945773525,875.0
race_2025_top5,lstm,OCO,0.3652024117140396,0.4654226125137212,0.4092664092664093,911.0
race_2025_top5,lstm,SAI,0.32727272727272727,0.20275344180225283,0.250386398763524,799.0
race_2025_top5,lstm,VER,0.3692722371967655,0.7766439909297053,0.5005480453050786,882.0
