n_samples,speed_mean,speed_std,speed_min,speed_max,speed_q10,speed_q50,speed_q90,speed_range,throttle_mean,throttle_std,throttle_min,throttle_max,throttle_zero_frac,throttle_full_frac,throttle_mid_frac,brake_mean,brake_std,brake_min,brake_max,brake_active_frac,brake_on_count,first_brake_frac_pos,last_brake_frac_pos,rpm_mean,rpm_std,rpm_min,rpm_max,gear_mean,gear_std,gear_min,gear_max,gear_change_count,speed_diff_mean,speed_diff_std,speed_diff_abs_mean,throttle_diff_mean,throttle_diff_std,throttle_diff_abs_mean,rpm_diff_mean,rpm_diff_std,rpm_diff_abs_mean,drs_active_frac,lap_key,Driver,season,round,LapNumber,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,Compound,TyreLife,Team,session_key,event_name,analysis_team,leader_driver
276,236.84057971014494,56.24508012447105,100.0,310.0,154.0,255.5,297.5,210.0,79.76449275362319,37.66762255832336,0.0,100.0,0.14492753623188406,0.7318840579710145,0.12318840579710146,0.13043478260869565,0.33739293426932,0.0,1.0,0.13043478260869565,6,0.04727272727272727,0.9381818181818182,10539.144927536232,774.8992056516971,7513.0,11876.0,5.992753623188406,1.563196616780531,3,8,31,-0.23272727272727273,9.630605383520061,5.927272727272728,0.0,17.306806390702345,5.069090909090909,-0.3018181818181818,416.6162351678596,274.3018181818182,1.0,2018_r01_Q_RIC_lap16,RIC,2018,1,16.0,82.152,27.24,22.448,32.464,ULTRASOFT,2.0,Red Bull Racing,2018_1_Q,Australian Grand Prix,Red Bull Racing,VER
275,239.12363636363636,56.00670568440096,103.0,313.0,156.8,258.0,301.0,210.0,81.42545454545454,36.67768578267891,0.0,100.0,0.10909090909090909,0.7490909090909091,0.14181818181818182,0.12,0.3255539916202134,0.0,1.0,0.12,5,0.051094890510948905,0.9416058394160584,10626.690909090908,696.0362456144253,7791.0,11801.0,6.036363636363636,1.5421526849771874,3,8,29,-0.2737226277372263,9.810376282007622,5.916058394160584,0.0,17.93026785897259,5.145985401459854,4.5,411.4184633857017,269.5,1.0,2018_r01_Q_VER_lap17,VER,2018,1,17.0,81.879,26.971,22.241,32.667,ULTRASOFT,2.0,Red Bull Racing,2018_1_Q,Australian Grand Prix,Red Bull Racing,VER
297,214.66329966329965,72.03040672611459,75.0,325.0,101.2,228.0,307.0,250.0,70.26262626262626,42.275780362302065,0.0,100.0,0.22895622895622897,0.5993265993265994,0.1717171717171717,0.17845117845117844,0.3835383254665003,0.0,1.0,0.17845117845117844,8,0.10472972972972973,0.9695945945945946,10293.9898989899,1524.8143207405494,5789.0,12273.0,5.595959595959596,1.8613377486577267,2,8,34,-0.41216216216216217,10.819899466342092,7.216216216216216,0.0,16.076090257463154,4.75,2.52027027027027,533.2170031695157,378.31081081081084,1.0,2018_r02_Q_BOT_lap14,BOT,2018,2,14.0,88.124,28.014,37.981,22.129,SUPERSOFT,2.0,Mercedes,2018_2_Q,Bahrain Grand Prix,Mercedes,HAM
297,215.11784511784512,70.82531984026568,76.0,326.0,105.2,224.0,306.80000000000007,250.0,69.84848484848484,41.97095930594659,0.0,100.0,0.21548821548821548,0.5892255892255892,0.19528619528619529,0.18855218855218855,0.39181265104275725,0.0,1.0,0.18855218855218855,7,0.10135135135135136,0.9662162162162162,10406.760942760942,1462.714638935382,5888.0,12288.0,5.525252525252525,1.8454295314669036,2,8,39,-0.38175675675675674,10.74636106900275,7.077702702702703,0.0,16.19457954933258,4.797297297297297,4.114864864864865,507.6328985031344,371.47297297297297,1.0,2018_r02_Q_HAM_lap12,HAM,2018,2,12.0,88.22,28.081,37.99,22.149,SUPERSOFT,2.0,Mercedes,2018_2_Q,Bahrain Grand Prix,Mercedes,HAM
298,214.0771812080537,69.28867114420665,76.0,319.0,101.7,227.5,301.0,243.0,70.7248322147651,41.887673919695395,0.0,100.0,0.20134228187919462,0.5973154362416108,0.20134228187919462,0.18456375838926176,0.3885958201131299,0.0,1.0,0.18456375838926176,7,0.09764309764309764,0.9595959595959596,10281.352348993289,1054.095763580889,6869.0,12013.0,5.355704697986577,1.8930097372610262,2,8,39,-0.2727272727272727,10.152038320646847,6.925925925925926,0.0,14.912583114106527,4.707070707070707,-0.6531986531986532,496.9087253706976,355.95286195286195,1.0,2018_r02_Q_RIC_lap11,RIC,2018,2,11.0,88.398,28.275,38.042,22.081,SUPERSOFT,2.0,Red Bull Racing,2018_2_Q,Bahrain Grand Prix,Red Bull Racing,VER
437,138.03432494279176,54.35831859750061,55.0,295.0,81.0,130.0,205.40000000000003,240.0,26.91075514874142,31.976608403314152,0.0,100.0,0.41647597254004576,0.06864988558352403,0.5148741418764302,0.2700228832951945,0.44448016171034327,0.0,1.0,0.2700228832951945,10,0.06880733944954129,1.0,9143.274599542334,1071.6995944537907,5989.0,11518.0,3.4096109839816933,1.7594304449228102,1,8,41,-0.31880733944954126,4.6827356627226475,3.938073394495413,-0.22935779816513763,12.792154943260178,4.174311926605505,-5.511467889908257,460.4745202247689,343.48853211009174,1.0,2018_r02_Q_VER_lap3,VER,2018,2,3.0,129.86,41.559,61.666,26.635,SUPERSOFT,3.0,Red Bull Racing,2018_2_Q,Bahrain Grand Prix,Red Bull Racing,VER
309,214.1294498381877,73.29496585374424,84.0,324.0,109.0,227.0,305.0,240.0,69.09708737864078,41.9355987144698,0.0,100.0,0.22330097087378642,0.5889967637540453,0.18770226537216828,0.14563106796116504,0.3533081228630311,0.0,1.0,0.14563106796116504,7,0.08441558441558442,0.737012987012987,10261.187702265372,1406.467486054617,6286.0,12252.0,5.543689320388349,1.855721403966345,3,8,31,0.1525974025974026,8.065656456757237,5.5811688311688314,0.0,13.78026724966946,4.441558441558442,0.9805194805194806,461.10640869591685,325.3181818181818,1.0,2018_r03_Q_BOT_lap15,BOT,2018,3,15.0,91.625,24.322,27.268,40.035,ULTRASOFT,2.0,Mercedes,2018_3_Q,Chinese Grand Prix,Mercedes,HAM
309,214.83171521035598,73.82871650306579,81.0,326.0,106.8,228.0,306.0,245.0,69.00647249190939,41.47977081111057,0.0,100.0,0.1650485436893204,0.5792880258899676,0.255663430420712,0.1423948220064725,0.35002146423847613,0.0,1.0,0.1423948220064725,8,0.08766233766233766,0.7694805194805194,10345.880258899677,1338.0860975463,6002.0,12275.0,5.511326860841424,1.9045488575007261,3,8,31,0.1525974025974026,8.309922627704166,5.613636363636363,0.0,12.573950633261102,4.097402597402597,1.0649350649350648,446.3857707813073,313.24675324675326,1.0,2018_r03_Q_HAM_lap14,HAM,2018,3,14.0,91.675,24.341,27.289,40.045,ULTRASOFT,2.0,Mercedes,2018_3_Q,Chinese Grand Prix,Mercedes,HAM
310,214.55483870967743,69.98799175184341,89.0,321.0,112.9,230.5,299.1,232.0,69.1741935483871,42.634010822316135,0.0,100.0,0.2032258064516129,0.5903225806451613,0.2064516129032258,0.16129032258064516,0.36839318673869953,0.0,1.0,0.16129032258064516,7,0.08737864077669903,0.7346278317152104,10013.81935483871,1229.5189180532013,6455.0,11684.0,5.474193548387097,1.774772466739358,3,8,30,0.15210355987055016,7.533442998909061,5.258899676375404,0.0,13.92395861013036,4.1035598705501615,1.7831715210355987,407.74249605910126,289.79611650485435,1.0,2018_r03_Q_RIC_lap8,RIC,2018,3,8.0,91.948,24.36,27.307,40.281,ULTRASOFT,2.0,Red Bull Racing,2018_3_Q,Chinese Grand Prix,Red Bull Racing,VER
309,213.92233009708738,70.45750621165928,88.0,318.0,110.8,229.0,301.0,230.0,68.70550161812298,42.760819267632385,0.0,100.0,0.11650485436893204,0.6019417475728155,0.2815533980582524,0.15210355987055016,0.3597037592732917,0.0,1.0,0.15210355987055016,7,0.08766233766233766,0.7467532467532467,10085.47572815534,1234.6205120044829,6448.0,11830.0,5.427184466019417,1.792491238259878,3,8,29,0.1396103896103896,7.789368172402286,5.3019480519480515,0.0,13.789482845036302,4.181818181818182,1.2922077922077921,412.3338820632982,292.83116883116884,1.0,2018_r03_Q_VER_lap11,VER,2018,3,11.0,91.796,24.171,27.306,40.319,ULTRASOFT,2.0,Red Bull Racing,2018_3_Q,Chinese Grand Prix,Red Bull Racing,VER
