Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,season,round,event_name,session_name,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,session_max_rainfall,session_is_dry_by_weather,source_label,session_key,compound_upper,is_wet_compound,is_slick_compound,session_is_dry_final,dry_flag_source,lap_key,analysis_team,leader_driver
0 days 01:14:14.214000,RIC,3,0 days 00:01:22.152000,16.0,6.0,,,0 days 00:00:27.240000,0 days 00:00:22.448000,0 days 00:00:32.464000,0 days 01:13:19.302000,0 days 01:13:41.750000,0 days 01:14:14.214000,277.0,288.0,296.0,308.0,True,ULTRASOFT,2.0,True,Red Bull Racing,1.0,,,,False,True,2018,1,Australian Grand Prix,Q,82.152,27.24,22.448,32.464,,,2018_2022_q_backfill,2018_1_Q,ULTRASOFT,False,True,True,compound_inference,2018_r01_Q_RIC_lap16,Red Bull Racing,VER
0 days 01:14:33.902000,VER,33,0 days 00:01:21.879000,17.0,6.0,,,0 days 00:00:26.971000,0 days 00:00:22.241000,0 days 00:00:32.667000,0 days 01:13:38.994000,0 days 01:14:01.235000,0 days 01:14:33.902000,279.0,288.0,298.0,311.0,True,ULTRASOFT,2.0,True,Red Bull Racing,1.0,,,,False,True,2018,1,Australian Grand Prix,Q,81.879,26.971,22.241,32.667,,,2018_2022_q_backfill,2018_1_Q,ULTRASOFT,False,True,True,compound_inference,2018_r01_Q_VER_lap17,Red Bull Racing,VER
0 days 01:12:14.053000,BOT,77,0 days 00:01:28.124000,14.0,5.0,,,0 days 00:00:28.014000,0 days 00:00:37.981000,0 days 00:00:22.129000,0 days 01:11:13.943000,0 days 01:11:51.924000,0 days 01:12:14.053000,250.0,273.0,294.0,323.0,True,SUPERSOFT,2.0,True,Mercedes,1.0,,,,False,True,2018,2,Bahrain Grand Prix,Q,88.124,28.014,37.981,22.129,,,2018_2022_q_backfill,2018_2_Q,SUPERSOFT,False,True,True,compound_inference,2018_r02_Q_BOT_lap14,Mercedes,HAM
0 days 01:04:57.470000,HAM,44,0 days 00:01:28.220000,12.0,4.0,,,0 days 00:00:28.081000,0 days 00:00:37.990000,0 days 00:00:22.149000,0 days 01:03:57.331000,0 days 01:04:35.321000,0 days 01:04:57.470000,247.0,274.0,294.0,323.0,True,SUPERSOFT,2.0,True,Mercedes,1.0,,,,False,True,2018,2,Bahrain Grand Prix,Q,88.22,28.081,37.99,22.149,,,2018_2022_q_backfill,2018_2_Q,SUPERSOFT,False,True,True,compound_inference,2018_r02_Q_HAM_lap12,Mercedes,HAM
0 days 01:12:59.352000,RIC,3,0 days 00:01:28.398000,11.0,4.0,,,0 days 00:00:28.275000,0 days 00:00:38.042000,0 days 00:00:22.081000,0 days 01:11:59.229000,0 days 01:12:37.271000,0 days 01:12:59.352000,247.0,270.0,289.0,316.0,True,SUPERSOFT,2.0,True,Red Bull Racing,1.0,,,,False,True,2018,2,Bahrain Grand Prix,Q,88.398,28.275,38.042,22.081,,,2018_2022_q_backfill,2018_2_Q,SUPERSOFT,False,True,True,compound_inference,2018_r02_Q_RIC_lap11,Red Bull Racing,VER
0 days 00:15:56.496000,VER,33,0 days 00:02:09.860000,3.0,1.0,,,0 days 00:00:41.559000,0 days 00:01:01.666000,0 days 00:00:26.635000,0 days 00:14:28.195000,0 days 00:15:29.861000,0 days 00:15:56.496000,171.0,175.0,290.0,230.0,False,SUPERSOFT,3.0,True,Red Bull Racing,1.0,,,,False,True,2018,2,Bahrain Grand Prix,Q,129.86,41.559,61.666,26.635,,,2018_2022_q_backfill,2018_2_Q,SUPERSOFT,False,True,True,compound_inference,2018_r02_Q_VER_lap3,Red Bull Racing,VER
0 days 00:56:24.559000,BOT,77,0 days 00:01:31.625000,15.0,4.0,,,0 days 00:00:24.322000,0 days 00:00:27.268000,0 days 00:00:40.035000,0 days 00:55:17.256000,0 days 00:55:44.524000,0 days 00:56:24.559000,279.0,274.0,270.0,326.0,True,ULTRASOFT,2.0,True,Mercedes,1.0,,,,False,True,2018,3,Chinese Grand Prix,Q,91.625,24.322,27.268,40.035,,,2018_2022_q_backfill,2018_3_Q,ULTRASOFT,False,True,True,compound_inference,2018_r03_Q_BOT_lap15,Mercedes,HAM
0 days 00:56:39.781000,HAM,44,0 days 00:01:31.675000,14.0,4.0,,,0 days 00:00:24.341000,0 days 00:00:27.289000,0 days 00:00:40.045000,0 days 00:55:32.447000,0 days 00:55:59.736000,0 days 00:56:39.781000,278.0,274.0,270.0,326.0,True,ULTRASOFT,2.0,True,Mercedes,1.0,,,,False,True,2018,3,Chinese Grand Prix,Q,91.675,24.341,27.289,40.045,,,2018_2022_q_backfill,2018_3_Q,ULTRASOFT,False,True,True,compound_inference,2018_r03_Q_HAM_lap14,Mercedes,HAM
0 days 00:56:18.316000,RIC,3,0 days 00:01:31.948000,8.0,3.0,,,0 days 00:00:24.360000,0 days 00:00:27.307000,0 days 00:00:40.281000,0 days 00:55:10.728000,0 days 00:55:38.035000,0 days 00:56:18.316000,274.0,270.0,267.0,321.0,True,ULTRASOFT,2.0,True,Red Bull Racing,1.0,,,,False,True,2018,3,Chinese Grand Prix,Q,91.948,24.36,27.307,40.281,,,2018_2022_q_backfill,2018_3_Q,ULTRASOFT,False,True,True,compound_inference,2018_r03_Q_RIC_lap8,Red Bull Racing,VER
0 days 01:04:42.828000,VER,33,0 days 00:01:31.796000,11.0,4.0,,,0 days 00:00:24.171000,0 days 00:00:27.306000,0 days 00:00:40.319000,0 days 01:03:35.203000,0 days 01:04:02.509000,0 days 01:04:42.828000,275.0,270.0,266.0,321.0,True,ULTRASOFT,2.0,True,Red Bull Racing,1.0,,,,False,True,2018,3,Chinese Grand Prix,Q,91.796,24.171,27.306,40.319,,,2018_2022_q_backfill,2018_3_Q,ULTRASOFT,False,True,True,compound_inference,2018_r03_Q_VER_lap11,Red Bull Racing,VER
0 days 01:04:02.764000,BOT,77,0 days 00:01:41.837000,19.0,5.0,,,0 days 00:00:35.499000,0 days 00:00:41.155000,0 days 00:00:25.183000,0 days 01:02:56.426000,0 days 01:03:37.581000,0 days 01:04:02.764000,222.0,226.0,329.0,315.0,True,ULTRASOFT,2.0,True,Mercedes,1.0,,,,False,True,2018,4,Azerbaijan Grand Prix,Q,101.837,35.499,41.155,25.183,,,2018_2022_q_backfill,2018_4_Q,ULTRASOFT,False,True,True,compound_inference,2018_r04_Q_BOT_lap19,Mercedes,HAM
0 days 01:04:07.396000,HAM,44,0 days 00:01:41.677000,19.0,5.0,,,0 days 00:00:35.296000,0 days 00:00:41.158000,0 days 00:00:25.223000,0 days 01:03:01.015000,0 days 01:03:42.173000,0 days 01:04:07.396000,225.0,231.0,329.0,316.0,True,ULTRASOFT,2.0,True,Mercedes,1.0,,,,False,True,2018,4,Azerbaijan Grand Prix,Q,101.677,35.296,41.158,25.223,,,2018_2022_q_backfill,2018_4_Q,ULTRASOFT,False,True,True,compound_inference,2018_r04_Q_HAM_lap19,Mercedes,HAM
0 days 01:05:18.565000,RIC,3,0 days 00:01:41.911000,19.0,5.0,,,0 days 00:00:35.629000,0 days 00:00:40.863000,0 days 00:00:25.419000,0 days 01:04:12.283000,0 days 01:04:53.146000,0 days 01:05:18.565000,221.0,223.0,326.0,312.0,True,ULTRASOFT,2.0,True,Red Bull Racing,1.0,,,,False,True,2018,4,Azerbaijan Grand Prix,Q,101.911,35.629,40.863,25.419,,,2018_2022_q_backfill,2018_4_Q,ULTRASOFT,False,True,True,compound_inference,2018_r04_Q_RIC_lap19,Red Bull Racing,VER
0 days 01:05:21.923000,VER,33,0 days 00:01:41.994000,18.0,5.0,,,0 days 00:00:35.765000,0 days 00:00:40.936000,0 days 00:00:25.293000,0 days 01:04:15.694000,0 days 01:04:56.630000,0 days 01:05:21.923000,218.0,226.0,328.0,312.0,True,ULTRASOFT,2.0,True,Red Bull Racing,1.0,,,,False,True,2018,4,Azerbaijan Grand Prix,Q,101.994,35.765,40.936,25.293,,,2018_2022_q_backfill,2018_4_Q,ULTRASOFT,False,True,True,compound_inference,2018_r04_Q_VER_lap18,Red Bull Racing,VER
