lap_key,season,round,Driver,LapNumber,status,car_rows,pos_rows,merged_rows
2018_r01_Q_RIC_lap16,2018,1,RIC,16.0,ok,345,276,276
2018_r01_Q_VER_lap17,2018,1,VER,17.0,ok,345,275,275
2018_r02_Q_BOT_lap14,2018,2,BOT,14.0,ok,371,297,297
2018_r02_Q_HAM_lap12,2018,2,HAM,12.0,ok,372,297,297
2018_r02_Q_RIC_lap11,2018,2,RIC,11.0,ok,371,298,298
2018_r02_Q_VER_lap3,2018,2,VER,3.0,ok,546,437,437
2018_r03_Q_BOT_lap15,2018,3,BOT,15.0,ok,386,309,309
2018_r03_Q_HAM_lap14,2018,3,HAM,14.0,ok,386,309,309
2018_r03_Q_RIC_lap8,2018,3,RIC,8.0,ok,387,310,310
2018_r03_Q_VER_lap11,2018,3,VER,11.0,ok,390,309,309
2018_r04_Q_BOT_lap19,2018,4,BOT,19.0,ok,424,342,342
2018_r04_Q_HAM_lap19,2018,4,HAM,19.0,ok,423,342,342
2018_r04_Q_RIC_lap19,2018,4,RIC,19.0,ok,424,343,343
2018_r04_Q_VER_lap18,2018,4,VER,18.0,ok,425,343,343
2018_r05_Q_BOT_lap12,2018,5,BOT,12.0,ok,314,257,257
2018_r05_Q_HAM_lap15,2018,5,HAM,15.0,ok,315,256,256
2018_r05_Q_RIC_lap16,2018,5,RIC,16.0,ok,318,258,258
2018_r05_Q_VER_lap12,2018,5,VER,12.0,ok,316,259,259
2018_r06_Q_BOT_lap24,2018,6,BOT,24.0,ok,295,241,241
2018_r06_Q_HAM_lap21,2018,6,HAM,21.0,ok,294,240,240
2018_r07_Q_BOT_lap16,2018,7,BOT,16.0,ok,293,239,239
2018_r07_Q_HAM_lap20,2018,7,HAM,20.0,ok,293,239,239
2018_r07_Q_RIC_lap17,2018,7,RIC,17.0,ok,293,239,239
2018_r07_Q_VER_lap15,2018,7,VER,15.0,ok,293,239,239
2018_r08_Q_BOT_lap16,2018,8,BOT,16.0,ok,372,304,304
2018_r08_Q_HAM_lap18,2018,8,HAM,18.0,ok,372,303,303
2018_r08_Q_RIC_lap15,2018,8,RIC,15.0,ok,376,306,306
2018_r08_Q_VER_lap15,2018,8,VER,15.0,ok,376,305,305
2018_r09_Q_BOT_lap16,2018,9,BOT,16.0,ok,266,213,213
2018_r09_Q_HAM_lap19,2018,9,HAM,19.0,ok,266,213,213
2018_r09_Q_RIC_lap18,2018,9,RIC,18.0,ok,272,216,216
2018_r09_Q_VER_lap17,2018,9,VER,17.0,ok,270,215,215
2018_r10_Q_BOT_lap11,2018,10,BOT,11.0,ok,356,290,290
2018_r10_Q_HAM_lap14,2018,10,HAM,14.0,ok,355,289,289
2018_r10_Q_RIC_lap10,2018,10,RIC,10.0,ok,360,293,293
2018_r10_Q_VER_lap13,2018,10,VER,13.0,ok,357,292,292
2018_r14_Q_BOT_lap17,2018,14,BOT,17.0,ok,328,268,268
2018_r14_Q_HAM_lap18,2018,14,HAM,18.0,ok,327,268,268
2018_r14_Q_RIC_lap2,2018,14,RIC,2.0,ok,335,274,274
2018_r14_Q_VER_lap8,2018,14,VER,8.0,ok,332,270,270
2018_r15_Q_BOT_lap19,2018,15,BOT,19.0,ok,410,326,326
2018_r15_Q_HAM_lap14,2018,15,HAM,14.0,ok,397,324,324
2018_r15_Q_RIC_lap11,2018,15,RIC,11.0,ok,411,326,326
2018_r15_Q_VER_lap9,2018,15,VER,9.0,ok,398,325,325
2018_r16_Q_BOT_lap16,2018,16,BOT,16.0,ok,385,307,307
2018_r16_Q_HAM_lap15,2018,16,HAM,15.0,ok,384,308,308
2018_r16_Q_RIC_lap2,2018,16,RIC,2.0,ok,391,314,314
2018_r16_Q_VER_lap2,2018,16,VER,2.0,ok,392,314,314
2018_r18_Q_BOT_lap16,2018,18,BOT,16.0,ok,389,311,311
2018_r18_Q_HAM_lap18,2018,18,HAM,18.0,ok,387,310,310
2018_r18_Q_RIC_lap10,2018,18,RIC,10.0,ok,383,315,315
2018_r18_Q_VER_lap2,2018,18,VER,2.0,ok,392,319,319
2018_r19_Q_BOT_lap18,2018,19,BOT,18.0,ok,308,253,253
2018_r19_Q_HAM_lap19,2018,19,HAM,19.0,ok,306,252,252
2018_r19_Q_RIC_lap14,2018,19,RIC,14.0,ok,306,251,251
2018_r19_Q_VER_lap11,2018,19,VER,11.0,ok,307,252,252
2018_r20_Q_BOT_lap13,2018,20,BOT,13.0,ok,278,227,227
2018_r20_Q_HAM_lap16,2018,20,HAM,16.0,ok,276,226,226
2018_r20_Q_RIC_lap12,2018,20,RIC,12.0,ok,280,228,228
2018_r20_Q_VER_lap12,2018,20,VER,12.0,ok,280,229,229
2018_r21_Q_BOT_lap17,2018,21,BOT,17.0,ok,389,320,320
2018_r21_Q_HAM_lap17,2018,21,HAM,17.0,ok,389,320,320
2018_r21_Q_RIC_lap15,2018,21,RIC,15.0,ok,390,321,321
2018_r21_Q_VER_lap11,2018,21,VER,11.0,ok,391,322,322
2019_r01_Q_LEC_lap13,2019,1,LEC,13.0,ok,336,274,274
2019_r01_Q_VET_lap15,2019,1,VET,15.0,ok,338,274,274
2019_r01_Q_BOT_lap15,2019,1,BOT,15.0,ok,331,271,271
2019_r01_Q_HAM_lap17,2019,1,HAM,17.0,ok,334,271,271
2019_r01_Q_GAS_lap2,2019,1,GAS,2.0,ok,343,279,279
2019_r01_Q_VER_lap16,2019,1,VER,16.0,ok,337,274,274
2019_r02_Q_LEC_lap12,2019,2,LEC,12.0,ok,364,296,296
2019_r02_Q_VET_lap12,2019,2,VET,12.0,ok,364,297,297
2019_r02_Q_BOT_lap14,2019,2,BOT,14.0,ok,363,297,297
2019_r02_Q_HAM_lap11,2019,2,HAM,11.0,ok,365,297,297
2019_r02_Q_GAS_lap8,2019,2,GAS,8.0,ok,370,301,301
2019_r02_Q_VER_lap11,2019,2,VER,11.0,ok,366,298,298
2019_r03_Q_LEC_lap15,2019,3,LEC,15.0,ok,375,309,309
2019_r03_Q_VET_lap15,2019,3,VET,15.0,ok,375,309,309
2019_r03_Q_BOT_lap14,2019,3,BOT,14.0,ok,375,308,308
2019_r03_Q_HAM_lap11,2019,3,HAM,11.0,ok,375,308,308
2019_r03_Q_GAS_lap11,2019,3,GAS,11.0,ok,381,313,313
2019_r03_Q_VER_lap11,2019,3,VER,11.0,ok,378,310,310
2019_r04_Q_LEC_lap4,2019,4,LEC,4.0,ok,419,341,341
2019_r04_Q_VET_lap22,2019,4,VET,22.0,ok,416,339,339
2019_r04_Q_BOT_lap19,2019,4,BOT,19.0,ok,416,338,338
2019_r04_Q_HAM_lap20,2019,4,HAM,20.0,ok,416,338,338
2019_r04_Q_GAS_lap4,2019,4,GAS,4.0,ok,418,341,341
2019_r04_Q_VER_lap14,2019,4,VER,14.0,ok,419,341,341
2019_r05_Q_LEC_lap18,2019,5,LEC,18.0,ok,322,258,258
2019_r05_Q_VET_lap13,2019,5,VET,13.0,ok,320,257,257
2019_r05_Q_BOT_lap14,2019,5,BOT,14.0,ok,317,254,254
2019_r05_Q_HAM_lap8,2019,5,HAM,8.0,ok,313,256,256
2019_r05_Q_GAS_lap13,2019,5,GAS,13.0,ok,320,259,259
2019_r05_Q_VER_lap8,2019,5,VER,8.0,ok,319,257,257
2019_r06_Q_LEC_lap4,2019,6,LEC,4.0,ok,297,243,243
2019_r06_Q_VET_lap23,2019,6,VET,23.0,ok,293,239,239
2019_r06_Q_BOT_lap22,2019,6,BOT,22.0,ok,290,236,236
2019_r06_Q_HAM_lap27,2019,6,HAM,27.0,ok,289,236,236
2019_r06_Q_GAS_lap20,2019,6,GAS,20.0,ok,293,239,239
2019_r06_Q_VER_lap12,2019,6,VER,12.0,ok,291,238,238
2019_r07_Q_LEC_lap21,2019,7,LEC,21.0,ok,292,239,239
2019_r07_Q_VET_lap21,2019,7,VET,21.0,ok,290,236,236
2019_r07_Q_BOT_lap11,2019,7,BOT,11.0,ok,293,239,239
2019_r07_Q_HAM_lap20,2019,7,HAM,20.0,ok,291,238,238
2019_r07_Q_GAS_lap16,2019,7,GAS,16.0,ok,295,240,240
2019_r07_Q_VER_lap4,2019,7,VER,4.0,ok,296,242,242
2019_r08_Q_LEC_lap18,2019,8,LEC,18.0,ok,365,300,300
2019_r08_Q_VET_lap13,2019,8,VET,13.0,ok,370,301,301
2019_r08_Q_BOT_lap15,2019,8,BOT,15.0,ok,367,299,299
2019_r08_Q_HAM_lap19,2019,8,HAM,19.0,ok,364,297,297
2019_r08_Q_GAS_lap18,2019,8,GAS,18.0,ok,371,303,303
2019_r08_Q_VER_lap18,2019,8,VER,18.0,ok,368,301,301
2019_r09_Q_LEC_lap17,2019,9,LEC,17.0,ok,263,212,212
2019_r09_Q_VET_lap8,2019,9,VET,8.0,ok,267,215,215
2019_r09_Q_BOT_lap24,2019,9,BOT,24.0,ok,265,214,214
2019_r09_Q_HAM_lap25,2019,9,HAM,25.0,ok,264,213,213
2019_r09_Q_GAS_lap11,2019,9,GAS,11.0,ok,269,216,216
2019_r09_Q_VER_lap16,2019,9,VER,16.0,ok,265,213,213
2019_r10_Q_LEC_lap16,2019,10,LEC,16.0,ok,352,286,286
2019_r10_Q_VET_lap15,2019,10,VET,15.0,ok,354,288,288
2019_r10_Q_BOT_lap16,2019,10,BOT,16.0,ok,351,286,286
2019_r10_Q_HAM_lap15,2019,10,HAM,15.0,ok,353,286,286
2019_r10_Q_GAS_lap20,2019,10,GAS,20.0,ok,353,288,288
2019_r10_Q_VER_lap20,2019,10,VER,20.0,ok,352,287,287
2019_r11_Q_BOT_lap18,2019,11,BOT,18.0,ok,296,243,243
2019_r11_Q_HAM_lap15,2019,11,HAM,15.0,ok,295,241,241
2019_r11_Q_GAS_lap14,2019,11,GAS,14.0,ok,297,243,243
2019_r11_Q_VER_lap13,2019,11,VER,13.0,ok,297,243,243
2019_r12_Q_LEC_lap16,2019,12,LEC,16.0,ok,310,252,252
2019_r12_Q_VET_lap17,2019,12,VET,17.0,ok,309,252,252
2019_r12_Q_BOT_lap17,2019,12,BOT,17.0,ok,308,252,252
2019_r12_Q_HAM_lap20,2019,12,HAM,20.0,ok,309,252,252
2019_r12_Q_GAS_lap18,2019,12,GAS,18.0,ok,311,254,254
2019_r12_Q_VER_lap14,2019,12,VER,14.0,ok,307,251,251
2019_r13_Q_LEC_lap15,2019,13,LEC,15.0,ok,426,346,346
2019_r13_Q_VET_lap9,2019,13,VET,9.0,ok,433,347,347
2019_r13_Q_BOT_lap18,2019,13,BOT,18.0,ok,431,349,349
2019_r13_Q_HAM_lap14,2019,13,HAM,14.0,ok,431,348,348
2019_r13_Q_ALB_lap3,2019,13,ALB,3.0,ok,433,355,355
2019_r13_Q_VER_lap15,2019,13,VER,15.0,ok,432,349,349
2019_r14_Q_LEC_lap4,2019,14,LEC,4.0,ok,326,270,270
2019_r14_Q_VET_lap14,2019,14,VET,14.0,ok,332,267,267
2019_r14_Q_BOT_lap2,2019,14,BOT,2.0,ok,326,270,270
2019_r14_Q_HAM_lap2,2019,14,HAM,2.0,ok,327,270,270
2019_r15_Q_LEC_lap16,2019,15,LEC,16.0,ok,396,324,324
2019_r15_Q_VET_lap13,2019,15,VET,13.0,ok,393,325,325
2019_r15_Q_BOT_lap8,2019,15,BOT,8.0,ok,399,327,327
2019_r15_Q_HAM_lap17,2019,15,HAM,17.0,ok,397,325,325
2019_r15_Q_ALB_lap15,2019,15,ALB,15.0,ok,401,328,328
