team,leader_driver,teammate_driver,season,round,session_key,event_name,feature,leader_minus_teammate,abs_gap
Red Bull Racing,VER,RIC,2018,10,2018_10_Q,British Grand Prix,LapTimeSeconds,-0.4969999999999999,0.4969999999999999
Red Bull Racing,VER,RIC,2018,10,2018_10_Q,British Grand Prix,speed_min,3.0,3.0
Red Bull Racing,VER,RIC,2018,10,2018_10_Q,British Grand Prix,speed_mean,2.703901538173824,2.703901538173824
Red Bull Racing,VER,RIC,2018,10,2018_10_Q,British Grand Prix,throttle_full_frac,0.005867501987002699,0.005867501987002699
Red Bull Racing,VER,RIC,2018,10,2018_10_Q,British Grand Prix,throttle_mid_frac,0.05528542708869044,0.05528542708869044
Red Bull Racing,VER,RIC,2018,10,2018_10_Q,British Grand Prix,throttle_diff_abs_mean,0.2191780821917808,0.2191780821917808
Red Bull Racing,VER,RIC,2018,10,2018_10_Q,British Grand Prix,brake_active_frac,-0.013301229604002068,0.013301229604002068
Red Bull Racing,VER,RIC,2018,10,2018_10_Q,British Grand Prix,brake_on_count,-2.0,2.0
Red Bull Racing,VER,RIC,2018,10,2018_10_Q,British Grand Prix,rpm_diff_abs_mean,-0.4010144518194352,0.4010144518194352
Red Bull Racing,VER,RIC,2018,10,2018_10_Q,British Grand Prix,gear_change_count,1.0,1.0
Red Bull Racing,VER,RIC,2018,14,2018_14_Q,Italian Grand Prix,LapTimeSeconds,-0.9470000000000027,0.9470000000000027
Red Bull Racing,VER,RIC,2018,14,2018_14_Q,Italian Grand Prix,speed_min,1.0,1.0
Red Bull Racing,VER,RIC,2018,14,2018_14_Q,Italian Grand Prix,speed_mean,2.175317653419853,2.175317653419853
Red Bull Racing,VER,RIC,2018,14,2018_14_Q,Italian Grand Prix,throttle_full_frac,0.0034063260340632118,0.0034063260340632118
Red Bull Racing,VER,RIC,2018,14,2018_14_Q,Italian Grand Prix,throttle_mid_frac,0.0018383346850499999,0.0018383346850499999
Red Bull Racing,VER,RIC,2018,14,2018_14_Q,Italian Grand Prix,throttle_diff_abs_mean,0.4088129961735909,0.4088129961735909
Red Bull Racing,VER,RIC,2018,14,2018_14_Q,Italian Grand Prix,brake_active_frac,0.012733171127331702,0.012733171127331702
Red Bull Racing,VER,RIC,2018,14,2018_14_Q,Italian Grand Prix,brake_on_count,0.0,0.0
Red Bull Racing,VER,RIC,2018,14,2018_14_Q,Italian Grand Prix,rpm_diff_abs_mean,-1.191865136103047,1.191865136103047
Red Bull Racing,VER,RIC,2018,14,2018_14_Q,Italian Grand Prix,gear_change_count,0.0,0.0
Red Bull Racing,VER,RIC,2018,15,2018_15_Q,Singapore Grand Prix,LapTimeSeconds,-0.6619999999999919,0.6619999999999919
Red Bull Racing,VER,RIC,2018,15,2018_15_Q,Singapore Grand Prix,speed_min,-2.0,2.0
Red Bull Racing,VER,RIC,2018,15,2018_15_Q,Singapore Grand Prix,speed_mean,1.0383860311467572,1.0383860311467572
Red Bull Racing,VER,RIC,2018,15,2018_15_Q,Singapore Grand Prix,throttle_full_frac,0.03221330816422835,0.03221330816422835
Red Bull Racing,VER,RIC,2018,15,2018_15_Q,Singapore Grand Prix,throttle_mid_frac,-0.008419065596979691,0.008419065596979691
Red Bull Racing,VER,RIC,2018,15,2018_15_Q,Singapore Grand Prix,throttle_diff_abs_mean,0.4876353276353278,0.4876353276353278
Red Bull Racing,VER,RIC,2018,15,2018_15_Q,Singapore Grand Prix,brake_active_frac,0.0037376120811703495,0.0037376120811703495
Red Bull Racing,VER,RIC,2018,15,2018_15_Q,Singapore Grand Prix,brake_on_count,0.0,0.0
Red Bull Racing,VER,RIC,2018,15,2018_15_Q,Singapore Grand Prix,rpm_diff_abs_mean,11.918727445394097,11.918727445394097
Red Bull Racing,VER,RIC,2018,15,2018_15_Q,Singapore Grand Prix,gear_change_count,-2.0,2.0
Red Bull Racing,VER,RIC,2018,16,2018_16_Q,Russian Grand Prix,LapTimeSeconds,0.06699999999999307,0.06699999999999307
Red Bull Racing,VER,RIC,2018,16,2018_16_Q,Russian Grand Prix,speed_min,5.0,5.0
Red Bull Racing,VER,RIC,2018,16,2018_16_Q,Russian Grand Prix,speed_mean,-0.32484076433121345,0.32484076433121345
Red Bull Racing,VER,RIC,2018,16,2018_16_Q,Russian Grand Prix,throttle_full_frac,0.015923566878980888,0.015923566878980888
Red Bull Racing,VER,RIC,2018,16,2018_16_Q,Russian Grand Prix,throttle_mid_frac,-0.0031847133757961776,0.0031847133757961776
Red Bull Racing,VER,RIC,2018,16,2018_16_Q,Russian Grand Prix,throttle_diff_abs_mean,-0.006389776357827337,0.006389776357827337
Red Bull Racing,VER,RIC,2018,16,2018_16_Q,Russian Grand Prix,brake_active_frac,0.009554140127388533,0.009554140127388533
Red Bull Racing,VER,RIC,2018,16,2018_16_Q,Russian Grand Prix,brake_on_count,0.0,0.0
Red Bull Racing,VER,RIC,2018,16,2018_16_Q,Russian Grand Prix,rpm_diff_abs_mean,-16.42811501597447,16.42811501597447
Red Bull Racing,VER,RIC,2018,16,2018_16_Q,Russian Grand Prix,gear_change_count,-5.0,5.0
Red Bull Racing,VER,RIC,2018,18,2018_18_Q,United States Grand Prix,LapTimeSeconds,1.2720000000000056,1.2720000000000056
Red Bull Racing,VER,RIC,2018,18,2018_18_Q,United States Grand Prix,speed_min,-5.0,5.0
Red Bull Racing,VER,RIC,2018,18,2018_18_Q,United States Grand Prix,speed_mean,-2.5288550529929807,2.5288550529929807
Red Bull Racing,VER,RIC,2018,18,2018_18_Q,United States Grand Prix,throttle_full_frac,-0.01716674130467233,0.01716674130467233
Red Bull Racing,VER,RIC,2018,18,2018_18_Q,United States Grand Prix,throttle_mid_frac,0.04169776583569687,0.04169776583569687
Red Bull Racing,VER,RIC,2018,18,2018_18_Q,United States Grand Prix,throttle_diff_abs_mean,-0.012899090654167722,0.012899090654167722
Red Bull Racing,VER,RIC,2018,18,2018_18_Q,United States Grand Prix,brake_active_frac,0.0075732696422351475,0.0075732696422351475
Red Bull Racing,VER,RIC,2018,18,2018_18_Q,United States Grand Prix,brake_on_count,0.0,0.0
Red Bull Racing,VER,RIC,2018,18,2018_18_Q,United States Grand Prix,rpm_diff_abs_mean,8.11629211232622,8.11629211232622
Red Bull Racing,VER,RIC,2018,18,2018_18_Q,United States Grand Prix,gear_change_count,-1.0,1.0
