team,leader_driver,teammate_driver,n_shared_sessions,first_season,last_season,mean_LapTimeSeconds_leader_minus_teammate,mean_LapTimeSeconds_abs_gap,mean_speed_min_leader_minus_teammate,mean_speed_min_abs_gap,mean_speed_mean_leader_minus_teammate,mean_speed_mean_abs_gap,mean_throttle_full_frac_leader_minus_teammate,mean_throttle_full_frac_abs_gap,mean_throttle_mid_frac_leader_minus_teammate,mean_throttle_mid_frac_abs_gap,mean_throttle_diff_abs_mean_leader_minus_teammate,mean_throttle_diff_abs_mean_abs_gap,mean_brake_active_frac_leader_minus_teammate,mean_brake_active_frac_abs_gap,mean_brake_on_count_leader_minus_teammate,mean_brake_on_count_abs_gap,mean_rpm_diff_abs_mean_leader_minus_teammate,mean_rpm_diff_abs_mean_abs_gap,mean_gear_change_count_leader_minus_teammate,mean_gear_change_count_abs_gap
Ferrari,LEC,SAI,69,2021,2024,-0.17179710144927515,0.26295652173913053,0.9855072463768116,2.347826086956522,0.3257442401496886,1.380462923301145,0.003926765638491813,0.014202729412650175,0.06270758266323107,0.06502423224883264,-0.13397312014421683,0.25285656028633063,-0.010552517812659232,0.017172386389176748,0.9420289855072463,1.6956521739130435,-19.98876113536499,20.99565309647284,1.9420289855072463,2.63768115942029
Ferrari,LEC,VET,35,2019,2020,-0.16385714285714242,0.40328571428571375,0.5428571428571428,1.9714285714285715,0.42023112908690663,1.217914480887074,-0.0003265266385846978,0.015586550703116672,0.021231443698436603,0.03196606917625583,-0.24615059362877614,0.31575250058913584,-0.001054948040123685,0.015232538727628949,0.37142857142857144,1.0,-8.149071576967252,15.697503742627681,-0.37142857142857144,2.0285714285714285
Ferrari,LEC,HAM,22,2025,2025,-0.21618181818181756,0.2576363636363633,-0.18181818181818182,1.4545454545454546,0.5997255314846887,1.6340252774628126,0.11562790795638898,0.12468676864434715,-0.12255830329642459,0.1318489830461868,-0.14195663330329486,0.2572375410690193,-0.015789653145279747,0.019391609782924993,0.45454545454545453,1.0,-20.111567054375246,22.4281928171113,-1.0,2.272727272727273
Ferrari,LEC,BEA,1,2024,2024,-0.8509999999999991,0.8509999999999991,1.0,1.0,2.5719695957084525,2.5719695957084525,-0.02390818117821092,0.02390818117821092,0.09169406795519555,0.09169406795519555,0.0834050487664948,0.0834050487664948,-0.010479322052022344,0.010479322052022344,0.0,0.0,-43.24082042455535,43.24082042455535,0.0,0.0
Mercedes,HAM,BOT,71,2018,2021,-0.14792957746478955,0.23756338028169,-0.5492957746478874,2.6056338028169015,0.5131164256376913,0.7787257619630569,-0.008474338756535216,0.015531318479426317,0.03843651472454186,0.043025765822282645,-0.039639726072250435,0.20736994473995637,-0.0019589531293190414,0.009185333190925635,-0.3380281690140845,0.7605633802816901,1.9335971093880655,13.539590957310054,-0.09859154929577464,2.1267605633802815
Mercedes,HAM,RUS,50,2022,2024,0.11072000000000003,0.38043999999999983,0.46,2.02,-0.9481653595147514,2.0598107438255244,-0.012734387631664679,0.0209370703728351,0.05969068184522722,0.06063550217594702,0.055464492875343455,0.24164734118670173,0.000861475609700178,0.015132356758441934,0.0,0.84,7.290676905417838,13.285776583312204,-0.48,3.08
Red Bull Racing,VER,PER,70,2021,2024,-0.5070428571428582,0.5439571428571437,1.4714285714285715,3.8142857142857145,4.404082456656116,5.090372281019446,-0.005828549154307431,0.021936893142271995,-0.0040899570658687705,0.024351085830779377,0.18717597391043123,0.425322819910313,-0.009597280368018263,0.02171786044112493,0.5285714285714286,0.8428571428571429,8.069573308348374,19.486438191365348,-1.1571428571428573,2.9285714285714284
Red Bull Racing,VER,ALB,23,2019,2020,-2.1209565217391293,2.1209565217391293,2.3043478260869565,3.869565217391304,4.53255896190483,4.551986753734982,0.05179921587717367,0.05189083291794323,-0.01810321406778538,0.037059029040230666,0.13873479884880857,0.1950116323184814,-0.003358709118595543,0.010775341123766814,-0.13043478260869565,0.7391304347826086,-3.9357946864390816,11.501401123428307,1.0,1.8695652173913044
Red Bull Racing,VER,TSU,19,2025,2025,-0.7899473684210534,0.7899473684210534,0.8421052631578947,2.0,1.6139376852223857,2.3895388388357484,0.013689255220467066,0.021333614230558698,0.0007503704563898764,0.027080854331339974,0.1778323621999212,0.36116334768150643,0.007419524999386667,0.012898660266194456,-0.5263157894736842,0.631578947368421,-5.162336391825396,11.703533843488104,-1.0526315789473684,2.1052631578947367
Red Bull Racing,VER,RIC,16,2018,2018,2.502375000000003,2.8848749999999987,-0.8125,3.3125,-4.416058695715908,5.647534593682355,-0.03519856248881188,0.04597815262778988,0.06349484066279112,0.06494531303438811,0.08160261339456493,0.2241001812956634,0.009629875388340741,0.016717671447069257,-0.125,0.5,-0.6015871115483158,7.269929730157262,-0.6875,1.5625
Red Bull Racing,VER,GAS,12,2019,2019,-0.5331666666666669,0.623166666666668,0.3333333333333333,2.1666666666666665,1.6020580541516243,2.119930802801252,0.010250857058240933,0.016164778826862236,0.009333622638668144,0.015794942478296315,-0.10851211179030666,0.31690071125398706,0.00862405428546022,0.012870861555920201,0.16666666666666666,0.6666666666666666,-16.66687089445138,18.698110817358657,0.8333333333333334,1.3333333333333333
Red Bull Racing,VER,LAW,2,2025,2025,-1.4850000000000065,1.4850000000000065,0.5,0.5,1.4389159450224724,1.4389159450224724,0.018447086147048042,0.018447086147048042,-0.01273040920758306,0.035239751154508114,0.3912359809527195,0.3912359809527195,0.023436730449145425,0.023436730449145425,0.5,1.5,-2.5978409743522946,18.62317351840133,2.0,2.0
