driver_a,team_a,driver_b,team_b,n_a,n_b,cosine_similarity,cosine_distance
ALB,Red Bull Racing,GAS,Red Bull Racing,23,12,0.7718523877948203,0.22814761220517965
GAS,Red Bull Racing,PER,Red Bull Racing,12,70,0.650390985743905,0.34960901425609503
PER,Red Bull Racing,TSU,Red Bull Racing,70,19,0.6485459616419451,0.3514540383580549
LAW,Red Bull Racing,TSU,Red Bull Racing,2,19,0.6077146967549935,0.39228530324500654
BOT,Mercedes,RUS,Mercedes,71,50,0.6041970259584217,0.39580297404157827
PER,Red Bull Racing,VER,Red Bull Racing,70,142,0.5969202668069546,0.40307973319304535
GAS,Red Bull Racing,TSU,Red Bull Racing,12,19,0.5671849397777754,0.4328150602222246
HAM,Ferrari,LEC,Ferrari,22,127,0.5669229252503946,0.43307707474960544
ALB,Red Bull Racing,PER,Red Bull Racing,23,70,0.5528113504615203,0.4471886495384797
LAW,Red Bull Racing,RIC,Red Bull Racing,2,16,0.5474492752474366,0.4525507247525634
GAS,Red Bull Racing,RIC,Red Bull Racing,12,16,0.5225136571286855,0.47748634287131453
ALB,Red Bull Racing,TSU,Red Bull Racing,23,19,0.5212197541132273,0.4787802458867727
RIC,Red Bull Racing,VER,Red Bull Racing,16,142,0.5209677726541775,0.4790322273458225
LEC,Ferrari,VET,Ferrari,127,35,0.4966646418807399,0.5033353581192601
GAS,Red Bull Racing,LAW,Red Bull Racing,12,2,0.46830785835633437,0.5316921416436656
LAW,Red Bull Racing,VER,Red Bull Racing,2,142,0.4455637675140729,0.5544362324859271
SAI,Ferrari,VET,Ferrari,69,35,0.4387908114316189,0.5612091885683811
HAM,Ferrari,HAM,Mercedes,22,121,0.43462140725890874,0.5653785927410913
HAM,Ferrari,VET,Ferrari,22,35,0.42294628079752566,0.5770537192024743
GAS,Red Bull Racing,VER,Red Bull Racing,12,142,0.39618858150355696,0.603811418496443
BEA,Ferrari,SAI,Ferrari,1,69,0.38430042185080165,0.6156995781491983
PER,Red Bull Racing,RIC,Red Bull Racing,70,16,0.3736909913687107,0.6263090086312892
ALB,Red Bull Racing,LAW,Red Bull Racing,23,2,0.36817166290867753,0.6318283370913225
BOT,Mercedes,HAM,Mercedes,71,121,0.3484475956902518,0.6515524043097483
RIC,Red Bull Racing,TSU,Red Bull Racing,16,19,0.32813077501259225,0.6718692249874078
LAW,Red Bull Racing,PER,Red Bull Racing,2,70,0.316817188580662,0.683182811419338
HAM,Ferrari,SAI,Ferrari,22,69,0.29842669963453405,0.701573300365466
ALB,Red Bull Racing,VER,Red Bull Racing,23,142,0.28177972753255637,0.7182202724674436
HAM,Mercedes,RUS,Mercedes,121,50,0.27661156109064877,0.7233884389093512
HAM,Mercedes,LEC,Ferrari,121,127,0.2691709580097058,0.7308290419902942
RUS,Mercedes,TSU,Red Bull Racing,50,19,0.26728151694782065,0.7327184830521793
TSU,Red Bull Racing,VER,Red Bull Racing,19,142,0.2573349207839642,0.7426650792160359
BOT,Mercedes,TSU,Red Bull Racing,71,19,0.24153794388431074,0.7584620561156893
ALB,Red Bull Racing,RIC,Red Bull Racing,23,16,0.19704544410354904,0.8029545558964509
BEA,Ferrari,GAS,Red Bull Racing,1,12,0.1885899696010821,0.8114100303989179
LAW,Red Bull Racing,RUS,Mercedes,2,50,0.18326478060866105,0.816735219391339
RIC,Red Bull Racing,RUS,Mercedes,16,50,0.17907425832604595,0.820925741673954
BEA,Ferrari,TSU,Red Bull Racing,1,19,0.1739603848017665,0.8260396151982334
LEC,Ferrari,SAI,Ferrari,127,69,0.15820627973721918,0.8417937202627808
ALB,Red Bull Racing,SAI,Ferrari,23,69,0.15258789712081616,0.8474121028791839
GAS,Red Bull Racing,RUS,Mercedes,12,50,0.1314973035950434,0.8685026964049566
BEA,Ferrari,BOT,Mercedes,1,71,0.11067306603906285,0.8893269339609371
BEA,Ferrari,RUS,Mercedes,1,50,0.10922632396425344,0.8907736760357465
BEA,Ferrari,RIC,Red Bull Racing,1,16,0.09059987649600862,0.9094001235039914
BEA,Ferrari,HAM,Ferrari,1,22,0.08088109863716718,0.9191189013628328
PER,Red Bull Racing,RUS,Mercedes,70,50,0.07646208165000236,0.9235379183499977
