model,true_driver,pred_driver,count
cnn,ALB,ALB,52
cnn,ALB,LEC,0
cnn,ALB,OCO,0
cnn,ALB,SAI,3
cnn,ALB,VER,0
cnn,LEC,ALB,0
cnn,LEC,LEC,51
cnn,LEC,OCO,3
cnn,LEC,SAI,1
cnn,LEC,VER,0
cnn,OCO,ALB,0
cnn,OCO,LEC,10
cnn,OCO,OCO,40
cnn,OCO,SAI,1
cnn,OCO,VER,3
cnn,SAI,ALB,5
cnn,SAI,LEC,0
cnn,SAI,OCO,2
cnn,SAI,SAI,47
cnn,SAI,VER,0
cnn,VER,ALB,0
cnn,VER,LEC,0
cnn,VER,OCO,0
cnn,VER,SAI,0
cnn,VER,VER,55
gru,ALB,ALB,47
gru,ALB,LEC,1
gru,ALB,OCO,1
gru,ALB,SAI,6
gru,ALB,VER,0
gru,LEC,ALB,5
gru,LEC,LEC,21
gru,LEC,OCO,12
gru,LEC,SAI,4
gru,LEC,VER,13
gru,OCO,ALB,10
gru,OCO,LEC,17
gru,OCO,OCO,8
gru,OCO,SAI,0
gru,OCO,VER,19
gru,SAI,ALB,15
gru,SAI,LEC,18
gru,SAI,OCO,0
gru,SAI,SAI,16
gru,SAI,VER,5
gru,VER,ALB,1
gru,VER,LEC,6
gru,VER,OCO,4
gru,VER,SAI,1
gru,VER,VER,43
lstm,ALB,ALB,37
lstm,ALB,LEC,3
lstm,ALB,OCO,8
lstm,ALB,SAI,0
lstm,ALB,VER,7
lstm,LEC,ALB,5
lstm,LEC,LEC,14
lstm,LEC,OCO,10
lstm,LEC,SAI,3
lstm,LEC,VER,23
lstm,OCO,ALB,10
lstm,OCO,LEC,10
lstm,OCO,OCO,15
lstm,OCO,SAI,0
lstm,OCO,VER,19
lstm,SAI,ALB,10
lstm,SAI,LEC,13
lstm,SAI,OCO,10
lstm,SAI,SAI,3
lstm,SAI,VER,18
lstm,VER,ALB,3
lstm,VER,LEC,10
lstm,VER,OCO,7
lstm,VER,SAI,3
lstm,VER,VER,32
hybrid_cnn_tabular,ALB,ALB,54
hybrid_cnn_tabular,ALB,LEC,0
hybrid_cnn_tabular,ALB,OCO,1
hybrid_cnn_tabular,ALB,SAI,0
hybrid_cnn_tabular,ALB,VER,0
hybrid_cnn_tabular,LEC,ALB,1
hybrid_cnn_tabular,LEC,LEC,47
hybrid_cnn_tabular,LEC,OCO,4
hybrid_cnn_tabular,LEC,SAI,2
hybrid_cnn_tabular,LEC,VER,1
hybrid_cnn_tabular,OCO,ALB,1
hybrid_cnn_tabular,OCO,LEC,2
hybrid_cnn_tabular,OCO,OCO,49
hybrid_cnn_tabular,OCO,SAI,1
hybrid_cnn_tabular,OCO,VER,1
hybrid_cnn_tabular,SAI,ALB,6
hybrid_cnn_tabular,SAI,LEC,1
hybrid_cnn_tabular,SAI,OCO,2
hybrid_cnn_tabular,SAI,SAI,45
hybrid_cnn_tabular,SAI,VER,0
hybrid_cnn_tabular,VER,ALB,0
hybrid_cnn_tabular,VER,LEC,0
hybrid_cnn_tabular,VER,OCO,0
hybrid_cnn_tabular,VER,SAI,0
hybrid_cnn_tabular,VER,VER,55
