model,fold,n_train,n_train_inner,n_val,n_test,epochs_trained,best_val_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,accuracy_gap,macro_f1_gap
cnn,1,218,173,45,55,111,0.169266015291214,0.9678899082568807,0.9674418604651163,0.967505128596156,0.9636363636363636,0.9636363636363636,0.9635610766045548,0.00425354462051708,0.003944051991601194
cnn,2,218,173,45,55,120,0.10541396588087082,0.9908256880733946,0.9906976744186047,0.9907437132156233,0.8727272727272727,0.8727272727272727,0.8691049626701801,0.11809841534612187,0.12163875054544315
cnn,3,218,173,45,55,76,0.2542523145675659,0.9678899082568807,0.9678646934460888,0.9678148769167214,0.8545454545454545,0.8545454545454547,0.8559759081498213,0.11334445371142621,0.11183896876690014
cnn,4,219,174,45,54,79,0.31007492542266846,0.9452054794520548,0.945031712473573,0.9451741718647639,0.8703703703703703,0.8636363636363636,0.8575048140265531,0.07483510908168445,0.08766935783821084
cnn,5,219,174,45,54,95,0.20266251266002655,0.9497716894977168,0.9495771670190274,0.9494487242491891,0.9259259259259259,0.9254545454545454,0.9245511010728402,0.023845763571790912,0.024897623176348915
gru,1,218,173,45,55,120,0.989900529384613,0.6330275229357798,0.6288583509513741,0.5610152350454565,0.5272727272727272,0.5272727272727272,0.4666961521450686,0.10575479566305257,0.09431908290038787
gru,2,218,173,45,55,120,1.221367597579956,0.518348623853211,0.5167019027484143,0.48855174936942103,0.4,0.4,0.36506585090176424,0.11834862385321099,0.12348589846765679
gru,3,218,173,45,55,120,0.9680667519569397,0.6238532110091743,0.6234672304439746,0.5984735537496777,0.5636363636363636,0.5636363636363637,0.5320190359741551,0.060216847372810745,0.06645451777552258
gru,4,219,174,45,54,117,0.9869776964187622,0.6255707762557078,0.6236786469344608,0.5928005458773724,0.48148148148148145,0.4763636363636364,0.4400919540229885,0.14408929477422633,0.1527085918543839
gru,5,219,174,45,54,107,1.141951322555542,0.5388127853881278,0.5366807610993657,0.46427188674833164,0.5,0.4927272727272728,0.4187890540831717,0.038812785388127824,0.045482832665159956
lstm,1,218,173,45,55,69,1.3301684856414795,0.43119266055045874,0.42875264270613106,0.3638468570961832,0.36363636363636365,0.36363636363636365,0.3040350877192982,0.0675562969140951,0.05981176937688498
lstm,2,218,173,45,55,120,1.1657665967941284,0.6422018348623854,0.641860465116279,0.6400694594534221,0.4727272727272727,0.4727272727272728,0.4751578947368421,0.16947456213511264,0.16491156471657997
lstm,3,218,173,45,55,53,1.4433430433273315,0.38990825688073394,0.3864693446088795,0.3020139377391655,0.41818181818181815,0.41818181818181815,0.356737998843262,-0.028273561301084216,-0.0547240611040965
lstm,4,219,174,45,54,38,1.5325852632522583,0.3105022831050228,0.3090909090909091,0.23743559373038908,0.24074074074074073,0.24545454545454545,0.175,0.06976154236428209,0.062435593730389094
lstm,5,219,174,45,54,62,1.4583773612976074,0.3881278538812785,0.38657505285412264,0.31691751753625785,0.35185185185185186,0.3454545454545454,0.2742857142857143,0.03627600202942666,0.042631803250543554
hybrid_cnn_tabular,1,218,173,45,55,95,0.1703072190284729,0.9862385321100917,0.9861522198731502,0.9862032504761412,0.9454545454545454,0.9454545454545455,0.9454169019386411,0.04078398665554628,0.04078634853750007
hybrid_cnn_tabular,2,218,173,45,55,120,0.15258152782917023,0.981651376146789,0.9813953488372092,0.981537364009274,0.9636363636363636,0.9636363636363636,0.9635610766045548,0.018015012510425366,0.017976287404719238
hybrid_cnn_tabular,3,218,173,45,55,77,0.2487156093120575,0.9724770642201835,0.9721987315010571,0.972351045888465,0.8727272727272727,0.8727272727272727,0.8732969547614857,0.09974979149291086,0.09905409112697927
hybrid_cnn_tabular,4,219,174,45,54,88,0.12387967854738235,0.9863013698630136,0.9862579281183933,0.9863089587213845,0.9444444444444444,0.9436363636363637,0.9441113653699466,0.041856925418569224,0.04219759335143791
hybrid_cnn_tabular,5,219,174,45,54,72,0.4263320863246918,0.9680365296803652,0.967970401691332,0.9677931996768745,0.8518518518518519,0.850909090909091,0.8470537212596708,0.11618467782851338,0.12073947841720367
