model,true_driver,pred_driver,count
cnn,OCO,LEC,10
cnn,SAI,ALB,5
cnn,LEC,OCO,3
cnn,ALB,SAI,3
cnn,OCO,VER,3
cnn,SAI,OCO,2
cnn,LEC,SAI,1
cnn,OCO,SAI,1
gru,OCO,VER,19
gru,SAI,LEC,18
gru,OCO,LEC,17
gru,SAI,ALB,15
gru,LEC,VER,13
gru,LEC,OCO,12
gru,OCO,ALB,10
gru,VER,LEC,6
gru,ALB,SAI,6
gru,LEC,ALB,5
gru,SAI,VER,5
gru,VER,OCO,4
gru,LEC,SAI,4
gru,ALB,LEC,1
gru,ALB,OCO,1
gru,VER,ALB,1
gru,VER,SAI,1
lstm,LEC,VER,23
lstm,OCO,VER,19
lstm,SAI,VER,18
lstm,SAI,LEC,13
lstm,VER,LEC,10
lstm,SAI,OCO,10
lstm,OCO,LEC,10
lstm,SAI,ALB,10
lstm,LEC,OCO,10
lstm,OCO,ALB,10
lstm,ALB,OCO,8
lstm,ALB,VER,7
lstm,VER,OCO,7
lstm,LEC,ALB,5
lstm,ALB,LEC,3
lstm,LEC,SAI,3
lstm,VER,ALB,3
lstm,VER,SAI,3
hybrid_cnn_tabular,SAI,ALB,6
hybrid_cnn_tabular,LEC,OCO,4
hybrid_cnn_tabular,OCO,LEC,2
hybrid_cnn_tabular,LEC,SAI,2
hybrid_cnn_tabular,SAI,OCO,2
hybrid_cnn_tabular,LEC,ALB,1
hybrid_cnn_tabular,ALB,OCO,1
hybrid_cnn_tabular,LEC,VER,1
hybrid_cnn_tabular,OCO,SAI,1
hybrid_cnn_tabular,OCO,ALB,1
hybrid_cnn_tabular,OCO,VER,1
hybrid_cnn_tabular,SAI,LEC,1
