model,driver,n_samples,precision,recall,f1,mean_pred_confidence,mean_true_class_probability
cnn,VER,55,0.9482758620689655,1.0,0.9734513274336283,0.9718546916138042,0.9718546916138042
cnn,ALB,55,0.9122807017543859,0.9454545454545454,0.9285714285714286,0.9281486207788641,0.90311645377766
cnn,LEC,55,0.8360655737704918,0.9272727272727272,0.8793103448275862,0.9101831620389765,0.8668854103846984
cnn,SAI,54,0.9038461538461539,0.8703703703703703,0.8867924528301887,0.9436682948359737,0.8603394614467136
cnn,OCO,54,0.8888888888888888,0.7407407407407407,0.8080808080808081,0.8792742258972592,0.7182825670180911
gru,ALB,55,0.6025641025641025,0.8545454545454545,0.706766917293233,0.5995589109984312,0.5810679297555577
gru,VER,55,0.5375,0.7818181818181819,0.6370370370370371,0.49817651076750324,0.4640357582406564
gru,LEC,55,0.3333333333333333,0.38181818181818183,0.3559322033898305,0.40643968094478955,0.28532984365116465
gru,SAI,54,0.5925925925925926,0.2962962962962963,0.3950617283950617,0.47045460122602956,0.30129431484750024
gru,OCO,54,0.32,0.14814814814814814,0.20253164556962025,0.4254677281887443,0.2601466596954399
hybrid_cnn_tabular,VER,55,0.9649122807017544,1.0,0.9821428571428571,0.9806433699347756,0.9806433699347756
hybrid_cnn_tabular,ALB,55,0.8709677419354839,0.9818181818181818,0.9230769230769231,0.9374955025586215,0.934177950295535
hybrid_cnn_tabular,OCO,54,0.875,0.9074074074074074,0.8909090909090909,0.9452077525633352,0.8764288771694906
hybrid_cnn_tabular,LEC,55,0.94,0.8545454545454545,0.8952380952380953,0.9569183512167497,0.8656613960676953
hybrid_cnn_tabular,SAI,54,0.9375,0.8333333333333334,0.8823529411764706,0.936505690768913,0.8244993251682899
lstm,ALB,55,0.5692307692307692,0.6727272727272727,0.6166666666666667,0.4080213091590188,0.3578651214865121
lstm,VER,55,0.32323232323232326,0.5818181818181818,0.4155844155844156,0.3032605068250136,0.2805735948410901
lstm,OCO,54,0.3,0.2777777777777778,0.28846153846153844,0.3173183624943097,0.24051490032838452
lstm,LEC,55,0.28,0.2545454545454545,0.26666666666666666,0.3122641671787609,0.22602497176690536
lstm,SAI,54,0.3333333333333333,0.05555555555555555,0.09523809523809523,0.32291111874359624,0.20133305313410582
