Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,season,round,event_name,session_name,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,session_max_rainfall,session_is_dry_by_weather
0 days 00:39:56.567000,ALB,23,0 days 00:01:31.461000,5.0,2.0,,,0 days 00:00:29.250000,0 days 00:00:39.224000,0 days 00:00:22.987000,0 days 00:38:54.356000,0 days 00:39:33.580000,0 days 00:39:56.567000,241.0,274.0,291.0,322.0,True,SOFT,2.0,True,Williams,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.461,29.25,39.224,22.987,False,True
0 days 01:19:51.112000,ALO,14,0 days 00:01:30.336000,14.0,5.0,,,0 days 00:00:28.852000,0 days 00:00:38.774000,0 days 00:00:22.710000,0 days 01:18:49.628000,0 days 01:19:28.402000,0 days 01:19:51.112000,242.0,267.0,284.0,317.0,True,SOFT,2.0,True,Aston Martin,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.336,28.852,38.774,22.71,False,True
0 days 01:03:19.810000,BOT,77,0 days 00:01:31.443000,11.0,4.0,,,0 days 00:00:29.235000,0 days 00:00:39.327000,0 days 00:00:22.881000,0 days 01:02:17.602000,0 days 01:02:56.929000,0 days 01:03:19.810000,240.0,268.0,280.0,318.0,True,SOFT,5.0,False,Alfa Romeo,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.443,29.235,39.327,22.881,False,True
0 days 00:31:26.629000,DEV,21,0 days 00:01:32.121000,5.0,2.0,,,0 days 00:00:29.382000,0 days 00:00:39.634000,0 days 00:00:23.105000,0 days 00:30:23.890000,0 days 00:31:03.524000,0 days 00:31:26.629000,240.0,270.0,285.0,315.0,True,SOFT,2.0,True,AlphaTauri,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,92.121,29.382,39.634,23.105,False,True
0 days 00:40:47.282000,GAS,10,0 days 00:01:31.818000,5.0,2.0,,,0 days 00:00:29.247000,0 days 00:00:39.412000,0 days 00:00:23.159000,0 days 00:39:44.711000,0 days 00:40:24.123000,0 days 00:40:47.282000,241.0,270.0,285.0,322.0,False,SOFT,2.0,True,Alpine,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.818,29.247,39.412,23.159,False,True
0 days 01:20:24.570000,HAM,44,0 days 00:01:30.384000,14.0,5.0,,,0 days 00:00:28.939000,0 days 00:00:38.829000,0 days 00:00:22.616000,0 days 01:19:23.125000,0 days 01:20:01.954000,0 days 01:20:24.570000,242.0,271.0,288.0,319.0,True,SOFT,2.0,True,Mercedes,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.384,28.939,38.829,22.616,False,True
0 days 01:03:04.511000,HUL,27,0 days 00:01:30.809000,13.0,5.0,,,0 days 00:00:29.042000,0 days 00:00:38.957000,0 days 00:00:22.810000,0 days 01:02:02.744000,0 days 01:02:41.701000,0 days 01:03:04.511000,241.0,270.0,286.0,317.0,True,SOFT,2.0,True,Haas F1 Team,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.809,29.042,38.957,22.81,False,True
0 days 01:16:04.860000,LEC,16,0 days 00:01:30,16.0,6.0,,,0 days 00:00:28.825000,0 days 00:00:38.614000,0 days 00:00:22.561000,0 days 01:15:03.685000,0 days 01:15:42.299000,0 days 01:16:04.860000,243.0,273.0,289.0,322.0,True,SOFT,2.0,True,Ferrari,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,90.0,28.825,38.614,22.561,False,True
0 days 00:40:20.090000,MAG,20,0 days 00:01:31.892000,5.0,2.0,,,0 days 00:00:29.428000,0 days 00:00:39.369000,0 days 00:00:23.095000,0 days 00:39:17.626000,0 days 00:39:56.995000,0 days 00:40:20.090000,240.0,271.0,289.0,317.0,True,SOFT,2.0,True,Haas F1 Team,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.892,29.428,39.369,23.095,False,True
0 days 01:03:32.835000,NOR,4,0 days 00:01:31.381000,12.0,5.0,,,0 days 00:00:29.235000,0 days 00:00:39.210000,0 days 00:00:22.936000,0 days 01:02:30.689000,0 days 01:03:09.899000,0 days 01:03:32.835000,240.0,267.0,286.0,320.0,True,SOFT,2.0,True,McLaren,1,,,,False,True,2023,1,Bahrain Grand Prix,Q,91.381,29.235,39.21,22.936,False,True
