Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,season,round,event_name,session_name,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,session_max_rainfall,session_is_dry_by_weather,source_label,session_key,compound_upper,is_wet_compound,is_slick_compound,session_is_dry_final,dry_flag_source,lap_key
0 days 00:31:58.314000,AIT,89,0 days 00:00:54.892000,8.0,3.0,,,0 days 00:00:19.037000,0 days 00:00:19.258000,0 days 00:00:16.597000,0 days 00:31:22.459000,0 days 00:31:41.717000,0 days 00:31:58.314000,290.0,271.0,295.0,338.0,True,SOFT,2.0,True,Williams,1.0,,,,False,True,2020,16,Sakhir Grand Prix,Q,54.892,19.037,19.258,16.597,,,2018_2022_q_backfill,2020_16_Q,SOFT,False,True,True,compound_inference,2020_r16_Q_AIT_lap8
0 days 01:15:37.144000,ALB,23,0 days 00:01:26.345000,23.0,6.0,,,0 days 00:00:27.746000,0 days 00:00:34.987000,0 days 00:00:23.612000,0 days 01:14:38.545000,0 days 01:15:13.532000,0 days 01:15:37.144000,316.0,270.0,252.0,329.0,True,SOFT,4.0,True,Toro Rosso,1.0,,,,False,True,2019,10,British Grand Prix,Q,86.345,27.746,34.987,23.612,,,2018_2022_q_backfill,2019_10_Q,SOFT,False,True,True,compound_inference,2019_r10_Q_ALB_lap23
0 days 00:34:13.425000,ALB,23,0 days 00:01:13.958000,8.0,2.0,,,0 days 00:00:15.928000,0 days 00:00:35.738000,0 days 00:00:22.292000,0 days 00:33:15.395000,0 days 00:33:51.133000,0 days 00:34:13.425000,217.0,258.0,268.0,340.0,False,SOFT,2.0,True,Toro Rosso,1.0,,,,False,True,2019,11,German Grand Prix,Q,73.958,15.928,35.738,22.292,,,2018_2022_q_backfill,2019_11_Q,SOFT,False,True,True,compound_inference,2019_r11_Q_ALB_lap8
0 days 00:44:20.644000,ALB,23,0 days 00:01:16.687000,10.0,3.0,,,0 days 00:00:27.675000,0 days 00:00:27.191000,0 days 00:00:21.821000,0 days 00:43:31.632000,0 days 00:43:58.823000,0 days 00:44:20.644000,278.0,255.0,261.0,306.0,True,SOFT,2.0,True,Toro Rosso,1.0,,,,False,True,2019,12,Hungarian Grand Prix,Q,76.687,27.675,27.191,21.821,,,2018_2022_q_backfill,2019_12_Q,SOFT,False,True,True,compound_inference,2019_r12_Q_ALB_lap10
0 days 00:35:02.075000,ALB,23,0 days 00:01:45.528000,3.0,2.0,,,0 days 00:00:31.214000,0 days 00:00:45.344000,0 days 00:00:28.970000,0 days 00:33:47.761000,0 days 00:34:33.105000,0 days 00:35:02.075000,330.0,203.0,220.0,307.0,True,SOFT,3.0,False,Red Bull Racing,1.0,,,,False,True,2019,13,Belgian Grand Prix,Q,105.528,31.214,45.344,28.97,,,2018_2022_q_backfill,2019_13_Q,SOFT,False,True,True,compound_inference,2019_r13_Q_ALB_lap3
0 days 00:58:37.442000,ALB,23,0 days 00:01:20.195000,10.0,3.0,,,0 days 00:00:27.195000,0 days 00:00:26.608000,0 days 00:00:26.392000,0 days 00:57:44.442000,0 days 00:58:11.050000,0 days 00:58:37.442000,317.0,327.0,310.0,330.0,False,SOFT,2.0,True,Red Bull Racing,1.0,,,,False,True,2019,14,Italian Grand Prix,Q,80.195,27.195,26.608,26.392,,,2018_2022_q_backfill,2019_14_Q,SOFT,False,True,True,compound_inference,2019_r14_Q_ALB_lap10
0 days 01:15:44.457000,ALB,23,0 days 00:01:37.411000,15.0,5.0,,,0 days 00:00:26.801000,0 days 00:00:37.513000,0 days 00:00:33.097000,0 days 01:14:33.847000,0 days 01:15:11.360000,0 days 01:15:44.457000,313.0,283.0,260.0,303.0,True,SOFT,2.0,True,Red Bull Racing,1.0,,,,False,True,2019,15,Singapore Grand Prix,Q,97.411,26.801,37.513,33.097,,,2018_2022_q_backfill,2019_15_Q,SOFT,False,True,True,compound_inference,2019_r15_Q_ALB_lap15
0 days 00:23:45.490000,ALB,23,0 days 00:02:07.862000,3.0,1.0,,,0 days 00:00:48.238000,0 days 00:00:46.753000,0 days 00:00:32.871000,0 days 00:22:25.866000,0 days 00:23:12.619000,0 days 00:23:45.490000,193.0,289.0,176.0,272.0,False,SOFT,3.0,True,Red Bull Racing,1.0,,,,False,True,2019,16,Russian Grand Prix,Q,127.862,48.238,46.753,32.871,,,2018_2022_q_backfill,2019_16_Q,SOFT,False,True,True,compound_inference,2019_r16_Q_ALB_lap3
0 days 01:31:45.298000,ALB,23,0 days 00:01:27.851000,18.0,7.0,,,0 days 00:00:30.597000,0 days 00:00:39.634000,0 days 00:00:17.620000,0 days 01:30:48.044000,0 days 01:31:27.678000,0 days 01:31:45.298000,280.0,309.0,269.0,306.0,True,SOFT,2.0,True,Red Bull Racing,1.0,,,,False,True,2019,17,Japanese Grand Prix,Q,87.851,30.597,39.634,17.62,,,2018_2022_q_backfill,2019_17_Q,SOFT,False,True,True,compound_inference,2019_r17_Q_ALB_lap18
0 days 01:07:49.279000,ALB,23,0 days 00:01:15.336000,14.0,4.0,,,0 days 00:00:26.979000,0 days 00:00:28.820000,0 days 00:00:19.537000,0 days 01:07:00.922000,0 days 01:07:29.742000,0 days 01:07:49.279000,320.0,300.0,258.0,344.0,True,SOFT,2.0,True,Red Bull Racing,1.0,,,,False,True,2019,18,Mexican Grand Prix,Q,75.336,26.979,28.82,19.537,,,2018_2022_q_backfill,2019_18_Q,SOFT,False,True,True,compound_inference,2019_r18_Q_ALB_lap14
0 days 01:08:14.725000,ALB,23,0 days 00:01:32.548000,10.0,3.0,,,0 days 00:00:24.847000,0 days 00:00:37.092000,0 days 00:00:30.609000,0 days 01:07:07.024000,0 days 01:07:44.116000,0 days 01:08:14.725000,245.0,196.0,215.0,322.0,True,SOFT,2.0,True,Red Bull Racing,1.0,,,,False,True,2019,19,United States Grand Prix,Q,92.548,24.847,37.092,30.609,,,2018_2022_q_backfill,2019_19_Q,SOFT,False,True,True,compound_inference,2019_r19_Q_ALB_lap10
