subset_name,subset_type,driver,n_drivers
distinctive_top5,distinctive,ALB,5
distinctive_top5,distinctive,SAI,5
distinctive_top5,distinctive,VER,5
distinctive_top5,distinctive,OCO,5
distinctive_top5,distinctive,LEC,5
distinctive_top6,distinctive,ALB,6
distinctive_top6,distinctive,SAI,6
distinctive_top6,distinctive,VER,6
distinctive_top6,distinctive,OCO,6
distinctive_top6,distinctive,LEC,6
distinctive_top6,distinctive,TSU,6
distinctive_top8,distinctive,ALB,8
distinctive_top8,distinctive,SAI,8
distinctive_top8,distinctive,VER,8
distinctive_top8,distinctive,OCO,8
distinctive_top8,distinctive,LEC,8
distinctive_top8,distinctive,TSU,8
distinctive_top8,distinctive,ALO,8
distinctive_top8,distinctive,HAM,8
confusion_union_top3_pairs,confusion_union,GAS,6
confusion_union_top3_pairs,confusion_union,HUL,6
confusion_union_top3_pairs,confusion_union,NOR,6
confusion_union_top3_pairs,confusion_union,PIA,6
confusion_union_top3_pairs,confusion_union,RUS,6
confusion_union_top3_pairs,confusion_union,TSU,6
confusion_pair_NOR_PIA,confusion_pair,NOR,2
confusion_pair_NOR_PIA,confusion_pair,PIA,2
confusion_pair_GAS_TSU,confusion_pair,GAS,2
confusion_pair_GAS_TSU,confusion_pair,TSU,2
confusion_pair_HUL_RUS,confusion_pair,HUL,2
confusion_pair_HUL_RUS,confusion_pair,RUS,2
