driver_a,driver_b,total_mutual_confusions,pair_name
NOR,PIA,23,NOR_vs_PIA
GAS,TSU,17,GAS_vs_TSU
HUL,RUS,13,HUL_vs_RUS
ALO,STR,12,ALO_vs_STR
HAM,LEC,12,HAM_vs_LEC
HAM,STR,11,HAM_vs_STR
HUL,VER,8,HUL_vs_VER
TSU,VER,8,TSU_vs_VER
ALB,RUS,7,ALB_vs_RUS
HAM,SAI,7,HAM_vs_SAI
NOR,TSU,7,NOR_vs_TSU
ALO,RUS,6,ALO_vs_RUS
GAS,HUL,6,GAS_vs_HUL
GAS,OCO,6,GAS_vs_OCO
HAM,RUS,6,HAM_vs_RUS
ALB,HUL,5,ALB_vs_HUL
ALB,SAI,5,ALB_vs_SAI
GAS,NOR,5,GAS_vs_NOR
HUL,NOR,5,HUL_vs_NOR
HUL,SAI,5,HUL_vs_SAI
LEC,OCO,5,LEC_vs_OCO
OCO,SAI,5,OCO_vs_SAI
ALB,STR,4,ALB_vs_STR
GAS,RUS,4,GAS_vs_RUS
HUL,OCO,4,HUL_vs_OCO
ALB,VER,3,ALB_vs_VER
GAS,STR,3,GAS_vs_STR
GAS,VER,3,GAS_vs_VER
HAM,OCO,3,HAM_vs_OCO
HUL,LEC,3,HUL_vs_LEC
LEC,SAI,3,LEC_vs_SAI
NOR,STR,3,NOR_vs_STR
PIA,STR,3,PIA_vs_STR
PIA,TSU,3,PIA_vs_TSU
RUS,STR,3,RUS_vs_STR
RUS,TSU,3,RUS_vs_TSU
STR,VER,3,STR_vs_VER
ALB,GAS,2,ALB_vs_GAS
ALB,PIA,2,ALB_vs_PIA
ALO,HUL,2,ALO_vs_HUL
ALO,PIA,2,ALO_vs_PIA
ALO,VER,2,ALO_vs_VER
GAS,SAI,2,GAS_vs_SAI
HAM,HUL,2,HAM_vs_HUL
HUL,STR,2,HUL_vs_STR
HUL,TSU,2,HUL_vs_TSU
NOR,RUS,2,NOR_vs_RUS
NOR,VER,2,NOR_vs_VER
RUS,SAI,2,RUS_vs_SAI
ALB,ALO,1,ALB_vs_ALO
ALB,NOR,1,ALB_vs_NOR
ALB,OCO,1,ALB_vs_OCO
ALB,TSU,1,ALB_vs_TSU
ALO,GAS,1,ALO_vs_GAS
ALO,HAM,1,ALO_vs_HAM
ALO,LEC,1,ALO_vs_LEC
ALO,NOR,1,ALO_vs_NOR
ALO,OCO,1,ALO_vs_OCO
ALO,TSU,1,ALO_vs_TSU
GAS,PIA,1,GAS_vs_PIA
HAM,TSU,1,HAM_vs_TSU
HAM,VER,1,HAM_vs_VER
LEC,STR,1,LEC_vs_STR
NOR,OCO,1,NOR_vs_OCO
OCO,PIA,1,OCO_vs_PIA
OCO,TSU,1,OCO_vs_TSU
PIA,RUS,1,PIA_vs_RUS
PIA,VER,1,PIA_vs_VER
RUS,VER,1,RUS_vs_VER
