dataset,task,target,feature_config,class_name,rank,feature,coef,abs_coef
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,HAM,1,num__throttle_mean,6.212657867687933,6.212657867687933
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,HAM,2,num__gear_mean,3.7945534319133256,3.7945534319133256
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,HAM,3,num__throttle_full_frac,-3.53642288045475,3.53642288045475
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,HAM,4,num__throttle_mid_frac,3.2172969191349545,3.2172969191349545
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,HAM,5,num__throttle_diff_abs_mean,2.9210594672349526,2.9210594672349526
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,HAM,6,num__throttle_diff_std,-2.5872533411397445,2.5872533411397445
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,HAM,7,num__speed_q10,2.5415442276836706,2.5415442276836706
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,HAM,8,num__rpm_std,2.40447000598854,2.40447000598854
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,HAM,9,num__rpm_mean,-2.2212225433206587,2.2212225433206587
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,HAM,10,num__rpm_diff_abs_mean,2.1138807001512627,2.1138807001512627
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,HAM,11,num__throttle_zero_frac,1.9809711692602001,1.9809711692602001
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,HAM,12,num__speed_mean,1.421013219599417,1.421013219599417
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,HAM,13,num__speed_std,-1.4019459269621917,1.4019459269621917
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,HAM,14,num__n_samples,1.0881079824866104,1.0881079824866104
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,HAM,15,num__brake_active_frac,0.9087784247111328,0.9087784247111328
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,HAM,16,num__brake_mean,0.9087784247111328,0.9087784247111328
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,HAM,17,num__throttle_std,0.8693953143924195,0.8693953143924195
race_2025_clean_laps_top5,same_team_ferrari_ham_vs_lec_2025_race,Driver,all_telemetry_features,HAM,18,num__gear_max,-0.7921859866845534,0.7921859866845534
